time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4926,0.3045,0.3051,0.3426,neutral,0.404,0.0
0.083333,N2,0.4462,0.2786,0.2393,0.3533,neutral,0.512,0.0
0.166667,N2,0.4551,0.2717,0.2741,0.316,melancholic,0.44,0.0
0.25,N2,0.4567,0.28,0.2752,0.3841,joyful,0.386,0.0
0.333333,N2,0.4333,0.2527,0.2756,0.3027,curious,0.464,0.0
0.416667,N3,0.2616,0.1842,0.1808,0.2936,curious,0.35,0.0
0.5,N3,0.3397,0.2391,0.1704,0.2911,serene,0.35,0.0
0.583333,N3,0.2931,0.2025,0.2047,0.3151,joyful,0.35,0.0
0.666667,N3,0.2639,0.1541,0.2267,0.2801,melancholic,0.35,0.0
0.75,N3,0.2919,0.187,0.2021,0.2923,anxious,0.35,0.0
0.833333,N3,0.2905,0.2552,0.21,0.2853,curious,0.35,0.0
0.916667,N3,0.305,0.253,0.1677,0.2815,melancholic,0.35,0.0
