time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4963,0.3198,0.2934,0.3566,neutral,0.382,0.0
0.083333,N1,0.499,0.3106,0.3206,0.3679,neutral,0.367,0.0
0.166667,N2,0.4129,0.254,0.3123,0.3455,melancholic,0.423,0.0
0.25,N2,0.4862,0.259,0.3061,0.3357,joyful,0.462,0.0
0.333333,N2,0.4653,0.273,0.2979,0.3273,neutral,0.454,0.0
0.416667,N2,0.4526,0.2838,0.2937,0.3157,neutral,0.503,0.0
0.5,N3,0.2877,0.1954,0.1994,0.3476,joyful,0.35,0.0
0.583333,N3,0.2972,0.1791,0.1768,0.2942,joyful,0.35,0.0
0.666667,N3,0.2682,0.1899,0.1735,0.3062,curious,0.35,0.0
0.75,N3,0.3263,0.1846,0.1962,0.3058,joyful,0.35,0.0
0.833333,N3,0.291,0.1879,0.1777,0.2868,joyful,0.35,0.0
0.916667,N3,0.2818,0.1956,0.1799,0.2783,neutral,0.35,0.0
