time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4794,0.3055,0.2964,0.3748,neutral,0.366,0.0
0.008333,N1,0.5087,0.2881,0.2711,0.3449,curious,0.353,0.0
0.016667,N1,0.4814,0.3039,0.2707,0.359,serene,0.375,0.0
0.025,N1,0.4805,0.2869,0.2799,0.3502,curious,0.358,0.0
0.033333,N1,0.5131,0.2562,0.3088,0.3363,joyful,0.386,0.0
0.041667,N1,0.5095,0.3633,0.3037,0.3503,anxious,0.38,0.0
0.05,N1,0.5247,0.3086,0.2904,0.3688,joyful,0.366,0.0
0.058333,N1,0.4885,0.317,0.2491,0.3219,curious,0.414,0.0
0.066667,N2,0.4493,0.3126,0.3095,0.3134,curious,0.382,0.0
0.075,N2,0.4332,0.2965,0.2593,0.3427,curious,0.388,0.0
0.083333,N2,0.453,0.2857,0.2797,0.3239,joyful,0.452,0.0
0.091667,N2,0.4647,0.2591,0.2571,0.3845,neutral,0.402,0.0
0.1,N2,0.4752,0.2852,0.2618,0.3542,neutral,0.434,0.0
0.108333,N2,0.453,0.2712,0.2796,0.3549,melancholic,0.41,0.0
0.116667,N2,0.4676,0.27,0.3139,0.3338,curious,0.472,0.0
0.125,N2,0.4605,0.2787,0.2814,0.3747,fearful,0.377,0.0
0.133333,N2,0.4358,0.3172,0.2647,0.3214,curious,0.41,0.0
0.141667,N2,0.428,0.284,0.2929,0.369,curious,0.364,0.0
0.15,N2,0.4722,0.2555,0.2803,0.3515,neutral,0.438,0.0
0.158333,N2,0.4477,0.3269,0.268,0.3425,anxious,0.467,0.0
0.166667,N2,0.4411,0.2951,0.3118,0.3145,curious,0.384,0.0
0.175,N2,0.4443,0.2711,0.2842,0.3067,fearful,0.451,0.0
0.183333,N2,0.4482,0.2594,0.2837,0.3432,curious,0.429,0.0
0.191667,N2,0.4161,0.2647,0.288,0.3463,neutral,0.42,0.0
0.2,N2,0.4535,0.2838,0.275,0.3254,fearful,0.443,0.0
0.208333,N2,0.4556,0.2816,0.2796,0.338,anxious,0.416,0.0
0.216667,N2,0.3929,0.268,0.2759,0.3206,neutral,0.401,0.0
0.225,N2,0.4451,0.2437,0.3064,0.3293,curious,0.415,0.0
0.233333,N2,0.4118,0.2952,0.2813,0.3221,curious,0.38,0.0
0.241667,N2,0.4364,0.2704,0.2671,0.3102,neutral,0.356,0.0
0.25,N2,0.4807,0.2819,0.3031,0.3495,neutral,0.369,0.0
0.258333,N2,0.45,0.2508,0.2541,0.3419,neutral,0.378,0.0
0.266667,N2,0.4374,0.273,0.2782,0.3413,melancholic,0.488,0.0
0.275,N2,0.4642,0.241,0.2672,0.3329,neutral,0.388,0.0
0.283333,N2,0.4323,0.2675,0.2491,0.355,curious,0.426,0.0
0.291667,N2,0.4432,0.2627,0.2951,0.3152,curious,0.373,0.0
0.3,N2,0.4694,0.2806,0.2597,0.3294,neutral,0.378,0.0
0.308333,N2,0.4785,0.2931,0.2702,0.3053,curious,0.421,0.0
0.316667,N2,0.4858,0.2889,0.2611,0.3405,joyful,0.371,0.0
0.325,N2,0.4665,0.2894,0.329,0.3192,melancholic,0.38,0.0
0.333333,N2,0.4532,0.2907,0.3007,0.3145,joyful,0.456,0.0
0.341667,N2,0.454,0.2877,0.2582,0.3057,fearful,0.398,0.0
0.35,N2,0.4525,0.2631,0.2573,0.3514,anxious,0.449,0.0
0.358333,N2,0.4716,0.3059,0.2175,0.3098,melancholic,0.445,0.0
0.366667,N2,0.4614,0.2857,0.2773,0.3315,anxious,0.395,0.0
0.375,N2,0.4416,0.2765,0.2928,0.3248,curious,0.449,0.0
0.383333,N3,0.2981,0.2301,0.2159,0.2773,curious,0.335,0.0
0.391667,N3,0.3036,0.1819,0.2501,0.3273,melancholic,0.314,0.0
0.4,N3,0.2614,0.1745,0.2118,0.3062,curious,0.304,0.0
0.408333,N3,0.317,0.2137,0.218,0.3563,joyful,0.35,0.0
0.416667,N3,0.3136,0.2107,0.2033,0.3205,fearful,0.323,0.0
0.425,N3,0.3055,0.1837,0.2373,0.3462,neutral,0.335,0.0
0.433333,N3,0.3127,0.2069,0.1999,0.2831,anxious,0.35,0.0
0.441667,N3,0.2959,0.22,0.2056,0.301,melancholic,0.35,0.0
0.45,N3,0.3508,0.2089,0.1965,0.3074,joyful,0.35,0.0
0.458333,N3,0.2862,0.1926,0.176,0.3099,curious,0.35,0.0
0.466667,N3,0.3162,0.1982,0.2064,0.3071,neutral,0.35,0.0
0.475,N3,0.299,0.1911,0.2239,0.2989,neutral,0.35,0.0
0.483333,N3,0.2927,0.1842,0.2079,0.3372,curious,0.35,0.0
0.491667,N3,0.3275,0.1964,0.1903,0.3196,joyful,0.332,0.0
0.5,N3,0.3265,0.2231,0.1599,0.3189,melancholic,0.35,0.0
0.508333,N3,0.2942,0.2341,0.2038,0.3175,curious,0.35,0.0
0.516667,N3,0.299,0.2323,0.211,0.3395,anxious,0.35,0.0
0.525,N3,0.2776,0.2063,0.2375,0.2829,serene,0.341,0.0
0.533333,N3,0.3062,0.2191,0.1831,0.2934,joyful,0.35,0.0
0.541667,N3,0.3136,0.1777,0.2075,0.3082,neutral,0.35,0.0
0.55,N3,0.2631,0.2089,0.1665,0.2958,curious,0.341,0.0
0.558333,N3,0.2551,0.2096,0.207,0.3066,neutral,0.35,0.0
0.566667,N3,0.3118,0.2237,0.2137,0.3146,neutral,0.35,0.0
0.575,N3,0.3013,0.242,0.1991,0.3215,curious,0.334,0.0
0.583333,N3,0.305,0.1713,0.2147,0.2766,curious,0.349,0.0
0.591667,N3,0.2799,0.1834,0.1744,0.2775,curious,0.35,0.0
0.6,N3,0.2883,0.2137,0.1713,0.2845,neutral,0.35,0.0
0.608333,N3,0.3326,0.1938,0.2198,0.3103,joyful,0.35,0.0
0.616667,N3,0.3237,0.1805,0.1757,0.2758,neutral,0.341,0.0
0.625,N3,0.3178,0.2085,0.1751,0.282,serene,0.35,0.0
0.633333,N3,0.331,0.176,0.2326,0.2859,neutral,0.35,0.0
0.641667,N3,0.3194,0.1605,0.1822,0.2552,serene,0.35,0.0
0.65,N3,0.2832,0.1671,0.1924,0.2688,curious,0.336,0.0
0.658333,N3,0.2753,0.2133,0.1904,0.2786,joyful,0.31,0.0
0.666667,N3,0.2955,0.2398,0.1889,0.3235,anxious,0.35,0.0
0.675,N3,0.2838,0.1898,0.2144,0.2768,curious,0.328,0.0
0.683333,N3,0.2895,0.175,0.1703,0.3063,neutral,0.35,0.0
0.691667,N3,0.3207,0.204,0.1907,0.2894,curious,0.35,0.0
0.7,N3,0.2891,0.2172,0.196,0.314,joyful,0.345,0.0
0.708333,N3,0.3092,0.1875,0.2187,0.2965,joyful,0.284,0.0
0.716667,N3,0.2892,0.1645,0.1962,0.2933,curious,0.331,0.0
0.725,N3,0.3124,0.2023,0.1974,0.2752,joyful,0.35,0.0
0.733333,N3,0.3023,0.1978,0.1671,0.2754,anxious,0.35,0.0
0.741667,N3,0.2991,0.2013,0.1858,0.3338,joyful,0.35,0.0
0.75,N3,0.3216,0.2041,0.2425,0.2734,anxious,0.35,0.0
0.758333,N3,0.302,0.186,0.1937,0.2811,neutral,0.35,0.0
0.766667,N3,0.2925,0.1855,0.2122,0.2837,joyful,0.35,0.0
0.775,N3,0.3103,0.193,0.1644,0.2863,neutral,0.35,0.0
0.783333,N2,0.4236,0.2997,0.2932,0.3076,joyful,0.409,0.0
0.791667,N2,0.4791,0.3302,0.2539,0.2736,curious,0.437,0.0
0.8,N2,0.4618,0.2701,0.2705,0.2689,joyful,0.424,0.0
0.808333,N2,0.4318,0.2558,0.2763,0.2833,neutral,0.439,0.0
0.816667,N2,0.4624,0.3026,0.2749,0.2777,joyful,0.391,0.0
0.825,N2,0.46,0.2841,0.2962,0.2981,neutral,0.428,0.0
0.833333,N2,0.4486,0.2945,0.2725,0.2862,curious,0.438,0.0
0.841667,N2,0.459,0.2783,0.296,0.3022,neutral,0.337,0.0
0.85,N2,0.4253,0.2694,0.2749,0.2842,neutral,0.378,0.0
0.858333,N2,0.4342,0.2877,0.2981,0.2599,neutral,0.416,0.0
0.866667,N2,0.4386,0.2523,0.298,0.2849,fearful,0.356,0.0
0.875,N2,0.4482,0.2561,0.2943,0.2746,neutral,0.427,0.0
0.883333,N2,0.4526,0.2903,0.2872,0.3008,neutral,0.347,0.0
0.891667,N2,0.4367,0.2564,0.2732,0.2708,joyful,0.373,0.0
0.9,N2,0.4814,0.2635,0.2875,0.2319,melancholic,0.443,0.0
0.908333,N2,0.4433,0.2599,0.266,0.2735,neutral,0.446,0.0
0.916667,N2,0.4316,0.2852,0.2622,0.2394,joyful,0.37,0.0
0.925,N2,0.4406,0.2821,0.2852,0.2921,curious,0.435,0.0
0.933333,N2,0.4479,0.2649,0.3035,0.2615,joyful,0.393,0.0
0.941667,N2,0.4801,0.2512,0.3106,0.297,fearful,0.445,0.0
0.95,N2,0.458,0.2765,0.2787,0.279,curious,0.382,0.0
0.958333,N2,0.4779,0.3202,0.2795,0.2356,neutral,0.424,0.0
