time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5048,0.2946,0.2747,0.3658,curious,0.361,0.0
0.083333,N1,0.4851,0.2934,0.2756,0.3521,neutral,0.368,0.0
0.166667,N2,0.4409,0.2764,0.2974,0.3442,curious,0.422,0.0
0.25,N2,0.438,0.2729,0.2857,0.3285,curious,0.47,0.0
0.333333,N2,0.4387,0.238,0.2858,0.3158,joyful,0.452,0.0
0.416667,N2,0.4379,0.2602,0.2708,0.3267,joyful,0.369,0.0
0.5,N3,0.2997,0.199,0.1891,0.3058,joyful,0.35,0.0
0.583333,N3,0.3129,0.2264,0.1745,0.3398,neutral,0.35,0.0
0.666667,N3,0.2947,0.1957,0.1621,0.2692,melancholic,0.35,0.0
0.75,N3,0.3107,0.2183,0.2122,0.3021,neutral,0.35,0.0
0.833333,N3,0.2992,0.1922,0.1829,0.2947,curious,0.35,0.0
0.916667,N3,0.3117,0.1935,0.1882,0.319,joyful,0.35,0.0
