time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4881
0.0,event::design_discussion,design discussion,0.4301
0.0,mem::flying,flying,0.3902
0.0,mem::childhood_home,childhood_home,0.3533
0.0,mem::grief,grief,0.3508
0.0,mem::teeth_loosening,teeth_loosening,0.334
0.0,mem::falling,falling,0.3051
0.0,mem::familiar_face,familiar_face,0.2794
0.0,mem::wonder,wonder,0.2492
0.0,mem::bright_light,bright_light,0.2412
0.0,mem::school_corridor,school_corridor,0.2337
0.0,mem::loud_crowd,loud_crowd,0.2051
0.833333,event::design_discussion,design discussion,0.4156
0.833333,mem::flying,flying,0.4033
0.833333,mem::familiar_face,familiar_face,0.3692
0.833333,mem::wonder,wonder,0.3598
0.833333,mem::bright_light,bright_light,0.3575
0.833333,event::code_review,code review,0.3453
0.833333,mem::joy,joy,0.3441
0.833333,mem::childhood_home,childhood_home,0.2918
0.833333,mem::grief,grief,0.2908
0.833333,mem::teeth_loosening,teeth_loosening,0.2841
0.833333,mem::falling,falling,0.2726
0.833333,mem::school_corridor,school_corridor,0.2443
