time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4898,0.3246,0.2926,0.3421,neutral,0.404,0.0
0.083333,N2,0.456,0.2826,0.2909,0.3217,neutral,0.433,0.0
0.166667,N2,0.4694,0.2524,0.3031,0.3293,joyful,0.466,0.0
0.25,N2,0.4535,0.2676,0.2526,0.2971,fearful,0.456,0.0
0.333333,N2,0.4311,0.3048,0.2836,0.3031,curious,0.44,0.0
0.416667,N2,0.439,0.2578,0.2835,0.3385,joyful,0.399,0.0
0.5,N3,0.2911,0.1922,0.1705,0.3599,joyful,0.35,0.0
0.583333,N3,0.3077,0.1667,0.1916,0.2861,anxious,0.35,0.0
0.666667,N3,0.2906,0.1891,0.2237,0.3121,curious,0.35,0.0
0.75,N3,0.3162,0.1902,0.2169,0.3023,joyful,0.35,0.0
0.833333,N3,0.3063,0.2195,0.2091,0.2863,curious,0.35,0.0
0.916667,N2,0.4517,0.2873,0.2766,0.2357,neutral,0.438,0.0
