time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5374,0.2931,0.2456,0.3374,neutral,0.458,0.0
0.083333,N1,0.5275,0.2999,0.3108,0.3108,neutral,0.392,0.0
0.166667,N2,0.4237,0.288,0.2757,0.3,serene,0.444,0.0
0.25,N2,0.4622,0.2565,0.2613,0.3479,melancholic,0.451,0.0
0.333333,N2,0.466,0.299,0.2442,0.2963,curious,0.411,0.0
0.416667,N2,0.4498,0.2843,0.2787,0.2798,serene,0.408,0.0
0.5,N3,0.2898,0.227,0.2083,0.3072,joyful,0.35,0.0
0.583333,N3,0.2965,0.205,0.2406,0.3314,anxious,0.35,0.0
0.666667,N3,0.3118,0.2049,0.2141,0.3142,joyful,0.35,0.0
0.75,N3,0.3267,0.2281,0.1804,0.2818,fearful,0.35,0.0
0.833333,N3,0.2842,0.2387,0.2015,0.2675,anxious,0.35,0.0
0.916667,N2,0.4528,0.277,0.2855,0.2835,melancholic,0.456,0.0
