time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.3819
0.0,mem::bright_light,bright_light,0.3746
0.0,mem::school_corridor,school_corridor,0.3495
0.0,mem::being_chased,being_chased,0.3097
0.0,event::code_review,code review,0.3012
0.0,mem::being_late,being_late,0.2164
0.0,mem::flying,flying,0.2143
0.0,mem::dread,dread,0.2123
0.0,mem::joy,joy,0.2034
0.0,mem::grief,grief,0.1733
0.0,mem::cold_water,cold_water,0.1635
0.0,mem::wonder,wonder,0.1555
0.833333,mem::school_corridor,school_corridor,0.41
0.833333,mem::being_chased,being_chased,0.3978
0.833333,mem::being_late,being_late,0.3691
0.833333,mem::dread,dread,0.3677
0.833333,mem::grief,grief,0.3558
0.833333,mem::cold_water,cold_water,0.3528
0.833333,mem::falling,falling,0.3478
0.833333,mem::teeth_loosening,teeth_loosening,0.3478
0.833333,mem::loud_crowd,loud_crowd,0.3472
0.833333,mem::childhood_home,childhood_home,0.3427
0.833333,event::design_discussion,design discussion,0.2868
0.833333,mem::bright_light,bright_light,0.2838
