time_hours,node_id,node_label,activation
0.0,mem::being_late,being_late,0.3732
0.0,mem::childhood_home,childhood_home,0.3731
0.0,mem::loud_crowd,loud_crowd,0.3573
0.0,mem::bright_light,bright_light,0.3503
0.0,mem::school_corridor,school_corridor,0.2996
0.0,mem::dread,dread,0.2939
0.0,mem::being_chased,being_chased,0.2706
0.0,event::design_discussion,design discussion,0.2644
0.0,event::code_review,code review,0.2485
0.0,mem::wonder,wonder,0.2459
0.0,mem::flying,flying,0.2444
0.0,mem::grief,grief,0.2438
0.833333,mem::childhood_home,childhood_home,0.3145
0.833333,mem::being_late,being_late,0.3145
0.833333,mem::loud_crowd,loud_crowd,0.3082
0.833333,mem::school_corridor,school_corridor,0.2853
0.833333,mem::dread,dread,0.283
0.833333,mem::being_chased,being_chased,0.2737
0.833333,event::code_review,code review,0.2651
0.833333,mem::grief,grief,0.2632
0.833333,mem::falling,falling,0.2517
0.833333,mem::cold_water,cold_water,0.24
0.833333,mem::teeth_loosening,teeth_loosening,0.2262
0.833333,mem::bright_light,bright_light,0.2189
