time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5003,0.312,0.3166,0.3639,curious,0.412,0.0
0.008333,N1,0.5028,0.3013,0.3372,0.3322,neutral,0.362,0.0
0.016667,N1,0.5072,0.2889,0.2937,0.3341,curious,0.393,0.0
0.025,N1,0.5053,0.3058,0.2614,0.3315,serene,0.395,0.0
0.033333,N1,0.5048,0.334,0.2816,0.369,curious,0.341,0.0
0.041667,N1,0.5146,0.3184,0.3038,0.3243,melancholic,0.313,0.0
0.05,N1,0.5046,0.302,0.2911,0.3716,joyful,0.387,0.0
0.058333,N1,0.4978,0.3316,0.2983,0.2945,joyful,0.393,0.0
0.066667,N1,0.493,0.3075,0.2913,0.3377,melancholic,0.389,0.0
0.075,N1,0.4748,0.3069,0.2911,0.3195,neutral,0.369,0.0
0.083333,N2,0.4818,0.3085,0.2951,0.3611,neutral,0.401,0.0
0.091667,N2,0.4512,0.2986,0.2934,0.3595,fearful,0.442,0.0
0.1,N2,0.4463,0.3071,0.2414,0.3497,melancholic,0.44,0.0
0.108333,N2,0.4664,0.2907,0.2736,0.3457,joyful,0.467,0.0
0.116667,N2,0.4375,0.2676,0.3041,0.3403,neutral,0.434,0.0
0.125,N2,0.4439,0.2627,0.2698,0.3216,curious,0.402,0.0
0.133333,N2,0.4311,0.2939,0.2498,0.3464,anxious,0.391,0.0
0.141667,N2,0.4663,0.2962,0.262,0.3259,curious,0.387,0.0
0.15,N2,0.4394,0.271,0.2728,0.3343,neutral,0.36,0.0
0.158333,N2,0.4539,0.3162,0.3016,0.333,curious,0.411,0.0
0.166667,N2,0.4309,0.2696,0.2782,0.3229,serene,0.446,0.0
0.175,N2,0.4491,0.2934,0.2855,0.3055,neutral,0.362,0.0
0.183333,N2,0.4948,0.2998,0.2537,0.3397,joyful,0.397,0.0
0.191667,N2,0.4223,0.2906,0.2947,0.3481,neutral,0.409,0.0
0.2,N2,0.4453,0.3042,0.3204,0.3082,joyful,0.426,0.0
0.208333,N2,0.4666,0.2827,0.2997,0.3089,melancholic,0.434,0.0
0.216667,N2,0.472,0.2666,0.2868,0.34,neutral,0.411,0.0
0.225,N2,0.4778,0.2562,0.3065,0.3117,neutral,0.422,0.0
0.233333,N2,0.449,0.284,0.2988,0.3162,curious,0.358,0.0
