time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.472,0.3059,0.2911,0.3525,melancholic,0.36,0.0
0.083333,N2,0.4088,0.2964,0.2417,0.3259,curious,0.463,0.0
0.166667,N2,0.4763,0.2449,0.2778,0.3191,curious,0.463,0.0
0.25,N2,0.4671,0.3036,0.2855,0.3501,joyful,0.451,0.0
0.333333,N2,0.4644,0.3065,0.2827,0.3567,joyful,0.476,0.0
0.416667,N2,0.4308,0.2762,0.3141,0.3267,fearful,0.434,0.0
0.5,N3,0.2915,0.214,0.2259,0.3011,joyful,0.35,0.0
0.583333,N3,0.3054,0.2019,0.2038,0.3368,neutral,0.35,0.0
0.666667,N3,0.2951,0.1935,0.1985,0.3067,serene,0.35,0.0
0.75,N3,0.3005,0.2021,0.2228,0.2943,neutral,0.35,0.0
0.833333,N3,0.3165,0.1768,0.2333,0.2716,joyful,0.35,0.0
0.916667,N2,0.4526,0.2707,0.2999,0.2731,curious,0.418,0.0
