time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4789,0.325,0.2897,0.3059,joyful,0.366,0.0
0.008333,N1,0.4856,0.2861,0.3354,0.3186,neutral,0.373,0.0
0.016667,N1,0.4799,0.279,0.282,0.3192,melancholic,0.378,0.0
0.025,N1,0.5031,0.2658,0.2987,0.3577,joyful,0.374,0.0
0.033333,N1,0.4745,0.2528,0.2971,0.3305,joyful,0.32,0.0
0.041667,N1,0.5157,0.294,0.3062,0.3164,neutral,0.392,0.0
0.05,N1,0.5326,0.2688,0.3317,0.3226,anxious,0.368,0.0
0.058333,N1,0.5189,0.3016,0.2765,0.3346,joyful,0.362,0.0
0.066667,N1,0.4972,0.2962,0.3099,0.3396,curious,0.339,0.0
0.075,N1,0.4962,0.2831,0.3257,0.3739,melancholic,0.351,0.0
0.083333,N1,0.5006,0.2963,0.3453,0.3185,anxious,0.326,0.0
0.091667,N1,0.4895,0.3263,0.2479,0.3374,fearful,0.395,0.0
0.1,N2,0.4534,0.2794,0.3078,0.3443,neutral,0.395,0.0
0.108333,N2,0.4348,0.2692,0.3049,0.3292,joyful,0.411,0.0
0.116667,N2,0.4247,0.2667,0.3091,0.3606,anxious,0.421,0.0
0.125,N2,0.4659,0.2543,0.2772,0.3588,anxious,0.38,0.0
0.133333,N2,0.4563,0.2403,0.3098,0.3275,neutral,0.474,0.0
0.141667,N2,0.4417,0.3146,0.2678,0.3309,melancholic,0.393,0.0
0.15,N2,0.4551,0.256,0.2717,0.342,curious,0.371,0.0
0.158333,N2,0.4572,0.2659,0.2686,0.3351,curious,0.402,0.0
0.166667,N2,0.4558,0.2635,0.2649,0.3337,joyful,0.396,0.0
0.175,N2,0.4524,0.2906,0.27,0.3397,curious,0.441,0.0
0.183333,N2,0.4264,0.2733,0.2865,0.3503,joyful,0.383,0.0
0.191667,N2,0.4362,0.2591,0.2654,0.3515,joyful,0.407,0.0
0.2,N2,0.4616,0.2736,0.3095,0.3034,curious,0.376,0.0
0.208333,N2,0.3957,0.2976,0.2572,0.3237,curious,0.346,0.0
0.216667,N2,0.4528,0.3103,0.2731,0.3526,melancholic,0.372,0.0
0.225,N2,0.4789,0.2714,0.3096,0.3379,joyful,0.452,0.0
0.233333,N2,0.4266,0.2815,0.2955,0.3143,neutral,0.367,0.0
0.241667,N2,0.4834,0.2902,0.2808,0.3124,curious,0.448,0.0
0.25,N2,0.4646,0.2698,0.2656,0.3324,melancholic,0.374,0.0
0.258333,N2,0.4344,0.2414,0.3063,0.3674,joyful,0.39,0.0
0.266667,N2,0.4791,0.2791,0.2545,0.3529,joyful,0.422,0.0
0.275,N2,0.488,0.2767,0.3101,0.3334,curious,0.407,0.0
0.283333,N2,0.4781,0.2764,0.2958,0.323,joyful,0.393,0.0
0.291667,N2,0.4401,0.2561,0.2643,0.3062,anxious,0.442,0.0
0.3,N2,0.4537,0.2861,0.2902,0.3126,joyful,0.417,0.0
0.308333,N2,0.4287,0.282,0.2895,0.3047,neutral,0.43,0.0
0.316667,N2,0.446,0.2611,0.2683,0.3474,anxious,0.397,0.0
0.325,N2,0.4745,0.2789,0.309,0.3094,neutral,0.412,0.0
0.333333,N2,0.4458,0.3108,0.2471,0.3319,curious,0.407,0.0
0.341667,N2,0.4536,0.2694,0.2493,0.349,joyful,0.434,0.0
0.35,N2,0.4119,0.2205,0.301,0.3009,joyful,0.444,0.0
0.358333,N2,0.4403,0.2918,0.2683,0.3243,neutral,0.384,0.0
0.366667,N2,0.4786,0.2887,0.2886,0.336,neutral,0.341,0.0
0.375,N2,0.4435,0.2498,0.2742,0.2735,neutral,0.415,0.0
0.383333,N3,0.2888,0.1828,0.1928,0.3345,curious,0.35,0.0
0.391667,N3,0.3275,0.1969,0.1891,0.3231,joyful,0.35,0.0
0.4,N3,0.3406,0.1674,0.2066,0.292,curious,0.335,0.0
0.408333,N3,0.2922,0.2017,0.2064,0.3432,neutral,0.322,0.0
0.416667,N3,0.2814,0.2347,0.2023,0.299,neutral,0.281,0.0
0.425,N3,0.3114,0.2197,0.175,0.3488,curious,0.35,0.0
0.433333,N3,0.2979,0.2319,0.2165,0.3423,melancholic,0.335,0.0
0.441667,N3,0.2795,0.1697,0.1969,0.302,joyful,0.35,0.0
0.45,N3,0.3133,0.196,0.1958,0.2939,curious,0.35,0.0
0.458333,N3,0.3114,0.2262,0.2323,0.326,curious,0.35,0.0
0.466667,N3,0.3037,0.1833,0.2,0.3269,neutral,0.347,0.0
0.475,N3,0.3021,0.2227,0.2125,0.3025,serene,0.35,0.0
0.483333,N3,0.3196,0.2091,0.1896,0.313,neutral,0.35,0.0
0.491667,N3,0.2991,0.2001,0.1538,0.3329,neutral,0.35,0.0
0.5,N3,0.2782,0.2045,0.2124,0.2809,joyful,0.35,0.0
0.508333,N3,0.3287,0.2077,0.2129,0.3093,fearful,0.35,0.0
0.516667,N3,0.2973,0.2212,0.2008,0.3451,fearful,0.35,0.0
0.525,N3,0.3104,0.2344,0.1698,0.3187,curious,0.35,0.0
0.533333,N3,0.2868,0.1988,0.1881,0.2787,anxious,0.348,0.0
0.541667,N3,0.3303,0.2427,0.1977,0.3174,anxious,0.35,0.0
0.55,N3,0.3168,0.1678,0.1754,0.3363,anxious,0.35,0.0
0.558333,N3,0.2914,0.178,0.2156,0.3066,joyful,0.35,0.0
0.566667,N3,0.3059,0.2179,0.2057,0.3183,neutral,0.35,0.0
0.575,N3,0.3017,0.1893,0.2233,0.3015,neutral,0.35,0.0
0.583333,N3,0.3146,0.1808,0.2058,0.3227,melancholic,0.35,0.0
0.591667,N3,0.2819,0.1858,0.2711,0.2961,serene,0.35,0.0
0.6,N3,0.319,0.2216,0.221,0.3178,melancholic,0.35,0.0
0.608333,N3,0.3129,0.2257,0.2244,0.2796,curious,0.338,0.0
0.616667,N3,0.3088,0.2003,0.1904,0.2849,joyful,0.35,0.0
0.625,N3,0.2997,0.1846,0.2076,0.2771,anxious,0.347,0.0
0.633333,N3,0.295,0.2059,0.2467,0.3248,neutral,0.35,0.0
0.641667,N3,0.2844,0.2183,0.1691,0.2792,curious,0.35,0.0
0.65,N3,0.2844,0.209,0.1875,0.282,anxious,0.35,0.0
0.658333,N3,0.3167,0.2387,0.2023,0.2767,curious,0.35,0.0
0.666667,N3,0.2935,0.2274,0.1861,0.3163,neutral,0.345,0.0
0.675,N3,0.2934,0.2184,0.2298,0.2697,curious,0.35,0.0
0.683333,N3,0.257,0.1908,0.1683,0.2868,anxious,0.35,0.0
0.691667,N3,0.3046,0.1759,0.166,0.2741,joyful,0.35,0.0
0.7,N3,0.3138,0.2351,0.1905,0.3066,fearful,0.35,0.0
0.708333,N3,0.3209,0.1704,0.219,0.2695,neutral,0.35,0.0
0.716667,N3,0.3112,0.1903,0.2071,0.293,joyful,0.35,0.0
0.725,N3,0.3111,0.2269,0.1997,0.2931,curious,0.35,0.0
0.733333,N3,0.2947,0.1982,0.1665,0.2927,joyful,0.35,0.0
0.741667,N3,0.2819,0.1748,0.2064,0.2775,fearful,0.328,0.0
0.75,N3,0.2794,0.1794,0.2391,0.2825,curious,0.347,0.0
0.758333,N3,0.2539,0.2444,0.2247,0.3009,melancholic,0.35,0.0
0.766667,N3,0.3239,0.2012,0.1968,0.301,joyful,0.338,0.0
0.775,N3,0.2821,0.2075,0.1981,0.2937,curious,0.318,0.0
0.783333,N3,0.342,0.202,0.2295,0.282,neutral,0.35,0.0
0.791667,N3,0.3005,0.2041,0.2324,0.2698,neutral,0.35,0.0
0.8,N3,0.2854,0.1865,0.1883,0.2824,curious,0.35,0.0
0.808333,N3,0.2879,0.1997,0.2359,0.3131,joyful,0.343,0.0
0.816667,N3,0.2835,0.2168,0.2161,0.3167,fearful,0.335,0.0
0.825,N3,0.3441,0.1778,0.2158,0.2301,neutral,0.35,0.0
0.833333,N3,0.2901,0.176,0.1979,0.2908,joyful,0.35,0.0
0.841667,N3,0.2993,0.152,0.2032,0.2787,neutral,0.35,0.0
0.85,N2,0.4346,0.2936,0.2632,0.2986,curious,0.383,0.0
0.858333,N2,0.4813,0.2927,0.2485,0.2698,joyful,0.415,0.0
0.866667,N2,0.463,0.293,0.2923,0.2837,fearful,0.422,0.0
0.875,N2,0.4794,0.2716,0.2737,0.3047,fearful,0.381,0.0
0.883333,N2,0.4352,0.3243,0.3233,0.2734,neutral,0.362,0.0
0.891667,N2,0.423,0.2956,0.2577,0.2716,fearful,0.468,0.0
0.9,N2,0.4377,0.2564,0.3105,0.278,curious,0.382,0.0
0.908333,N2,0.4371,0.3065,0.2894,0.2611,neutral,0.389,0.0
0.916667,N2,0.4475,0.2872,0.2527,0.2618,anxious,0.429,0.0
0.925,N2,0.4551,0.2959,0.2682,0.2522,neutral,0.425,0.0
0.933333,N2,0.4436,0.2556,0.2834,0.2843,melancholic,0.425,0.0
0.941667,N2,0.4225,0.2443,0.2609,0.2554,melancholic,0.387,0.0
0.95,N2,0.4452,0.2695,0.2817,0.2831,joyful,0.391,0.0
0.958333,N2,0.4542,0.2796,0.2884,0.2735,curious,0.379,0.0
0.966667,N2,0.4518,0.2675,0.2407,0.2939,joyful,0.359,0.0
0.975,N2,0.4334,0.2799,0.2813,0.2655,curious,0.414,0.0
0.983333,N2,0.4762,0.2695,0.2589,0.2611,curious,0.417,0.0
0.991667,N2,0.4767,0.2667,0.2605,0.2635,neutral,0.394,0.0
