time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4813,0.2809,0.3156,0.3809,anxious,0.331,0.0
0.008333,N1,0.4506,0.3207,0.3131,0.3758,melancholic,0.388,0.0
0.016667,N1,0.4922,0.2986,0.2872,0.3451,joyful,0.326,0.0
0.025,N1,0.5157,0.3106,0.2703,0.3808,anxious,0.337,0.0
0.033333,N1,0.4741,0.2642,0.2737,0.3698,neutral,0.349,0.0
0.041667,N1,0.5069,0.2843,0.2628,0.3384,melancholic,0.381,0.0
0.05,N1,0.5364,0.298,0.2963,0.3148,curious,0.41,0.0
0.058333,N1,0.4644,0.2632,0.3252,0.3286,joyful,0.321,0.0
0.066667,N1,0.5056,0.2936,0.3092,0.3323,neutral,0.301,0.0
0.075,N1,0.5457,0.2902,0.3094,0.3483,joyful,0.401,0.0
0.083333,N1,0.47,0.325,0.2877,0.3645,joyful,0.37,0.0
0.091667,N1,0.4864,0.2718,0.3044,0.3056,joyful,0.374,0.0
0.1,N2,0.4506,0.3071,0.2812,0.3408,anxious,0.356,0.0
0.108333,N2,0.4687,0.2882,0.2741,0.321,neutral,0.386,0.0
0.116667,N2,0.4325,0.2734,0.2849,0.3417,neutral,0.432,0.0
0.125,N2,0.4378,0.2766,0.2666,0.3056,neutral,0.414,0.0
0.133333,N2,0.448,0.298,0.2742,0.3456,joyful,0.43,0.0
0.141667,N2,0.4342,0.3185,0.3186,0.3542,curious,0.375,0.0
0.15,N2,0.4714,0.2811,0.2751,0.3293,curious,0.376,0.0
0.158333,N2,0.4779,0.2865,0.3009,0.3221,anxious,0.394,0.0
0.166667,N2,0.4798,0.2933,0.2846,0.3036,anxious,0.393,0.0
0.175,N2,0.4565,0.283,0.2526,0.3498,curious,0.444,0.0
0.183333,N2,0.453,0.2989,0.2725,0.3034,neutral,0.429,0.0
0.191667,N2,0.4738,0.3162,0.2813,0.3519,neutral,0.367,0.0
0.2,N2,0.4419,0.2884,0.2514,0.3271,neutral,0.409,0.0
0.208333,N2,0.4444,0.2758,0.2745,0.3547,joyful,0.434,0.0
0.216667,N2,0.413,0.2654,0.3005,0.3094,curious,0.364,0.0
0.225,N2,0.4717,0.2857,0.2922,0.3625,neutral,0.467,0.0
0.233333,N2,0.4358,0.2876,0.3306,0.3058,joyful,0.364,0.0
0.241667,N2,0.4348,0.2857,0.2893,0.3217,neutral,0.403,0.0
0.25,N2,0.4567,0.2911,0.322,0.3588,serene,0.418,0.0
0.258333,N2,0.4716,0.2703,0.3278,0.3605,joyful,0.357,0.0
0.266667,N2,0.4827,0.2745,0.2867,0.3513,joyful,0.463,0.0
0.275,N2,0.443,0.2601,0.292,0.3461,joyful,0.375,0.0
