time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5258,0.329,0.3013,0.3347,melancholic,0.39,0.0
0.008333,N1,0.5006,0.304,0.3027,0.3603,anxious,0.389,0.0
0.016667,N1,0.4699,0.3108,0.3064,0.3964,neutral,0.414,0.0
0.025,N1,0.4971,0.3182,0.2927,0.3524,anxious,0.448,0.0
0.033333,N1,0.4784,0.3089,0.3015,0.3617,anxious,0.417,0.0
0.041667,N1,0.5218,0.3133,0.2783,0.3386,serene,0.411,0.0
0.05,N1,0.513,0.3124,0.2944,0.315,fearful,0.45,0.0
0.058333,N1,0.4919,0.2912,0.3251,0.374,anxious,0.37,0.0
0.066667,N1,0.5146,0.3032,0.3061,0.3249,melancholic,0.437,0.0
0.075,N1,0.5223,0.2848,0.3152,0.3093,anxious,0.416,0.0
0.083333,N1,0.4951,0.3003,0.33,0.3517,anxious,0.449,0.0
0.091667,N1,0.4972,0.2433,0.2992,0.3459,anxious,0.379,0.0
0.1,N3,0.2508,0.1957,0.1804,0.3316,anxious,0.35,0.0
0.108333,N3,0.325,0.2078,0.1638,0.3661,fearful,0.35,0.0
0.116667,N3,0.2805,0.1921,0.2379,0.3546,anxious,0.35,0.0
0.125,N3,0.2943,0.1885,0.2144,0.3129,joyful,0.35,0.0
0.133333,N3,0.3142,0.2025,0.2117,0.3631,melancholic,0.35,0.0
0.141667,N3,0.2726,0.1987,0.2384,0.3348,anxious,0.35,0.0
0.15,N3,0.3005,0.1849,0.2216,0.3558,curious,0.35,0.0
0.158333,N3,0.3063,0.2079,0.2139,0.3321,anxious,0.35,0.0
0.166667,N2,0.4696,0.2829,0.2687,0.3428,anxious,0.517,0.0
0.175,N2,0.4771,0.251,0.2573,0.3398,curious,0.472,0.0
0.183333,N2,0.4667,0.3064,0.2691,0.3128,melancholic,0.481,0.0
0.191667,N2,0.5036,0.2848,0.3085,0.314,anxious,0.491,0.0
0.2,N2,0.4657,0.2861,0.32,0.3258,anxious,0.435,0.0
0.208333,N2,0.4871,0.2792,0.2593,0.3333,anxious,0.477,0.0
0.216667,N2,0.4716,0.2336,0.2689,0.3274,melancholic,0.522,0.0
0.225,N2,0.4101,0.2667,0.2928,0.3402,anxious,0.49,0.0
0.233333,N2,0.4735,0.2981,0.2733,0.3539,anxious,0.439,0.0
0.241667,N2,0.4861,0.2854,0.297,0.3655,anxious,0.461,0.0
0.25,N2,0.4326,0.2461,0.2967,0.3224,anxious,0.486,0.0
0.258333,N2,0.4295,0.2831,0.312,0.3398,anxious,0.457,0.0
0.266667,N2,0.4516,0.253,0.2904,0.3126,fearful,0.444,0.0
0.275,N2,0.464,0.3201,0.2682,0.3447,anxious,0.494,0.0
0.283333,N2,0.4859,0.2978,0.2889,0.2908,melancholic,0.444,0.0
0.291667,N2,0.4733,0.2672,0.2739,0.3404,fearful,0.478,0.0
0.3,N2,0.4697,0.27,0.274,0.3607,anxious,0.468,0.0
0.308333,N2,0.4472,0.3112,0.3075,0.3397,serene,0.459,0.0
0.316667,N2,0.4591,0.288,0.2818,0.3576,anxious,0.514,0.0
0.325,N2,0.4765,0.294,0.271,0.3235,curious,0.502,0.0
0.333333,N2,0.4528,0.2807,0.2966,0.3215,anxious,0.43,0.0
0.341667,N2,0.4375,0.3253,0.2526,0.3322,anxious,0.459,0.0
0.35,N2,0.4748,0.2769,0.2688,0.2947,anxious,0.466,0.0
