time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4443
0.0,mem::bright_light,bright_light,0.3919
0.0,event::code_review,code review,0.3771
0.0,mem::flying,flying,0.3444
0.0,mem::loud_crowd,loud_crowd,0.336
0.0,mem::being_chased,being_chased,0.3093
0.0,mem::familiar_face,familiar_face,0.303
0.0,mem::school_corridor,school_corridor,0.293
0.0,mem::being_late,being_late,0.2867
0.0,mem::recurring_journey,recurring_journey,0.2425
0.0,mem::wonder,wonder,0.2251
0.0,mem::grief,grief,0.2076
0.833333,event::design_discussion,design discussion,0.3598
0.833333,mem::bright_light,bright_light,0.3458
0.833333,event::code_review,code review,0.3363
0.833333,mem::flying,flying,0.3269
0.833333,mem::loud_crowd,loud_crowd,0.3218
0.833333,mem::being_chased,being_chased,0.3126
0.833333,mem::familiar_face,familiar_face,0.3104
0.833333,mem::school_corridor,school_corridor,0.3068
0.833333,mem::being_late,being_late,0.3047
0.833333,mem::wonder,wonder,0.2795
0.833333,mem::grief,grief,0.277
0.833333,mem::falling,falling,0.2738
