time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5325,0.3059,0.2708,0.3632,neutral,0.364,0.0
0.008333,N1,0.4803,0.3135,0.2878,0.3674,melancholic,0.319,0.0
0.016667,N1,0.5354,0.3115,0.2787,0.3583,neutral,0.392,0.0
0.025,N1,0.5144,0.2882,0.2498,0.3987,neutral,0.404,0.0
0.033333,N1,0.5201,0.3139,0.2976,0.3256,joyful,0.425,0.0
0.041667,N1,0.5001,0.3266,0.2991,0.3568,joyful,0.406,0.0
0.05,N1,0.5069,0.311,0.3243,0.3611,joyful,0.372,0.0
0.058333,N1,0.4842,0.3107,0.2904,0.336,anxious,0.336,0.0
0.066667,N1,0.5184,0.2833,0.3007,0.3587,serene,0.37,0.0
0.075,N1,0.4819,0.3099,0.3106,0.354,neutral,0.299,0.0
0.083333,N2,0.4623,0.3003,0.2511,0.3549,serene,0.369,0.0
0.091667,N2,0.4569,0.29,0.2282,0.358,serene,0.421,0.0
0.1,N2,0.4432,0.2731,0.3054,0.3178,joyful,0.383,0.0
0.108333,N2,0.4255,0.324,0.256,0.3477,curious,0.448,0.0
0.116667,N2,0.4346,0.2899,0.2675,0.3574,joyful,0.402,0.0
0.125,N2,0.4554,0.2577,0.2572,0.3247,anxious,0.447,0.0
0.133333,N2,0.425,0.28,0.2815,0.3501,anxious,0.392,0.0
0.141667,N2,0.4433,0.2753,0.2881,0.3199,curious,0.443,0.0
0.15,N2,0.431,0.2809,0.2974,0.3345,joyful,0.406,0.0
0.158333,N2,0.4505,0.3124,0.2558,0.3098,joyful,0.431,0.0
0.166667,N2,0.4789,0.2883,0.2719,0.2885,melancholic,0.403,0.0
0.175,N2,0.4517,0.2912,0.2416,0.312,joyful,0.418,0.0
0.183333,N2,0.4579,0.3006,0.2517,0.3768,joyful,0.439,0.0
0.191667,N2,0.4639,0.296,0.2992,0.3243,neutral,0.432,0.0
0.2,N2,0.4708,0.2774,0.2951,0.2827,serene,0.388,0.0
0.208333,N2,0.478,0.2841,0.241,0.3362,joyful,0.459,0.0
0.216667,N2,0.4267,0.2663,0.2805,0.294,curious,0.426,0.0
0.225,N2,0.4521,0.3259,0.2611,0.3588,melancholic,0.444,0.0
0.233333,N2,0.4431,0.3017,0.2844,0.3308,neutral,0.39,0.0
0.241667,N2,0.4503,0.2542,0.285,0.3157,curious,0.358,0.0
0.25,N2,0.4527,0.3108,0.2919,0.344,neutral,0.37,0.0
0.258333,N2,0.4373,0.2986,0.292,0.3077,serene,0.411,0.0
0.266667,N2,0.4329,0.2806,0.2752,0.3021,melancholic,0.407,0.0
0.275,N2,0.4505,0.2875,0.2792,0.3254,neutral,0.396,0.0
0.283333,N2,0.4308,0.2646,0.3093,0.3384,neutral,0.457,0.0
0.291667,N2,0.4669,0.3099,0.2914,0.3291,curious,0.464,0.0
0.3,N2,0.4682,0.2602,0.2797,0.3478,neutral,0.454,0.0
0.308333,N2,0.4448,0.2749,0.2538,0.307,neutral,0.351,0.0
0.316667,N2,0.4509,0.266,0.2795,0.3323,joyful,0.402,0.0
0.325,N2,0.4729,0.3008,0.29,0.3126,joyful,0.424,0.0
0.333333,N2,0.4675,0.2863,0.3005,0.3456,neutral,0.41,0.0
0.341667,N2,0.4506,0.249,0.2687,0.3039,anxious,0.436,0.0
0.35,N2,0.4351,0.2852,0.2956,0.3069,curious,0.409,0.0
0.358333,N2,0.4282,0.2906,0.2879,0.3026,serene,0.381,0.0
0.366667,N2,0.4719,0.3249,0.2812,0.3115,curious,0.35,0.0
0.375,N2,0.4368,0.3002,0.29,0.3517,serene,0.415,0.0
0.383333,N2,0.4389,0.28,0.2427,0.298,neutral,0.361,0.0
0.391667,N2,0.434,0.2564,0.2771,0.3056,melancholic,0.439,0.0
0.4,N2,0.4331,0.2976,0.2802,0.3456,neutral,0.428,0.0
0.408333,N2,0.5223,0.293,0.2637,0.3294,joyful,0.414,0.0
0.416667,N2,0.4375,0.2678,0.2538,0.3413,serene,0.375,0.0
0.425,N2,0.4061,0.2547,0.2378,0.3016,fearful,0.371,0.0
0.433333,N2,0.4047,0.3018,0.2395,0.3038,neutral,0.379,0.0
0.441667,N2,0.4533,0.288,0.2771,0.2867,fearful,0.401,0.0
0.45,N2,0.443,0.2643,0.2962,0.3199,neutral,0.389,0.0
0.458333,N2,0.4542,0.2478,0.2634,0.3372,joyful,0.427,0.0
