time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.5334
0.0,mem::cold_water,cold_water,0.4503
0.0,mem::being_late,being_late,0.4408
0.0,mem::loud_crowd,loud_crowd,0.4394
0.0,mem::recurring_journey,recurring_journey,0.3445
0.0,mem::school_corridor,school_corridor,0.332
0.0,event::design_discussion,design discussion,0.2882
0.0,mem::bright_light,bright_light,0.2835
0.0,mem::flying,flying,0.2573
0.0,mem::grief,grief,0.2537
0.0,mem::teeth_loosening,teeth_loosening,0.2472
0.0,mem::falling,falling,0.2296
0.833333,event::code_review,code review,0.3876
0.833333,mem::cold_water,cold_water,0.3545
0.833333,mem::being_late,being_late,0.3508
0.833333,mem::loud_crowd,loud_crowd,0.3502
0.833333,mem::school_corridor,school_corridor,0.3076
0.833333,event::design_discussion,design discussion,0.2901
0.833333,mem::grief,grief,0.2764
0.833333,mem::teeth_loosening,teeth_loosening,0.2738
0.833333,mem::falling,falling,0.2668
0.833333,mem::dread,dread,0.261
0.833333,mem::childhood_home,childhood_home,0.2549
0.833333,mem::being_chased,being_chased,0.2545
