time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5268,0.2915,0.2749,0.3558,melancholic,0.369,0.0
0.083333,N2,0.4355,0.2434,0.2341,0.3197,curious,0.515,0.0
0.166667,N2,0.4291,0.2883,0.2558,0.3104,neutral,0.414,0.0
0.25,N2,0.4399,0.2746,0.2813,0.3188,joyful,0.453,0.0
0.333333,N2,0.4586,0.2788,0.2636,0.3124,joyful,0.378,0.0
0.416667,N3,0.276,0.2423,0.2112,0.305,joyful,0.35,0.0
0.5,N3,0.2497,0.1996,0.1652,0.3212,neutral,0.35,0.0
0.583333,N3,0.2515,0.1966,0.1955,0.2872,anxious,0.292,0.0
0.666667,N3,0.2853,0.1879,0.2172,0.2869,neutral,0.35,0.0
0.75,N3,0.2702,0.1877,0.1868,0.2777,curious,0.35,0.0
0.833333,N3,0.2995,0.2391,0.2265,0.2773,joyful,0.35,0.0
0.916667,N3,0.3067,0.2149,0.1914,0.2603,neutral,0.35,0.0
