time_hours,node_id,node_label,activation
0.0,mem::loud_crowd,loud_crowd,0.4322
0.0,mem::being_chased,being_chased,0.4166
0.0,mem::teeth_loosening,teeth_loosening,0.4088
0.0,mem::dread,dread,0.3957
0.0,mem::joy,joy,0.3805
0.0,event::deadline,deadline,0.3637
0.0,mem::cold_water,cold_water,0.3322
0.0,mem::wonder,wonder,0.3191
0.0,mem::being_late,being_late,0.3188
0.0,mem::falling,falling,0.2982
0.0,mem::flying,flying,0.271
0.0,mem::grief,grief,0.2581
0.083333,mem::loud_crowd,loud_crowd,0.6945
0.083333,mem::being_chased,being_chased,0.6885
0.083333,mem::teeth_loosening,teeth_loosening,0.6855
0.083333,mem::dread,dread,0.6804
0.083333,mem::cold_water,cold_water,0.6563
0.083333,mem::being_late,being_late,0.6512
0.083333,mem::falling,falling,0.6433
0.083333,mem::grief,grief,0.628
0.083333,mem::childhood_home,childhood_home,0.6119
0.083333,mem::school_corridor,school_corridor,0.6074
0.083333,mem::joy,joy,0.4758
0.083333,event::deadline,deadline,0.4636
0.166667,mem::loud_crowd,loud_crowd,0.8066
0.166667,mem::being_chased,being_chased,0.8045
0.166667,mem::teeth_loosening,teeth_loosening,0.8035
0.166667,mem::dread,dread,0.8018
0.166667,mem::cold_water,cold_water,0.7938
0.166667,mem::being_late,being_late,0.7921
0.166667,mem::falling,falling,0.7893
0.166667,mem::grief,grief,0.784
0.166667,mem::childhood_home,childhood_home,0.7788
0.166667,mem::school_corridor,school_corridor,0.7773
0.166667,mem::joy,joy,0.5491
0.166667,event::deadline,deadline,0.5402
0.25,mem::loud_crowd,loud_crowd,0.8346
0.25,mem::being_chased,being_chased,0.8338
0.25,mem::teeth_loosening,teeth_loosening,0.8335
0.25,mem::dread,dread,0.8326
0.25,mem::cold_water,cold_water,0.829
0.25,mem::being_late,being_late,0.8284
0.25,mem::falling,falling,0.8272
0.25,mem::grief,grief,0.8249
0.25,mem::childhood_home,childhood_home,0.8227
0.25,mem::school_corridor,school_corridor,0.8221
0.25,mem::joy,joy,0.5969
0.25,event::deadline,deadline,0.5904
0.333333,mem::loud_crowd,loud_crowd,0.8436
0.333333,mem::being_chased,being_chased,0.8433
0.333333,mem::teeth_loosening,teeth_loosening,0.8432
0.333333,mem::dread,dread,0.8428
0.333333,mem::cold_water,cold_water,0.8415
0.333333,mem::being_late,being_late,0.8412
0.333333,mem::falling,falling,0.8407
0.333333,mem::grief,grief,0.8398
0.333333,mem::childhood_home,childhood_home,0.839
0.333333,mem::school_corridor,school_corridor,0.8389
0.333333,mem::joy,joy,0.5584
0.333333,event::deadline,deadline,0.5524
0.416667,mem::loud_crowd,loud_crowd,0.8634
0.416667,mem::being_chased,being_chased,0.8633
0.416667,mem::teeth_loosening,teeth_loosening,0.8632
0.416667,mem::dread,dread,0.8632
0.416667,mem::cold_water,cold_water,0.8629
0.416667,mem::being_late,being_late,0.8626
0.416667,mem::falling,falling,0.8625
0.416667,mem::grief,grief,0.8622
0.416667,mem::childhood_home,childhood_home,0.862
0.416667,mem::school_corridor,school_corridor,0.862
0.416667,mem::joy,joy,0.568
0.416667,event::deadline,deadline,0.5629
0.5,mem::being_chased,being_chased,0.8555
0.5,mem::loud_crowd,loud_crowd,0.8555
0.5,mem::teeth_loosening,teeth_loosening,0.8554
0.5,mem::dread,dread,0.8554
0.5,mem::cold_water,cold_water,0.8553
0.5,mem::falling,falling,0.8551
0.5,mem::being_late,being_late,0.8551
0.5,mem::grief,grief,0.855
0.5,mem::childhood_home,childhood_home,0.8548
0.5,mem::school_corridor,school_corridor,0.8548
0.5,mem::joy,joy,0.6123
0.5,event::deadline,deadline,0.6086
0.583333,mem::being_chased,being_chased,0.8647
0.583333,mem::loud_crowd,loud_crowd,0.8647
0.583333,mem::teeth_loosening,teeth_loosening,0.8646
0.583333,mem::cold_water,cold_water,0.8646
0.583333,mem::dread,dread,0.8646
0.583333,mem::falling,falling,0.8645
0.583333,mem::being_late,being_late,0.8645
0.583333,mem::grief,grief,0.8645
0.583333,mem::childhood_home,childhood_home,0.8644
0.583333,mem::school_corridor,school_corridor,0.8644
0.583333,mem::joy,joy,0.6425
0.583333,event::deadline,deadline,0.6398
0.666667,mem::being_chased,being_chased,0.8712
0.666667,mem::teeth_loosening,teeth_loosening,0.8712
0.666667,mem::cold_water,cold_water,0.8712
0.666667,mem::loud_crowd,loud_crowd,0.8712
0.666667,mem::dread,dread,0.8712
0.666667,mem::childhood_home,childhood_home,0.8711
0.666667,mem::school_corridor,school_corridor,0.8711
0.666667,mem::falling,falling,0.8711
0.666667,mem::being_late,being_late,0.8711
0.666667,mem::grief,grief,0.8711
0.666667,mem::joy,joy,0.6011
0.666667,event::deadline,deadline,0.5985
0.75,mem::being_chased,being_chased,0.8647
0.75,mem::teeth_loosening,teeth_loosening,0.8647
0.75,mem::cold_water,cold_water,0.8647
0.75,mem::loud_crowd,loud_crowd,0.8647
0.75,mem::dread,dread,0.8647
0.75,mem::childhood_home,childhood_home,0.8646
0.75,mem::school_corridor,school_corridor,0.8646
0.75,mem::falling,falling,0.8646
0.75,mem::being_late,being_late,0.8646
0.75,mem::grief,grief,0.8646
0.75,mem::joy,joy,0.6002
0.75,event::deadline,deadline,0.598
0.833333,mem::childhood_home,childhood_home,0.8715
0.833333,mem::school_corridor,school_corridor,0.8715
0.833333,mem::falling,falling,0.8715
0.833333,mem::being_chased,being_chased,0.8715
0.833333,mem::being_late,being_late,0.8715
0.833333,mem::teeth_loosening,teeth_loosening,0.8715
0.833333,mem::cold_water,cold_water,0.8715
0.833333,mem::loud_crowd,loud_crowd,0.8715
0.833333,mem::grief,grief,0.8715
0.833333,mem::dread,dread,0.8715
0.833333,mem::joy,joy,0.5987
0.833333,event::deadline,deadline,0.597
0.916667,mem::childhood_home,childhood_home,0.8643
0.916667,mem::school_corridor,school_corridor,0.8643
0.916667,mem::falling,falling,0.8643
0.916667,mem::being_chased,being_chased,0.8643
0.916667,mem::being_late,being_late,0.8643
0.916667,mem::teeth_loosening,teeth_loosening,0.8643
0.916667,mem::cold_water,cold_water,0.8643
0.916667,mem::loud_crowd,loud_crowd,0.8643
0.916667,mem::grief,grief,0.8643
0.916667,mem::dread,dread,0.8643
