time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4857,0.3269,0.3063,0.3145,curious,0.407,0.0
0.083333,N2,0.4198,0.2635,0.3026,0.3458,anxious,0.447,0.0
0.166667,N2,0.4211,0.265,0.2758,0.3483,curious,0.407,0.0
0.25,N2,0.4416,0.2439,0.2574,0.32,joyful,0.495,0.0
0.333333,N2,0.4589,0.2752,0.2889,0.3084,curious,0.461,0.0
0.416667,N3,0.2933,0.207,0.2105,0.3515,neutral,0.35,0.0
0.5,N3,0.2919,0.1835,0.2157,0.3141,joyful,0.35,0.0
0.583333,N3,0.3225,0.2152,0.1965,0.2942,curious,0.35,0.0
0.666667,N3,0.2806,0.1742,0.182,0.3131,neutral,0.35,0.0
0.75,N3,0.3176,0.222,0.1866,0.2743,curious,0.35,0.0
0.833333,N3,0.2816,0.201,0.2017,0.2717,melancholic,0.35,0.0
0.916667,N2,0.4896,0.2472,0.3125,0.2998,joyful,0.46,0.0
