time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4888,0.3145,0.3029,0.3438,melancholic,0.351,0.0
0.083333,N2,0.4685,0.2673,0.3159,0.3552,joyful,0.419,0.0
0.166667,N2,0.4668,0.2889,0.2878,0.375,neutral,0.497,0.0
0.25,N2,0.4775,0.2898,0.286,0.322,joyful,0.476,0.0
0.333333,N2,0.4402,0.2907,0.2866,0.3071,serene,0.449,0.0
0.416667,N3,0.3034,0.2107,0.2052,0.3231,curious,0.35,0.0
0.5,N3,0.3231,0.2159,0.2045,0.2864,serene,0.328,0.0
0.583333,N3,0.3195,0.1844,0.1643,0.3091,serene,0.35,0.0
0.666667,N3,0.315,0.1863,0.216,0.2786,curious,0.35,0.0
0.75,N3,0.2874,0.22,0.1638,0.2793,melancholic,0.35,0.0
0.833333,N3,0.3157,0.194,0.1701,0.2814,neutral,0.35,0.0
0.916667,N2,0.4669,0.2418,0.2955,0.2691,neutral,0.446,0.0
