time_hours,node_id,node_label,activation
0.0,mem::being_chased,being_chased,0.4591
0.0,mem::teeth_loosening,teeth_loosening,0.4298
0.0,mem::loud_crowd,loud_crowd,0.4003
0.0,mem::cold_water,cold_water,0.3938
0.0,mem::grief,grief,0.3847
0.0,mem::familiar_face,familiar_face,0.3843
0.0,mem::being_late,being_late,0.341
0.0,mem::dread,dread,0.3348
0.0,mem::recurring_journey,recurring_journey,0.3236
0.0,mem::falling,falling,0.3107
0.0,mem::flying,flying,0.2714
0.0,mem::childhood_home,childhood_home,0.2658
0.083333,mem::familiar_face,familiar_face,0.5326
0.083333,mem::being_chased,being_chased,0.4833
0.083333,mem::flying,flying,0.4606
0.083333,mem::teeth_loosening,teeth_loosening,0.4591
0.083333,event::had_a_long_meeting,had a long meeting,0.4519
0.083333,mem::loud_crowd,loud_crowd,0.435
0.083333,mem::cold_water,cold_water,0.4295
0.083333,mem::grief,grief,0.4221
0.083333,mem::bright_light,bright_light,0.3912
0.083333,mem::wonder,wonder,0.388
0.083333,mem::being_late,being_late,0.386
0.083333,mem::dread,dread,0.381
0.166667,mem::being_chased,being_chased,0.7173
0.166667,mem::teeth_loosening,teeth_loosening,0.7079
0.166667,mem::loud_crowd,loud_crowd,0.6987
0.166667,mem::cold_water,cold_water,0.6967
0.166667,mem::grief,grief,0.6938
0.166667,mem::being_late,being_late,0.68
0.166667,mem::dread,dread,0.6782
0.166667,mem::falling,falling,0.6704
0.166667,mem::childhood_home,childhood_home,0.6564
0.166667,mem::school_corridor,school_corridor,0.6423
0.166667,mem::familiar_face,familiar_face,0.5841
0.166667,mem::flying,flying,0.5318
0.25,mem::being_chased,being_chased,0.7201
0.25,mem::teeth_loosening,teeth_loosening,0.7131
0.25,mem::loud_crowd,loud_crowd,0.7066
0.25,mem::cold_water,cold_water,0.7051
0.25,mem::grief,grief,0.703
0.25,mem::being_late,being_late,0.693
0.25,mem::dread,dread,0.6916
0.25,mem::falling,falling,0.686
0.25,mem::childhood_home,childhood_home,0.6758
0.25,mem::school_corridor,school_corridor,0.6656
0.25,mem::familiar_face,familiar_face,0.5849
0.25,mem::flying,flying,0.5419
0.333333,mem::being_chased,being_chased,0.7659
0.333333,mem::teeth_loosening,teeth_loosening,0.762
0.333333,mem::loud_crowd,loud_crowd,0.7583
0.333333,mem::cold_water,cold_water,0.7576
0.333333,mem::grief,grief,0.7564
0.333333,mem::being_late,being_late,0.7508
0.333333,mem::dread,dread,0.7499
0.333333,mem::falling,falling,0.7468
0.333333,mem::childhood_home,childhood_home,0.7411
0.333333,mem::school_corridor,school_corridor,0.7354
0.333333,mem::familiar_face,familiar_face,0.7102
0.333333,mem::flying,flying,0.689
0.416667,mem::being_chased,being_chased,0.7744
0.416667,mem::familiar_face,familiar_face,0.7729
0.416667,mem::teeth_loosening,teeth_loosening,0.7719
0.416667,mem::loud_crowd,loud_crowd,0.7696
0.416667,mem::cold_water,cold_water,0.7691
0.416667,mem::grief,grief,0.7683
0.416667,mem::being_late,being_late,0.7646
0.416667,mem::dread,dread,0.7641
0.416667,mem::flying,flying,0.7626
0.416667,mem::falling,falling,0.7621
0.416667,event::had_a_long_meeting,had a long meeting,0.7613
0.416667,mem::childhood_home,childhood_home,0.7585
0.5,mem::being_chased,being_chased,0.7633
0.5,mem::teeth_loosening,teeth_loosening,0.7613
0.5,mem::loud_crowd,loud_crowd,0.7597
0.5,mem::cold_water,cold_water,0.7594
0.5,mem::grief,grief,0.7588
0.5,mem::being_late,being_late,0.7561
0.5,mem::dread,dread,0.7557
0.5,mem::falling,falling,0.7543
0.5,mem::childhood_home,childhood_home,0.7518
0.5,mem::school_corridor,school_corridor,0.7491
0.5,mem::familiar_face,familiar_face,0.746
0.5,mem::flying,flying,0.7375
0.583333,mem::being_chased,being_chased,0.7504
0.583333,mem::teeth_loosening,teeth_loosening,0.7491
0.583333,mem::loud_crowd,loud_crowd,0.7479
0.583333,mem::cold_water,cold_water,0.7477
0.583333,mem::grief,grief,0.7472
0.583333,mem::being_late,being_late,0.7452
0.583333,mem::dread,dread,0.7449
0.583333,mem::falling,falling,0.744
0.583333,mem::childhood_home,childhood_home,0.742
0.583333,mem::familiar_face,familiar_face,0.7401
0.583333,mem::school_corridor,school_corridor,0.74
0.583333,mem::flying,flying,0.734
0.666667,mem::being_chased,being_chased,0.7611
0.666667,mem::teeth_loosening,teeth_loosening,0.7601
0.666667,mem::familiar_face,familiar_face,0.7598
0.666667,mem::loud_crowd,loud_crowd,0.7595
0.666667,mem::cold_water,cold_water,0.7594
0.666667,mem::grief,grief,0.7591
0.666667,mem::being_late,being_late,0.7577
