time_hours,node_id,node_label,activation
0.0,mem::grief,grief,0.5465
0.0,mem::childhood_home,childhood_home,0.5444
0.0,mem::school_corridor,school_corridor,0.5442
0.0,mem::loud_crowd,loud_crowd,0.4997
0.0,mem::dread,dread,0.4952
0.0,mem::being_late,being_late,0.4453
0.0,mem::teeth_loosening,teeth_loosening,0.4386
0.0,mem::cold_water,cold_water,0.4092
0.0,event::had_a_long_meeting,had a long meeting,0.4003
0.0,mem::being_chased,being_chased,0.3256
0.0,mem::flying,flying,0.2884
0.0,mem::falling,falling,0.2852
0.083333,mem::childhood_home,childhood_home,1.0
0.083333,mem::school_corridor,school_corridor,1.0
0.083333,mem::falling,falling,1.0
0.083333,mem::being_chased,being_chased,1.0
0.083333,mem::being_late,being_late,1.0
0.083333,mem::teeth_loosening,teeth_loosening,1.0
0.083333,mem::cold_water,cold_water,1.0
0.083333,mem::loud_crowd,loud_crowd,1.0
0.083333,mem::grief,grief,1.0
0.083333,mem::dread,dread,1.0
0.083333,event::had_a_long_meeting,had a long meeting,0.5196
0.083333,mem::flying,flying,0.4149
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,event::had_a_long_meeting,had a long meeting,0.6321
0.166667,mem::flying,flying,0.5342
0.25,mem::childhood_home,childhood_home,0.9934
0.25,mem::school_corridor,school_corridor,0.9934
0.25,mem::falling,falling,0.9934
0.25,mem::being_chased,being_chased,0.9934
0.25,mem::being_late,being_late,0.9934
0.25,mem::teeth_loosening,teeth_loosening,0.9934
0.25,mem::cold_water,cold_water,0.9934
0.25,mem::loud_crowd,loud_crowd,0.9934
0.25,mem::grief,grief,0.9934
0.25,mem::dread,dread,0.9934
0.25,event::had_a_long_meeting,had a long meeting,0.8884
0.25,mem::flying,flying,0.7968
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
0.333333,mem::falling,falling,1.0
0.333333,mem::being_chased,being_chased,1.0
0.333333,mem::being_late,being_late,1.0
0.333333,mem::teeth_loosening,teeth_loosening,1.0
0.333333,mem::cold_water,cold_water,1.0
0.333333,mem::loud_crowd,loud_crowd,1.0
0.333333,mem::grief,grief,1.0
0.333333,mem::dread,dread,1.0
0.333333,event::had_a_long_meeting,had a long meeting,0.9481
0.333333,mem::flying,flying,0.8876
0.416667,mem::familiar_face,familiar_face,1.0
0.416667,mem::flying,flying,1.0
0.416667,mem::bright_light,bright_light,1.0
0.416667,mem::joy,joy,1.0
0.416667,mem::wonder,wonder,1.0
0.416667,event::had_a_long_meeting,had a long meeting,1.0
0.416667,mem::childhood_home,childhood_home,0.9868
0.416667,mem::school_corridor,school_corridor,0.9868
0.416667,mem::falling,falling,0.9868
0.416667,mem::being_chased,being_chased,0.9868
0.416667,mem::being_late,being_late,0.9868
0.416667,mem::teeth_loosening,teeth_loosening,0.9868
0.5,mem::childhood_home,childhood_home,0.9934
0.5,mem::school_corridor,school_corridor,0.9934
0.5,mem::falling,falling,0.9934
0.5,mem::being_chased,being_chased,0.9934
0.5,mem::being_late,being_late,0.9934
0.5,mem::teeth_loosening,teeth_loosening,0.9934
0.5,mem::cold_water,cold_water,0.9934
0.5,mem::loud_crowd,loud_crowd,0.9934
0.5,mem::grief,grief,0.9934
0.5,mem::dread,dread,0.9934
0.5,mem::familiar_face,familiar_face,0.9418
0.5,mem::flying,flying,0.9418
0.583333,mem::childhood_home,childhood_home,1.0
0.583333,mem::school_corridor,school_corridor,1.0
0.583333,mem::falling,falling,1.0
0.583333,mem::being_chased,being_chased,1.0
0.583333,mem::being_late,being_late,1.0
0.583333,mem::teeth_loosening,teeth_loosening,1.0
0.583333,mem::cold_water,cold_water,1.0
0.583333,mem::loud_crowd,loud_crowd,1.0
0.583333,mem::grief,grief,1.0
0.583333,mem::dread,dread,1.0
0.583333,mem::familiar_face,familiar_face,0.9672
0.583333,mem::flying,flying,0.9672
0.666667,mem::childhood_home,childhood_home,1.0
0.666667,mem::school_corridor,school_corridor,1.0
0.666667,mem::falling,falling,1.0
0.666667,mem::being_chased,being_chased,1.0
0.666667,mem::being_late,being_late,1.0
0.666667,mem::teeth_loosening,teeth_loosening,1.0
0.666667,mem::cold_water,cold_water,1.0
0.666667,mem::loud_crowd,loud_crowd,1.0
0.666667,mem::grief,grief,1.0
0.666667,mem::dread,dread,1.0
0.666667,mem::familiar_face,familiar_face,0.9737
0.666667,mem::flying,flying,0.9737
0.75,mem::childhood_home,childhood_home,1.0
0.75,mem::school_corridor,school_corridor,1.0
0.75,mem::falling,falling,1.0
0.75,mem::being_chased,being_chased,1.0
0.75,mem::being_late,being_late,1.0
0.75,mem::teeth_loosening,teeth_loosening,1.0
0.75,mem::cold_water,cold_water,1.0
0.75,mem::loud_crowd,loud_crowd,1.0
0.75,mem::grief,grief,1.0
0.75,mem::dread,dread,1.0
0.75,mem::familiar_face,familiar_face,0.9868
0.75,mem::flying,flying,0.9868
