time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4098
0.0,mem::familiar_face,familiar_face,0.4054
0.0,mem::joy,joy,0.3754
0.0,mem::bright_light,bright_light,0.3751
0.0,mem::being_chased,being_chased,0.3657
0.0,mem::cold_water,cold_water,0.3591
0.0,mem::flying,flying,0.3414
0.0,mem::falling,falling,0.3154
0.0,mem::teeth_loosening,teeth_loosening,0.2871
0.0,mem::loud_crowd,loud_crowd,0.2684
0.0,mem::wonder,wonder,0.2388
0.0,mem::grief,grief,0.2323
0.833333,mem::familiar_face,familiar_face,0.3741
0.833333,mem::joy,joy,0.3636
0.833333,mem::bright_light,bright_light,0.3635
0.833333,mem::flying,flying,0.3518
0.833333,mem::wonder,wonder,0.3158
0.833333,event::design_discussion,design discussion,0.2593
0.833333,mem::being_chased,being_chased,0.2393
0.833333,mem::cold_water,cold_water,0.2361
0.833333,mem::falling,falling,0.2165
0.833333,mem::teeth_loosening,teeth_loosening,0.2038
0.833333,mem::loud_crowd,loud_crowd,0.1952
0.833333,mem::grief,grief,0.179
