time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.3892
0.0,mem::being_chased,being_chased,0.371
0.0,mem::dread,dread,0.3561
0.0,mem::bright_light,bright_light,0.3321
0.0,mem::flying,flying,0.2915
0.0,mem::cold_water,cold_water,0.2843
0.0,mem::familiar_face,familiar_face,0.2784
0.0,event::code_review,code review,0.273
0.0,mem::school_corridor,school_corridor,0.2523
0.0,mem::wonder,wonder,0.2375
0.0,mem::childhood_home,childhood_home,0.2352
0.0,mem::teeth_loosening,teeth_loosening,0.2279
0.833333,event::design_discussion,design discussion,0.3546
0.833333,mem::being_chased,being_chased,0.3482
0.833333,mem::dread,dread,0.343
0.833333,mem::cold_water,cold_water,0.318
0.833333,mem::bright_light,bright_light,0.3105
0.833333,mem::school_corridor,school_corridor,0.3068
0.833333,mem::childhood_home,childhood_home,0.3007
0.833333,mem::teeth_loosening,teeth_loosening,0.298
0.833333,mem::being_late,being_late,0.2975
0.833333,mem::flying,flying,0.2964
0.833333,mem::loud_crowd,loud_crowd,0.293
0.833333,mem::familiar_face,familiar_face,0.2917
