time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4983,0.3087,0.3267,0.3436,anxious,0.452,0.0
0.008333,N1,0.4903,0.2978,0.3081,0.3555,anxious,0.427,0.0
0.016667,N1,0.525,0.2936,0.3185,0.3343,anxious,0.467,0.0
0.025,N1,0.5265,0.3064,0.2794,0.3338,neutral,0.451,0.0
0.033333,N1,0.5367,0.2825,0.2746,0.3326,joyful,0.511,0.0
0.041667,N1,0.5309,0.3268,0.2934,0.3639,joyful,0.449,0.0
0.05,N1,0.4625,0.3012,0.2974,0.3351,anxious,0.421,0.0
0.058333,N1,0.4985,0.312,0.3402,0.3802,melancholic,0.419,0.0
0.066667,N2,0.4307,0.2818,0.2818,0.3136,joyful,0.515,0.0
0.075,N2,0.4265,0.2791,0.2569,0.3401,anxious,0.526,0.0
0.083333,N2,0.4447,0.3013,0.301,0.3256,joyful,0.522,0.0
0.091667,N2,0.4731,0.2883,0.2817,0.3087,fearful,0.552,0.0
0.1,N2,0.4372,0.2681,0.2689,0.3543,anxious,0.47,0.0
0.108333,N2,0.4432,0.2353,0.3261,0.3461,neutral,0.478,0.0
0.116667,N2,0.4258,0.2523,0.2792,0.3484,fearful,0.523,0.0
0.125,N2,0.4786,0.3145,0.3058,0.32,anxious,0.5,0.0
0.133333,N2,0.4433,0.2294,0.2467,0.3306,melancholic,0.49,0.0
0.141667,N2,0.4398,0.2909,0.2958,0.3228,melancholic,0.507,0.0
0.15,N2,0.4823,0.2663,0.2913,0.3605,fearful,0.444,0.0
0.158333,N2,0.4761,0.2654,0.2768,0.3476,anxious,0.493,0.0
0.166667,N2,0.4531,0.2589,0.291,0.31,anxious,0.461,0.0
0.175,N2,0.4376,0.2534,0.2732,0.3406,anxious,0.472,0.0
0.183333,N2,0.491,0.2942,0.3118,0.3442,curious,0.481,0.0
0.191667,N2,0.4604,0.2917,0.2794,0.3579,anxious,0.496,0.0
0.2,N2,0.4247,0.2471,0.3249,0.3806,curious,0.485,0.0
0.208333,N2,0.4668,0.2634,0.2881,0.3098,anxious,0.454,0.0
0.216667,N2,0.4219,0.2841,0.3229,0.3146,anxious,0.428,0.0
0.225,N2,0.4377,0.2998,0.286,0.3022,anxious,0.462,0.0
0.233333,N2,0.4594,0.2616,0.2448,0.3208,anxious,0.483,0.0
0.241667,N2,0.4406,0.2574,0.2961,0.3511,anxious,0.456,0.0
0.25,N2,0.4214,0.2464,0.329,0.3436,anxious,0.454,0.0
0.258333,N2,0.4431,0.2365,0.2888,0.3069,anxious,0.492,0.0
0.266667,N2,0.4648,0.2961,0.2861,0.3474,neutral,0.518,0.0
0.275,N2,0.4465,0.2914,0.2936,0.3532,anxious,0.44,0.0
0.283333,N2,0.4605,0.2796,0.2135,0.3427,anxious,0.559,0.0
0.291667,N2,0.4516,0.283,0.2537,0.3168,anxious,0.49,0.0
0.3,N2,0.4536,0.2806,0.2831,0.28,fearful,0.465,0.0
0.308333,N2,0.4542,0.2807,0.2208,0.3295,melancholic,0.491,0.0
0.316667,N2,0.433,0.2805,0.3078,0.3388,anxious,0.443,0.0
0.325,N2,0.4722,0.2882,0.2539,0.3182,neutral,0.475,0.0
0.333333,N2,0.4423,0.308,0.238,0.3553,anxious,0.492,0.0
0.341667,N2,0.4641,0.2869,0.2749,0.2844,melancholic,0.473,0.0
