time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5237,0.317,0.3078,0.3763,joyful,0.418,0.0
0.083333,N2,0.4495,0.2476,0.2783,0.3537,neutral,0.432,0.0
0.166667,N2,0.4614,0.2745,0.28,0.3326,curious,0.481,0.0
0.25,N2,0.4452,0.303,0.3192,0.3129,joyful,0.416,0.0
0.333333,N2,0.4377,0.3078,0.3003,0.3468,melancholic,0.422,0.0
0.416667,N2,0.4138,0.279,0.2793,0.3343,anxious,0.397,0.0
0.5,N3,0.3383,0.2443,0.1927,0.2828,anxious,0.35,0.0
0.583333,N3,0.2701,0.2074,0.1441,0.3233,melancholic,0.35,0.0
0.666667,N3,0.3073,0.2115,0.1925,0.2948,neutral,0.35,0.0
0.75,N3,0.3043,0.1821,0.1499,0.2829,neutral,0.35,0.0
0.833333,N3,0.2674,0.1923,0.1823,0.2855,melancholic,0.319,0.0
0.916667,N3,0.3034,0.2208,0.1943,0.2749,neutral,0.35,0.0
