time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4941,0.2869,0.2959,0.3824,anxious,0.347,0.0
0.008333,N1,0.4731,0.3039,0.3095,0.3494,neutral,0.407,0.0
0.016667,N1,0.4963,0.3125,0.2861,0.365,joyful,0.315,0.0
0.025,N1,0.5029,0.281,0.3028,0.3316,serene,0.384,0.0
0.033333,N1,0.4747,0.3002,0.2678,0.3295,anxious,0.346,0.0
0.041667,N1,0.4902,0.3143,0.2854,0.3691,joyful,0.366,0.0
0.05,N1,0.5213,0.2881,0.3314,0.3553,anxious,0.313,0.0
0.058333,N1,0.5074,0.304,0.2951,0.2949,joyful,0.423,0.0
0.066667,N1,0.4574,0.2968,0.296,0.3198,fearful,0.396,0.0
0.075,N1,0.5322,0.3012,0.2866,0.312,joyful,0.337,0.0
0.083333,N2,0.4334,0.3005,0.2711,0.3457,anxious,0.386,0.0
0.091667,N2,0.436,0.2903,0.2735,0.3562,joyful,0.421,0.0
0.1,N2,0.431,0.2959,0.2798,0.3444,neutral,0.404,0.0
0.108333,N2,0.4793,0.2787,0.2708,0.3038,serene,0.404,0.0
0.116667,N2,0.465,0.3218,0.2627,0.337,curious,0.402,0.0
0.125,N2,0.4736,0.267,0.3074,0.3601,melancholic,0.405,0.0
0.133333,N2,0.4512,0.2948,0.2838,0.3346,fearful,0.385,0.0
0.141667,N2,0.4416,0.2641,0.2687,0.3538,anxious,0.435,0.0
0.15,N2,0.4283,0.2891,0.2838,0.3242,curious,0.39,0.0
0.158333,N2,0.4459,0.2915,0.2636,0.3252,melancholic,0.438,0.0
0.166667,N2,0.4335,0.2882,0.3069,0.3272,joyful,0.355,0.0
0.175,N2,0.5003,0.275,0.2852,0.338,curious,0.46,0.0
0.183333,N2,0.4536,0.2594,0.3033,0.3478,joyful,0.414,0.0
0.191667,N2,0.4701,0.2738,0.2704,0.3386,neutral,0.43,0.0
0.2,N2,0.4488,0.2726,0.2572,0.3303,joyful,0.419,0.0
0.208333,N2,0.4475,0.2779,0.3145,0.3186,joyful,0.403,0.0
0.216667,N2,0.449,0.2978,0.2718,0.3266,joyful,0.395,0.0
0.225,N2,0.4537,0.3265,0.2598,0.3132,neutral,0.353,0.0
0.233333,N2,0.4606,0.2881,0.3113,0.3347,fearful,0.416,0.0
0.241667,N2,0.4861,0.3012,0.3241,0.2966,curious,0.415,0.0
0.25,N2,0.4632,0.2416,0.2925,0.3756,fearful,0.429,0.0
0.258333,N2,0.4982,0.285,0.2523,0.3193,anxious,0.509,0.0
0.266667,N2,0.4289,0.2803,0.2842,0.3296,melancholic,0.381,0.0
0.275,N2,0.432,0.2977,0.2602,0.3222,melancholic,0.482,0.0
0.283333,N2,0.4349,0.2508,0.2857,0.3227,neutral,0.38,0.0
0.291667,N2,0.4303,0.2703,0.2964,0.3352,neutral,0.363,0.0
0.3,N2,0.4273,0.2858,0.2772,0.3367,melancholic,0.404,0.0
0.308333,N2,0.4525,0.2627,0.2731,0.3093,neutral,0.451,0.0
0.316667,N2,0.455,0.2819,0.266,0.329,joyful,0.396,0.0
0.325,N2,0.4499,0.2942,0.2997,0.3391,joyful,0.394,0.0
0.333333,N2,0.4406,0.2657,0.2871,0.3144,neutral,0.376,0.0
0.341667,N2,0.4213,0.2927,0.2576,0.343,anxious,0.441,0.0
0.35,N3,0.2944,0.2227,0.1965,0.3482,curious,0.343,0.0
0.358333,N3,0.2894,0.1789,0.2137,0.367,joyful,0.317,0.0
0.366667,N3,0.3119,0.1911,0.2138,0.3148,neutral,0.35,0.0
0.375,N3,0.3176,0.1928,0.2193,0.2963,fearful,0.35,0.0
0.383333,N3,0.2901,0.1983,0.196,0.3296,neutral,0.35,0.0
0.391667,N3,0.2882,0.2075,0.2132,0.3151,neutral,0.31,0.0
0.4,N3,0.3017,0.2168,0.1809,0.3215,fearful,0.346,0.0
0.408333,N3,0.2741,0.2059,0.224,0.3246,serene,0.35,0.0
0.416667,N3,0.2781,0.1937,0.1737,0.2915,neutral,0.328,0.0
0.425,N3,0.3451,0.2033,0.2113,0.3257,melancholic,0.35,0.0
0.433333,N3,0.2753,0.1815,0.2043,0.2986,curious,0.35,0.0
0.441667,N3,0.2812,0.1882,0.1873,0.2994,serene,0.35,0.0
0.45,N3,0.2822,0.1712,0.2106,0.2908,curious,0.35,0.0
0.458333,N3,0.298,0.1911,0.2157,0.318,serene,0.34,0.0
0.466667,N3,0.3357,0.2122,0.1625,0.2889,serene,0.35,0.0
0.475,N3,0.336,0.1811,0.1998,0.3035,curious,0.35,0.0
0.483333,N3,0.2894,0.2169,0.2095,0.343,neutral,0.35,0.0
0.491667,N3,0.2924,0.1972,0.1983,0.3386,neutral,0.35,0.0
0.5,N3,0.2996,0.2246,0.2039,0.2591,fearful,0.336,0.0
0.508333,N3,0.2852,0.1864,0.2045,0.3225,neutral,0.35,0.0
0.516667,N3,0.2768,0.1661,0.2173,0.2984,joyful,0.33,0.0
0.525,N3,0.3038,0.1845,0.1952,0.3198,joyful,0.35,0.0
0.533333,N3,0.3166,0.1768,0.1826,0.3234,neutral,0.35,0.0
0.541667,N3,0.2818,0.2321,0.1962,0.293,joyful,0.344,0.0
