time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4966
0.0,event::code_review,code review,0.4501
0.0,mem::falling,falling,0.369
0.0,mem::teeth_loosening,teeth_loosening,0.3608
0.0,mem::wonder,wonder,0.3562
0.0,mem::being_chased,being_chased,0.3108
0.0,mem::being_late,being_late,0.3086
0.0,mem::familiar_face,familiar_face,0.296
0.0,mem::recurring_journey,recurring_journey,0.266
0.0,mem::dread,dread,0.2626
0.0,mem::school_corridor,school_corridor,0.2471
0.0,mem::loud_crowd,loud_crowd,0.2294
0.833333,event::design_discussion,design discussion,0.4056
0.833333,mem::falling,falling,0.3608
0.833333,mem::teeth_loosening,teeth_loosening,0.3579
0.833333,mem::being_chased,being_chased,0.3405
0.833333,mem::being_late,being_late,0.3398
0.833333,mem::dread,dread,0.3236
0.833333,event::code_review,code review,0.319
0.833333,mem::school_corridor,school_corridor,0.3183
0.833333,mem::loud_crowd,loud_crowd,0.3119
0.833333,mem::childhood_home,childhood_home,0.3045
0.833333,mem::wonder,wonder,0.2816
0.833333,mem::grief,grief,0.2758
