time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5158,0.2945,0.2996,0.3406,curious,0.371,0.0
0.008333,N1,0.4893,0.3364,0.3004,0.3742,neutral,0.343,0.0
0.016667,N1,0.4904,0.2685,0.2979,0.3433,neutral,0.362,0.0
0.025,N1,0.4878,0.2833,0.2919,0.3493,joyful,0.377,0.0
0.033333,N1,0.5266,0.3134,0.306,0.3658,neutral,0.364,0.0
0.041667,N1,0.5184,0.3156,0.2684,0.3947,joyful,0.406,0.0
0.05,N1,0.4944,0.3016,0.255,0.3405,curious,0.364,0.0
0.058333,N1,0.5166,0.304,0.2768,0.3318,joyful,0.384,0.0
0.066667,N1,0.4997,0.2907,0.3003,0.3286,joyful,0.352,0.0
0.075,N1,0.4759,0.325,0.3256,0.3571,neutral,0.295,0.0
0.083333,N2,0.4474,0.292,0.2532,0.3498,neutral,0.43,0.0
0.091667,N2,0.4479,0.283,0.2726,0.3278,anxious,0.42,0.0
0.1,N2,0.4956,0.2981,0.2768,0.3321,melancholic,0.392,0.0
0.108333,N2,0.4418,0.2959,0.27,0.3444,fearful,0.411,0.0
0.116667,N2,0.4839,0.29,0.2435,0.2743,anxious,0.481,0.0
0.125,N2,0.4336,0.2596,0.2768,0.3199,anxious,0.432,0.0
0.133333,N2,0.4649,0.2837,0.3172,0.3415,anxious,0.41,0.0
0.141667,N2,0.436,0.2936,0.2805,0.3285,serene,0.404,0.0
0.15,N2,0.4561,0.2998,0.2991,0.3249,joyful,0.36,0.0
0.158333,N2,0.4429,0.2802,0.2454,0.3152,serene,0.405,0.0
0.166667,N2,0.438,0.2549,0.2797,0.3558,neutral,0.425,0.0
0.175,N2,0.4492,0.2897,0.2821,0.2988,serene,0.418,0.0
0.183333,N2,0.4441,0.3031,0.285,0.3233,curious,0.417,0.0
0.191667,N2,0.4504,0.3007,0.2543,0.3365,anxious,0.37,0.0
0.2,N2,0.4657,0.2858,0.2898,0.3398,neutral,0.454,0.0
0.208333,N2,0.4731,0.2706,0.2799,0.3042,neutral,0.392,0.0
0.216667,N2,0.4468,0.2887,0.2649,0.3061,melancholic,0.398,0.0
0.225,N2,0.4793,0.2826,0.291,0.324,neutral,0.356,0.0
0.233333,N2,0.4663,0.3073,0.2951,0.3227,neutral,0.449,0.0
0.241667,N2,0.4381,0.3026,0.2857,0.307,curious,0.401,0.0
0.25,N2,0.4463,0.3125,0.2509,0.3582,anxious,0.447,0.0
0.258333,N2,0.4588,0.2909,0.2736,0.3381,curious,0.401,0.0
0.266667,N2,0.4078,0.2796,0.2562,0.2967,fearful,0.375,0.0
0.275,N2,0.4392,0.2826,0.296,0.3356,neutral,0.387,0.0
0.283333,N2,0.4347,0.316,0.2716,0.3477,curious,0.479,0.0
0.291667,N2,0.4642,0.2883,0.2718,0.362,curious,0.434,0.0
0.3,N2,0.4455,0.2521,0.2662,0.325,neutral,0.443,0.0
0.308333,N2,0.4514,0.2329,0.2352,0.3644,joyful,0.449,0.0
0.316667,N2,0.4666,0.2756,0.2768,0.313,neutral,0.399,0.0
0.325,N2,0.4855,0.2807,0.3112,0.3349,curious,0.365,0.0
0.333333,N2,0.4381,0.2751,0.2594,0.3566,joyful,0.341,0.0
0.341667,N2,0.4507,0.2824,0.3206,0.3848,curious,0.386,0.0
0.35,N3,0.2968,0.1861,0.1972,0.3218,joyful,0.35,0.0
0.358333,N3,0.3113,0.1791,0.1914,0.2782,neutral,0.35,0.0
0.366667,N3,0.307,0.2097,0.2027,0.3138,joyful,0.35,0.0
0.375,N3,0.2784,0.1826,0.1998,0.3487,joyful,0.342,0.0
0.383333,N3,0.2665,0.1701,0.2328,0.3293,anxious,0.331,0.0
0.391667,N3,0.2815,0.1879,0.2377,0.3472,curious,0.296,0.0
0.4,N3,0.2971,0.2628,0.166,0.3271,neutral,0.35,0.0
0.408333,N3,0.2609,0.1784,0.179,0.329,neutral,0.323,0.0
0.416667,N3,0.2739,0.2384,0.2005,0.3048,anxious,0.35,0.0
0.425,N3,0.2626,0.188,0.1908,0.3103,melancholic,0.35,0.0
0.433333,N3,0.2949,0.1981,0.1935,0.2788,serene,0.345,0.0
0.441667,N3,0.2834,0.1798,0.2014,0.3308,neutral,0.35,0.0
0.45,N3,0.2704,0.1605,0.1838,0.3222,neutral,0.35,0.0
0.458333,N3,0.3125,0.2128,0.2306,0.3104,serene,0.35,0.0
0.466667,N3,0.3084,0.2303,0.1913,0.3243,curious,0.35,0.0
0.475,N3,0.3437,0.1984,0.24,0.2977,melancholic,0.35,0.0
0.483333,N3,0.3009,0.1892,0.1668,0.3163,neutral,0.35,0.0
0.491667,N3,0.2556,0.2089,0.2109,0.284,anxious,0.342,0.0
0.5,N3,0.3002,0.1903,0.1981,0.2848,joyful,0.35,0.0
0.508333,N3,0.2905,0.1919,0.1621,0.3356,neutral,0.35,0.0
0.516667,N3,0.3292,0.2157,0.2121,0.3288,curious,0.35,0.0
0.525,N3,0.2703,0.1838,0.2013,0.2977,neutral,0.336,0.0
0.533333,N3,0.2832,0.2382,0.1729,0.2735,joyful,0.35,0.0
0.541667,N3,0.3037,0.2159,0.22,0.3287,neutral,0.35,0.0
0.55,N3,0.3145,0.1907,0.2003,0.3242,neutral,0.35,0.0
0.558333,N3,0.3219,0.2205,0.2174,0.3218,joyful,0.35,0.0
0.566667,N3,0.3432,0.1678,0.1676,0.3105,joyful,0.35,0.0
0.575,N3,0.2889,0.226,0.2002,0.3262,joyful,0.329,0.0
0.583333,N3,0.3005,0.2122,0.2069,0.2882,joyful,0.336,0.0
0.591667,N3,0.32,0.1841,0.2194,0.2866,joyful,0.35,0.0
0.6,N3,0.2664,0.1991,0.1795,0.259,joyful,0.35,0.0
0.608333,N3,0.2997,0.197,0.1955,0.2836,joyful,0.35,0.0
0.616667,N3,0.2899,0.1878,0.2083,0.3274,neutral,0.35,0.0
0.625,N3,0.3194,0.2022,0.2088,0.304,curious,0.35,0.0
0.633333,N3,0.3145,0.2151,0.2022,0.3205,melancholic,0.35,0.0
0.641667,N3,0.2897,0.1881,0.1947,0.3374,curious,0.337,0.0
0.65,N3,0.2565,0.2096,0.2148,0.313,neutral,0.35,0.0
0.658333,N3,0.3074,0.2369,0.1921,0.2674,joyful,0.339,0.0
0.666667,N3,0.3311,0.2108,0.1977,0.2988,joyful,0.35,0.0
0.675,N3,0.2774,0.2,0.1648,0.2901,joyful,0.35,0.0
0.683333,N3,0.3221,0.2166,0.2114,0.2699,melancholic,0.35,0.0
0.691667,N3,0.3303,0.1922,0.2079,0.3162,anxious,0.35,0.0
0.7,N3,0.2861,0.2101,0.2189,0.3049,neutral,0.35,0.0
0.708333,N3,0.282,0.2253,0.1938,0.331,anxious,0.35,0.0
0.716667,N3,0.3162,0.1879,0.2155,0.3319,joyful,0.35,0.0
0.725,N3,0.2825,0.2075,0.2138,0.309,anxious,0.35,0.0
0.733333,N3,0.3037,0.1943,0.1936,0.2718,melancholic,0.348,0.0
0.741667,N3,0.3299,0.2127,0.2084,0.2686,neutral,0.344,0.0
0.75,N3,0.2824,0.1771,0.216,0.2926,serene,0.35,0.0
0.758333,N3,0.2625,0.1965,0.2097,0.2848,anxious,0.315,0.0
0.766667,N3,0.319,0.206,0.2052,0.2986,fearful,0.336,0.0
0.775,N3,0.2912,0.2502,0.1968,0.2889,anxious,0.35,0.0
0.783333,N3,0.3121,0.1621,0.2508,0.2825,neutral,0.35,0.0
0.791667,N3,0.2791,0.2147,0.1749,0.271,curious,0.319,0.0
0.8,N3,0.3071,0.1473,0.2127,0.3106,melancholic,0.35,0.0
0.808333,N3,0.3256,0.2202,0.177,0.2514,anxious,0.35,0.0
0.816667,N3,0.3236,0.2045,0.1946,0.3027,joyful,0.35,0.0
0.825,N3,0.341,0.1933,0.1837,0.2835,melancholic,0.332,0.0
0.833333,N3,0.2931,0.2263,0.2057,0.2863,neutral,0.35,0.0
0.841667,N3,0.2615,0.2215,0.1601,0.2759,neutral,0.35,0.0
0.85,N3,0.3189,0.2172,0.1843,0.3036,joyful,0.35,0.0
0.858333,N3,0.2819,0.1876,0.1993,0.281,curious,0.35,0.0
0.866667,N3,0.3205,0.219,0.2056,0.3264,anxious,0.35,0.0
0.875,N3,0.3397,0.202,0.1836,0.2593,neutral,0.34,0.0
0.883333,N3,0.2951,0.2303,0.1814,0.2718,curious,0.308,0.0
0.891667,N3,0.3095,0.1977,0.1935,0.2685,melancholic,0.341,0.0
0.9,N3,0.3134,0.2061,0.205,0.2898,neutral,0.332,0.0
0.908333,N3,0.3134,0.1808,0.2182,0.2514,neutral,0.349,0.0
0.916667,N3,0.2543,0.1848,0.2129,0.2878,joyful,0.312,0.0
