time_hours,node_id,node_label,activation
0.0,mem::joy,joy,0.411
0.0,mem::being_late,being_late,0.3817
0.0,mem::bright_light,bright_light,0.3284
0.0,mem::childhood_home,childhood_home,0.3218
0.0,mem::grief,grief,0.316
0.0,mem::dread,dread,0.3144
0.0,mem::being_chased,being_chased,0.3101
0.0,event::had_a_long_meeting,had a long meeting,0.2751
0.0,mem::school_corridor,school_corridor,0.264
0.0,mem::wonder,wonder,0.2267
0.0,mem::loud_crowd,loud_crowd,0.2114
0.0,mem::flying,flying,0.2063
0.083333,mem::being_late,being_late,0.5227
0.083333,mem::childhood_home,childhood_home,0.4844
0.083333,mem::grief,grief,0.4806
0.083333,mem::dread,dread,0.4797
0.083333,mem::being_chased,being_chased,0.477
0.083333,event::had_a_long_meeting,had a long meeting,0.4547
0.083333,mem::school_corridor,school_corridor,0.4474
0.083333,mem::loud_crowd,loud_crowd,0.4141
0.083333,mem::teeth_loosening,teeth_loosening,0.4073
0.083333,mem::falling,falling,0.403
0.083333,mem::cold_water,cold_water,0.3951
0.083333,mem::joy,joy,0.3845
0.166667,mem::being_late,being_late,0.6204
0.166667,mem::joy,joy,0.6117
0.166667,mem::childhood_home,childhood_home,0.5959
0.166667,mem::grief,grief,0.5936
0.166667,mem::dread,dread,0.593
0.166667,mem::being_chased,being_chased,0.5913
0.166667,event::had_a_long_meeting,had a long meeting,0.5771
0.166667,mem::bright_light,bright_light,0.5736
0.166667,mem::school_corridor,school_corridor,0.5722
0.166667,mem::loud_crowd,loud_crowd,0.5511
0.166667,mem::teeth_loosening,teeth_loosening,0.5467
0.166667,mem::falling,falling,0.5441
0.25,mem::joy,joy,0.6742
0.25,mem::being_late,being_late,0.6537
0.25,mem::bright_light,bright_light,0.6499
0.25,mem::childhood_home,childhood_home,0.6359
0.25,mem::grief,grief,0.6345
0.25,mem::dread,dread,0.6339
0.25,mem::being_chased,being_chased,0.6326
0.25,event::had_a_long_meeting,had a long meeting,0.6224
0.25,mem::wonder,wonder,0.62
0.25,mem::school_corridor,school_corridor,0.6188
0.25,mem::flying,flying,0.6139
0.25,mem::familiar_face,familiar_face,0.6118
0.333333,mem::joy,joy,0.6886
0.333333,mem::being_late,being_late,0.6754
0.333333,mem::bright_light,bright_light,0.6711
0.333333,mem::childhood_home,childhood_home,0.6625
0.333333,mem::grief,grief,0.6615
0.333333,mem::dread,dread,0.661
0.333333,mem::being_chased,being_chased,0.66
0.333333,event::had_a_long_meeting,had a long meeting,0.6527
0.333333,mem::school_corridor,school_corridor,0.6501
0.333333,mem::wonder,wonder,0.6494
0.333333,mem::flying,flying,0.6449
0.333333,mem::familiar_face,familiar_face,0.6434
0.416667,mem::joy,joy,0.7033
0.416667,mem::bright_light,bright_light,0.6906
0.416667,mem::wonder,wonder,0.6748
0.416667,mem::flying,flying,0.6715
0.416667,mem::familiar_face,familiar_face,0.6704
0.416667,mem::being_late,being_late,0.66
0.416667,mem::childhood_home,childhood_home,0.6493
0.416667,mem::grief,grief,0.6485
0.416667,mem::dread,dread,0.6481
0.416667,mem::being_chased,being_chased,0.6473
0.416667,event::had_a_long_meeting,had a long meeting,0.6414
0.416667,mem::school_corridor,school_corridor,0.6391
0.5,mem::joy,joy,0.7374
0.5,mem::bright_light,bright_light,0.7293
0.5,mem::wonder,wonder,0.7193
0.5,mem::flying,flying,0.7171
0.5,mem::familiar_face,familiar_face,0.7164
0.5,mem::being_late,being_late,0.7055
0.5,mem::childhood_home,childhood_home,0.6986
0.5,mem::grief,grief,0.6981
0.5,mem::dread,dread,0.6978
0.5,mem::being_chased,being_chased,0.6973
0.5,event::had_a_long_meeting,had a long meeting,0.6935
0.5,mem::school_corridor,school_corridor,0.6922
0.583333,mem::being_late,being_late,0.7142
0.583333,mem::joy,joy,0.7116
0.583333,mem::childhood_home,childhood_home,0.7092
0.583333,mem::grief,grief,0.709
0.583333,mem::dread,dread,0.7087
0.583333,mem::being_chased,being_chased,0.7084
0.583333,event::had_a_long_meeting,had a long meeting,0.7055
0.583333,mem::bright_light,bright_light,0.7052
0.583333,mem::school_corridor,school_corridor,0.7047
0.583333,mem::loud_crowd,loud_crowd,0.7004
0.583333,mem::teeth_loosening,teeth_loosening,0.6994
0.583333,mem::falling,falling,0.699
0.666667,mem::joy,joy,0.7906
0.666667,mem::bright_light,bright_light,0.7878
0.666667,mem::wonder,wonder,0.7841
0.666667,mem::flying,flying,0.7835
0.666667,mem::familiar_face,familiar_face,0.7832
0.666667,mem::being_late,being_late,0.7203
0.666667,mem::childhood_home,childhood_home,0.7168
0.666667,mem::grief,grief,0.7166
0.666667,mem::dread,dread,0.7164
0.666667,mem::being_chased,being_chased,0.7162
0.666667,event::had_a_long_meeting,had a long meeting,0.7139
0.666667,mem::school_corridor,school_corridor,0.7133
0.75,mem::joy,joy,0.7723
0.75,mem::bright_light,bright_light,0.7703
0.75,mem::wonder,wonder,0.7677
0.75,mem::flying,flying,0.7672
0.75,mem::familiar_face,familiar_face,0.767
0.75,mem::being_late,being_late,0.7033
0.75,mem::childhood_home,childhood_home,0.7005
0.75,mem::grief,grief,0.7004
0.75,mem::dread,dread,0.7002
0.75,mem::being_chased,being_chased,0.7
0.75,event::had_a_long_meeting,had a long meeting,0.6982
0.75,mem::school_corridor,school_corridor,0.6976
0.833333,mem::joy,joy,0.7743
0.833333,mem::bright_light,bright_light,0.773
0.833333,mem::wonder,wonder,0.7714
0.833333,mem::flying,flying,0.7711
0.833333,mem::familiar_face,familiar_face,0.771
0.833333,mem::being_late,being_late,0.7137
0.833333,mem::childhood_home,childhood_home,0.7117
0.833333,mem::grief,grief,0.7117
0.833333,mem::dread,dread,0.7115
0.833333,mem::being_chased,being_chased,0.7113
0.833333,event::had_a_long_meeting,had a long meeting,0.7101
0.833333,mem::school_corridor,school_corridor,0.7097
0.916667,mem::joy,joy,0.7822
0.916667,mem::bright_light,bright_light,0.7813
0.916667,mem::wonder,wonder,0.7803
0.916667,mem::flying,flying,0.78
0.916667,mem::familiar_face,familiar_face,0.7799
0.916667,mem::being_late,being_late,0.7172
0.916667,mem::childhood_home,childhood_home,0.7157
0.916667,mem::grief,grief,0.7157
0.916667,mem::dread,dread,0.7156
0.916667,mem::being_chased,being_chased,0.7155
0.916667,event::had_a_long_meeting,had a long meeting,0.7145
0.916667,mem::school_corridor,school_corridor,0.7143
