time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4991,0.3464,0.2761,0.3522,neutral,0.428,0.0
0.008333,N1,0.4609,0.3578,0.3179,0.3462,melancholic,0.419,0.0
0.016667,N1,0.5161,0.3586,0.2971,0.339,joyful,0.457,0.0
0.025,N1,0.5288,0.3885,0.3217,0.3523,anxious,0.431,0.0
0.033333,N1,0.5242,0.3341,0.3232,0.373,fearful,0.363,0.0
0.041667,N1,0.5638,0.3622,0.2894,0.3493,neutral,0.403,0.0
0.05,N1,0.5161,0.3513,0.3514,0.3523,anxious,0.366,0.0
0.058333,N1,0.5231,0.3645,0.3182,0.3373,melancholic,0.413,0.0
0.066667,N1,0.4647,0.3735,0.2949,0.3255,anxious,0.443,0.0
0.075,N1,0.5069,0.3358,0.3104,0.3456,joyful,0.427,0.0
0.083333,N2,0.4629,0.345,0.2642,0.3629,fearful,0.492,0.0
0.091667,N2,0.4412,0.3285,0.2609,0.3406,fearful,0.412,0.0
0.1,N2,0.4168,0.3019,0.293,0.3501,melancholic,0.439,0.0
0.108333,N2,0.4665,0.3302,0.2564,0.334,curious,0.443,0.0
0.116667,N2,0.4432,0.3398,0.2768,0.3332,fearful,0.414,0.0
0.125,N2,0.4457,0.334,0.3199,0.3396,melancholic,0.432,0.0
0.133333,N2,0.4554,0.3151,0.2778,0.3593,melancholic,0.469,0.0
0.141667,N2,0.4419,0.3612,0.2484,0.339,anxious,0.418,0.0
0.15,N2,0.4626,0.3199,0.2815,0.372,melancholic,0.474,0.0
0.158333,N2,0.4465,0.3592,0.315,0.3235,anxious,0.479,0.0
0.166667,N2,0.4681,0.3395,0.2524,0.3567,anxious,0.457,0.0
0.175,N2,0.4588,0.3215,0.2872,0.3417,anxious,0.448,0.0
0.183333,N2,0.4678,0.3247,0.256,0.3423,anxious,0.445,0.0
0.191667,N2,0.4683,0.3654,0.263,0.3487,serene,0.447,0.0
0.2,N2,0.4721,0.3563,0.2588,0.3423,anxious,0.465,0.0
0.208333,N2,0.4393,0.3321,0.2721,0.3005,anxious,0.428,0.0
0.216667,N2,0.4283,0.3247,0.287,0.3026,curious,0.463,0.0
0.225,N2,0.4466,0.3278,0.2789,0.328,anxious,0.517,0.0
0.233333,N2,0.4561,0.3173,0.3096,0.3463,melancholic,0.502,0.0
0.241667,N2,0.4389,0.3046,0.2864,0.3135,anxious,0.482,0.0
0.25,N2,0.4271,0.3681,0.256,0.3579,anxious,0.454,0.0
0.258333,N2,0.4459,0.3095,0.2643,0.3372,anxious,0.393,0.0
0.266667,N2,0.459,0.3511,0.2973,0.3211,anxious,0.447,0.0
0.275,N2,0.4461,0.3672,0.2915,0.3463,serene,0.484,0.0
0.283333,N2,0.4014,0.361,0.3015,0.3372,anxious,0.435,0.0
0.291667,N2,0.4394,0.3379,0.2632,0.3261,fearful,0.376,0.0
0.3,N2,0.4943,0.3601,0.3208,0.3192,curious,0.489,0.0
0.308333,N2,0.4261,0.3534,0.2534,0.3473,anxious,0.447,0.0
0.316667,N2,0.4329,0.3297,0.2875,0.3483,anxious,0.494,0.0
0.325,N2,0.4303,0.3423,0.2898,0.3462,melancholic,0.453,0.0
0.333333,N2,0.4408,0.3716,0.2902,0.3318,melancholic,0.414,0.0
0.341667,N2,0.4517,0.3087,0.2755,0.3409,melancholic,0.504,0.0
0.35,N2,0.4508,0.2865,0.2656,0.3308,anxious,0.486,0.0
0.358333,N2,0.4333,0.3433,0.2693,0.3269,melancholic,0.407,0.0
0.366667,N2,0.4484,0.3977,0.2737,0.3176,anxious,0.459,0.0
0.375,N2,0.4523,0.3749,0.2405,0.3357,neutral,0.458,0.0
0.383333,N2,0.4462,0.3251,0.3081,0.3218,melancholic,0.452,0.0
0.391667,N2,0.4767,0.3272,0.282,0.3415,fearful,0.434,0.0
0.4,N2,0.426,0.2982,0.3046,0.3343,melancholic,0.417,0.0
0.408333,N2,0.4728,0.366,0.2796,0.3267,anxious,0.46,0.0
0.416667,N2,0.4687,0.3523,0.3171,0.2889,anxious,0.445,0.0
0.425,N2,0.4842,0.3259,0.2517,0.3318,anxious,0.441,0.0
0.433333,N2,0.4457,0.3157,0.2765,0.3033,anxious,0.453,0.0
0.441667,N2,0.455,0.3365,0.2629,0.3252,fearful,0.488,0.0
0.45,N2,0.4341,0.3354,0.3141,0.3127,fearful,0.427,0.0
0.458333,N2,0.4249,0.3255,0.2754,0.2549,anxious,0.547,0.0
0.466667,N3,0.3072,0.2375,0.2141,0.3025,neutral,0.35,0.0
0.475,N3,0.3189,0.2531,0.2046,0.29,fearful,0.35,0.0
