time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5155,0.3072,0.2802,0.3673,neutral,0.36,0.0
0.008333,N1,0.538,0.3157,0.322,0.3448,melancholic,0.358,0.0
0.016667,N1,0.4949,0.3248,0.2852,0.3462,neutral,0.387,0.0
0.025,N1,0.4708,0.3178,0.2876,0.3218,fearful,0.343,0.0
0.033333,N1,0.4984,0.2927,0.3204,0.3812,joyful,0.403,0.0
0.041667,N1,0.5127,0.2874,0.3025,0.3125,melancholic,0.346,0.0
0.05,N1,0.5024,0.2959,0.2995,0.2917,serene,0.352,0.0
0.058333,N1,0.4724,0.2991,0.3101,0.3412,neutral,0.363,0.0
0.066667,N1,0.4854,0.3514,0.2938,0.3283,neutral,0.351,0.0
0.075,N1,0.4979,0.2953,0.2942,0.3377,joyful,0.364,0.0
0.083333,N1,0.4996,0.32,0.3313,0.3752,anxious,0.378,0.0
0.091667,N1,0.4849,0.2771,0.3265,0.3222,anxious,0.333,0.0
0.1,N2,0.4615,0.2595,0.2691,0.3468,curious,0.438,0.0
0.108333,N2,0.4973,0.2653,0.309,0.3518,joyful,0.392,0.0
0.116667,N2,0.4539,0.2813,0.2825,0.3207,joyful,0.431,0.0
0.125,N2,0.429,0.3125,0.2666,0.3321,neutral,0.371,0.0
0.133333,N2,0.4366,0.2762,0.2507,0.3316,joyful,0.436,0.0
0.141667,N2,0.4624,0.2978,0.2604,0.3393,joyful,0.42,0.0
0.15,N2,0.4349,0.2793,0.2802,0.3232,curious,0.364,0.0
0.158333,N2,0.4367,0.2764,0.2755,0.3906,neutral,0.431,0.0
0.166667,N2,0.4718,0.2808,0.2711,0.3542,melancholic,0.396,0.0
0.175,N2,0.4171,0.2665,0.2759,0.3492,neutral,0.44,0.0
0.183333,N2,0.5045,0.2863,0.272,0.371,melancholic,0.441,0.0
0.191667,N2,0.4385,0.2607,0.2925,0.3218,neutral,0.42,0.0
0.2,N2,0.4391,0.2955,0.2852,0.3568,neutral,0.395,0.0
0.208333,N2,0.4549,0.303,0.3218,0.2991,melancholic,0.402,0.0
0.216667,N2,0.4252,0.2894,0.2724,0.3056,melancholic,0.401,0.0
0.225,N2,0.4555,0.2574,0.2703,0.356,curious,0.437,0.0
0.233333,N2,0.449,0.2916,0.2876,0.3256,melancholic,0.439,0.0
0.241667,N2,0.4358,0.271,0.2762,0.3469,neutral,0.399,0.0
0.25,N2,0.4614,0.2429,0.2736,0.3059,anxious,0.393,0.0
0.258333,N2,0.4404,0.282,0.2774,0.325,curious,0.354,0.0
0.266667,N2,0.4374,0.2817,0.2904,0.3219,neutral,0.372,0.0
0.275,N2,0.4614,0.287,0.282,0.3405,curious,0.34,0.0
0.283333,N2,0.4389,0.2793,0.2733,0.3278,neutral,0.38,0.0
0.291667,N2,0.4972,0.2979,0.2833,0.3181,joyful,0.414,0.0
0.3,N2,0.4594,0.276,0.2966,0.3278,joyful,0.381,0.0
0.308333,N2,0.4486,0.2895,0.2772,0.33,neutral,0.4,0.0
0.316667,N2,0.4276,0.2777,0.3139,0.3172,anxious,0.402,0.0
0.325,N2,0.429,0.2975,0.3132,0.3061,curious,0.418,0.0
0.333333,N2,0.4345,0.2678,0.2492,0.3009,joyful,0.409,0.0
0.341667,N2,0.4508,0.2538,0.281,0.3057,joyful,0.423,0.0
0.35,N2,0.4339,0.2936,0.3115,0.3407,melancholic,0.367,0.0
0.358333,N2,0.4463,0.3046,0.249,0.3093,melancholic,0.439,0.0
0.366667,N2,0.4652,0.2881,0.2635,0.323,joyful,0.38,0.0
0.375,N2,0.4527,0.2913,0.2803,0.3138,anxious,0.444,0.0
0.383333,N2,0.4459,0.2762,0.2818,0.3037,neutral,0.367,0.0
0.391667,N2,0.4953,0.2663,0.2564,0.313,melancholic,0.419,0.0
0.4,N3,0.3048,0.204,0.2083,0.3149,curious,0.35,0.0
0.408333,N3,0.3083,0.2211,0.1676,0.3158,neutral,0.35,0.0
0.416667,N3,0.3464,0.1999,0.2104,0.3345,neutral,0.35,0.0
0.425,N3,0.3118,0.1984,0.2297,0.3299,joyful,0.35,0.0
0.433333,N3,0.3028,0.1986,0.2224,0.2946,anxious,0.35,0.0
0.441667,N3,0.2949,0.1856,0.2029,0.3016,joyful,0.35,0.0
0.45,N3,0.3092,0.201,0.1978,0.3092,melancholic,0.35,0.0
0.458333,N3,0.3023,0.2408,0.1686,0.3154,curious,0.35,0.0
0.466667,N3,0.2889,0.2085,0.1763,0.2928,neutral,0.35,0.0
0.475,N3,0.299,0.1984,0.2001,0.2602,melancholic,0.35,0.0
0.483333,N3,0.259,0.1815,0.1714,0.3197,serene,0.35,0.0
0.491667,N3,0.2683,0.2356,0.2307,0.3024,joyful,0.314,0.0
0.5,N3,0.2708,0.1967,0.1879,0.3328,neutral,0.324,0.0
0.508333,N3,0.2828,0.2038,0.2181,0.3124,curious,0.344,0.0
0.516667,N3,0.3085,0.2726,0.1967,0.3167,neutral,0.35,0.0
0.525,N3,0.332,0.2081,0.1961,0.2827,neutral,0.35,0.0
0.533333,N3,0.2993,0.1555,0.164,0.2842,curious,0.317,0.0
0.541667,N3,0.3368,0.214,0.2205,0.3173,curious,0.35,0.0
0.55,N3,0.2747,0.1877,0.1754,0.3238,neutral,0.35,0.0
0.558333,N3,0.2873,0.1962,0.2177,0.3037,fearful,0.331,0.0
0.566667,N3,0.3137,0.2066,0.1833,0.2986,fearful,0.35,0.0
0.575,N3,0.2915,0.1812,0.2132,0.2997,anxious,0.35,0.0
0.583333,N3,0.2925,0.2158,0.1777,0.2987,curious,0.34,0.0
0.591667,N3,0.3331,0.1959,0.226,0.2833,curious,0.339,0.0
0.6,N3,0.2944,0.2021,0.206,0.3171,neutral,0.35,0.0
0.608333,N3,0.3056,0.1952,0.1972,0.3022,anxious,0.35,0.0
0.616667,N3,0.3275,0.1787,0.1643,0.2853,fearful,0.35,0.0
0.625,N3,0.2699,0.1846,0.1842,0.3057,neutral,0.35,0.0
0.633333,N3,0.2918,0.2198,0.1849,0.3088,curious,0.35,0.0
0.641667,N3,0.3388,0.1973,0.2164,0.2628,neutral,0.35,0.0
0.65,N3,0.3136,0.1978,0.1679,0.2764,serene,0.347,0.0
0.658333,N3,0.2772,0.2088,0.1906,0.2671,curious,0.316,0.0
0.666667,N3,0.3063,0.2057,0.2078,0.2893,joyful,0.35,0.0
0.675,N3,0.328,0.2479,0.1979,0.3056,anxious,0.35,0.0
0.683333,N3,0.2964,0.209,0.1799,0.2813,fearful,0.334,0.0
0.691667,N3,0.2987,0.1893,0.1836,0.3235,joyful,0.35,0.0
0.7,N3,0.2657,0.2033,0.2485,0.2953,anxious,0.35,0.0
0.708333,N3,0.3205,0.2213,0.2325,0.2799,melancholic,0.341,0.0
0.716667,N3,0.2982,0.2168,0.1861,0.2949,curious,0.35,0.0
0.725,N3,0.2508,0.1872,0.1808,0.2913,neutral,0.35,0.0
0.733333,N3,0.287,0.223,0.2045,0.2872,melancholic,0.35,0.0
0.741667,N3,0.2808,0.201,0.1711,0.2723,neutral,0.35,0.0
0.75,N3,0.3528,0.172,0.1696,0.3112,neutral,0.35,0.0
0.758333,N3,0.3035,0.1777,0.2155,0.288,neutral,0.35,0.0
0.766667,N3,0.285,0.226,0.2025,0.2932,joyful,0.35,0.0
0.775,N3,0.3179,0.2377,0.2047,0.2983,serene,0.35,0.0
0.783333,N3,0.3021,0.1779,0.2037,0.2955,joyful,0.311,0.0
0.791667,N3,0.3044,0.2109,0.2059,0.2771,curious,0.35,0.0
0.8,N3,0.268,0.1843,0.1785,0.3019,neutral,0.35,0.0
0.808333,N3,0.3245,0.1842,0.1817,0.3193,curious,0.35,0.0
0.816667,N3,0.2785,0.2498,0.1946,0.2884,melancholic,0.35,0.0
0.825,N3,0.3203,0.1973,0.1743,0.2926,neutral,0.35,0.0
0.833333,N3,0.3002,0.1926,0.2037,0.3096,anxious,0.35,0.0
0.841667,N3,0.3169,0.2025,0.2184,0.308,serene,0.35,0.0
0.85,N3,0.3117,0.1863,0.2252,0.3001,neutral,0.312,0.0
0.858333,N3,0.2864,0.214,0.1931,0.3024,curious,0.35,0.0
0.866667,N3,0.298,0.1816,0.23,0.2778,melancholic,0.345,0.0
0.875,N3,0.3171,0.1759,0.1893,0.2517,fearful,0.35,0.0
0.883333,N3,0.2826,0.2243,0.213,0.2951,joyful,0.335,0.0
0.891667,N3,0.2736,0.2087,0.1897,0.2479,curious,0.35,0.0
0.9,N3,0.2877,0.2473,0.2141,0.2926,joyful,0.35,0.0
0.908333,N3,0.2748,0.2048,0.2069,0.277,curious,0.335,0.0
0.916667,N3,0.2941,0.172,0.1632,0.2929,neutral,0.309,0.0
0.925,N3,0.3202,0.2143,0.202,0.2783,anxious,0.35,0.0
0.933333,N3,0.3037,0.2007,0.2239,0.2626,anxious,0.35,0.0
0.941667,N3,0.3138,0.2193,0.1886,0.2731,neutral,0.35,0.0
0.95,N3,0.3265,0.2206,0.2069,0.2613,melancholic,0.35,0.0
0.958333,N3,0.3023,0.1888,0.1771,0.3019,neutral,0.35,0.0
0.966667,N3,0.2846,0.2252,0.1709,0.3313,neutral,0.35,0.0
0.975,N3,0.3009,0.2252,0.229,0.2547,serene,0.35,0.0
0.983333,N2,0.4599,0.2598,0.2813,0.2478,anxious,0.375,0.0
0.991667,N2,0.484,0.2388,0.2704,0.2488,neutral,0.432,0.0
