time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4889,0.3109,0.3191,0.3158,joyful,0.373,0.0
0.008333,N1,0.4955,0.2852,0.2794,0.3694,joyful,0.411,0.0
0.016667,N1,0.4725,0.29,0.3038,0.3755,neutral,0.348,0.0
0.025,N1,0.5313,0.2738,0.2751,0.3464,neutral,0.373,0.0
0.033333,N1,0.5419,0.298,0.2864,0.3462,curious,0.384,0.0
0.041667,N1,0.5363,0.3084,0.3084,0.3554,neutral,0.413,0.0
0.05,N1,0.4625,0.2919,0.2819,0.3717,melancholic,0.353,0.0
0.058333,N1,0.4834,0.3058,0.3396,0.3574,fearful,0.307,0.0
0.066667,N2,0.4204,0.2656,0.2909,0.3561,serene,0.396,0.0
0.075,N2,0.4401,0.3151,0.3047,0.3185,curious,0.382,0.0
0.083333,N2,0.4496,0.2689,0.2849,0.3375,curious,0.389,0.0
0.091667,N2,0.4713,0.2395,0.246,0.3613,curious,0.432,0.0
0.1,N2,0.469,0.3043,0.2801,0.3534,melancholic,0.391,0.0
0.108333,N2,0.4684,0.2772,0.2781,0.3416,neutral,0.403,0.0
0.116667,N2,0.41,0.2936,0.2616,0.3795,neutral,0.424,0.0
0.125,N2,0.4255,0.2437,0.297,0.3471,melancholic,0.393,0.0
0.133333,N2,0.4635,0.28,0.2989,0.3383,neutral,0.457,0.0
0.141667,N2,0.4925,0.2793,0.2623,0.3074,neutral,0.412,0.0
0.15,N2,0.4273,0.2264,0.295,0.3612,curious,0.365,0.0
0.158333,N2,0.4385,0.2444,0.26,0.3429,anxious,0.383,0.0
0.166667,N2,0.4441,0.2751,0.2405,0.3167,joyful,0.479,0.0
0.175,N2,0.4252,0.2946,0.283,0.3666,melancholic,0.42,0.0
0.183333,N2,0.443,0.2557,0.2804,0.3595,curious,0.369,0.0
0.191667,N2,0.4422,0.2554,0.2815,0.3463,joyful,0.425,0.0
0.2,N2,0.4225,0.2762,0.3108,0.3197,joyful,0.434,0.0
0.208333,N2,0.4848,0.2726,0.2645,0.3523,serene,0.488,0.0
0.216667,N2,0.4721,0.2552,0.2844,0.3202,neutral,0.369,0.0
0.225,N2,0.4313,0.2823,0.2748,0.3144,joyful,0.399,0.0
0.233333,N2,0.4229,0.2867,0.228,0.3224,curious,0.423,0.0
0.241667,N2,0.4399,0.2347,0.2645,0.3312,anxious,0.393,0.0
0.25,N2,0.4377,0.2631,0.2839,0.3221,neutral,0.383,0.0
0.258333,N2,0.4587,0.2595,0.2912,0.3209,neutral,0.378,0.0
0.266667,N2,0.4566,0.3006,0.2694,0.339,neutral,0.434,0.0
0.275,N2,0.4461,0.2797,0.2642,0.3215,joyful,0.417,0.0
