time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.5472
0.0,mem::school_corridor,school_corridor,0.4533
0.0,mem::grief,grief,0.3871
0.0,mem::loud_crowd,loud_crowd,0.3788
0.0,mem::being_chased,being_chased,0.374
0.0,mem::childhood_home,childhood_home,0.3628
0.0,mem::dread,dread,0.3376
0.0,mem::familiar_face,familiar_face,0.3194
0.0,mem::teeth_loosening,teeth_loosening,0.2926
0.0,mem::wonder,wonder,0.2749
0.0,mem::being_late,being_late,0.2625
0.0,mem::joy,joy,0.2569
0.833333,event::design_discussion,design discussion,0.4017
0.833333,mem::school_corridor,school_corridor,0.3688
0.833333,mem::grief,grief,0.3457
0.833333,mem::loud_crowd,loud_crowd,0.3427
0.833333,mem::being_chased,being_chased,0.3411
0.833333,mem::childhood_home,childhood_home,0.3372
0.833333,mem::dread,dread,0.3283
0.833333,mem::familiar_face,familiar_face,0.3282
0.833333,mem::teeth_loosening,teeth_loosening,0.3125
0.833333,mem::wonder,wonder,0.3106
0.833333,mem::joy,joy,0.3034
0.833333,mem::being_late,being_late,0.302
