time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4698,0.2942,0.3411,0.3289,anxious,0.379,0.0
0.083333,N2,0.4644,0.2735,0.2659,0.363,curious,0.42,0.0
0.166667,N2,0.4453,0.2933,0.2749,0.313,melancholic,0.37,0.0
0.25,N2,0.5038,0.2886,0.2767,0.3443,neutral,0.477,0.0
0.333333,N3,0.322,0.2341,0.1981,0.2958,curious,0.35,0.0
0.416667,N3,0.3049,0.172,0.1523,0.3118,anxious,0.35,0.0
0.5,N3,0.3248,0.199,0.1908,0.2959,curious,0.35,0.0
0.583333,N3,0.3205,0.2001,0.2116,0.3068,fearful,0.35,0.0
0.666667,N3,0.271,0.1935,0.1664,0.3022,curious,0.35,0.0
0.75,N3,0.2923,0.231,0.2104,0.2258,joyful,0.35,0.0
0.833333,N3,0.3162,0.1781,0.2479,0.311,joyful,0.35,0.0
0.916667,N2,0.4078,0.2686,0.3063,0.2919,anxious,0.428,0.0
