time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4561,0.3531,0.2909,0.3376,joyful,0.367,0.0
0.083333,N2,0.4491,0.3089,0.2637,0.3499,joyful,0.439,0.0
0.166667,N2,0.4431,0.2595,0.2889,0.3338,neutral,0.414,0.0
0.25,N2,0.4333,0.2726,0.2849,0.2957,curious,0.375,0.0
0.333333,N2,0.4548,0.2754,0.3141,0.331,joyful,0.469,0.0
0.416667,N3,0.3534,0.2032,0.1998,0.2909,melancholic,0.35,0.0
0.5,N3,0.3089,0.1734,0.2098,0.3188,melancholic,0.35,0.0
0.583333,N3,0.2859,0.2202,0.2036,0.3177,neutral,0.35,0.0
0.666667,N3,0.2736,0.241,0.1741,0.2778,neutral,0.35,0.0
0.75,N3,0.2893,0.2167,0.1635,0.2986,joyful,0.326,0.0
0.833333,N3,0.3048,0.2041,0.2167,0.2931,melancholic,0.35,0.0
0.916667,N2,0.445,0.2761,0.2962,0.2802,curious,0.455,0.0
