time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5367,0.3052,0.2907,0.3864,melancholic,0.356,0.0
0.008333,N1,0.512,0.309,0.3138,0.3348,anxious,0.362,0.0
0.016667,N1,0.4868,0.2889,0.2815,0.3316,fearful,0.398,0.0
0.025,N1,0.4834,0.329,0.2972,0.3685,neutral,0.37,0.0
0.033333,N1,0.5053,0.2955,0.3104,0.3827,fearful,0.342,0.0
0.041667,N1,0.5295,0.3216,0.3089,0.3555,joyful,0.336,0.0
0.05,N1,0.5185,0.2688,0.2957,0.3523,fearful,0.33,0.0
0.058333,N1,0.5165,0.3174,0.2852,0.3674,neutral,0.409,0.0
0.066667,N1,0.4857,0.3003,0.2866,0.3631,neutral,0.378,0.0
0.075,N1,0.4599,0.3042,0.2981,0.3466,joyful,0.338,0.0
0.083333,N2,0.428,0.3009,0.3028,0.3459,neutral,0.373,0.0
0.091667,N2,0.4627,0.2724,0.2559,0.3502,joyful,0.423,0.0
0.1,N2,0.4653,0.2694,0.2553,0.3793,neutral,0.415,0.0
0.108333,N2,0.4588,0.2514,0.2974,0.3501,neutral,0.369,0.0
0.116667,N2,0.463,0.2415,0.28,0.3475,neutral,0.439,0.0
0.125,N2,0.4575,0.2693,0.305,0.3946,neutral,0.335,0.0
0.133333,N2,0.4265,0.2975,0.2756,0.3327,joyful,0.419,0.0
0.141667,N2,0.4449,0.2966,0.2406,0.3523,curious,0.387,0.0
0.15,N2,0.433,0.2988,0.2902,0.327,anxious,0.42,0.0
0.158333,N2,0.4391,0.2946,0.2913,0.2958,curious,0.44,0.0
0.166667,N2,0.4889,0.3009,0.2932,0.3163,neutral,0.4,0.0
0.175,N2,0.4739,0.2745,0.2452,0.3503,curious,0.423,0.0
0.183333,N2,0.4544,0.2307,0.3177,0.3404,curious,0.394,0.0
0.191667,N2,0.4764,0.2869,0.2785,0.3467,neutral,0.389,0.0
0.2,N2,0.434,0.2946,0.2831,0.3533,joyful,0.381,0.0
0.208333,N2,0.4292,0.3133,0.2866,0.3739,joyful,0.374,0.0
0.216667,N2,0.4306,0.3122,0.2774,0.366,joyful,0.403,0.0
0.225,N2,0.4546,0.251,0.2523,0.3413,joyful,0.345,0.0
0.233333,N2,0.459,0.2562,0.3244,0.3177,anxious,0.377,0.0
