time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.473,0.2745,0.2859,0.3425,joyful,0.5,0.0
0.008333,N1,0.5202,0.2984,0.3197,0.3613,anxious,0.466,0.0
0.016667,N1,0.476,0.326,0.3038,0.3422,melancholic,0.474,0.0
0.025,N1,0.524,0.2768,0.2895,0.3414,serene,0.461,0.0
0.033333,N1,0.512,0.3264,0.2957,0.3136,fearful,0.5,0.0
0.041667,N1,0.5228,0.2866,0.3102,0.3328,melancholic,0.445,0.0
0.05,N1,0.4975,0.3226,0.2935,0.3012,neutral,0.491,0.0
0.058333,N1,0.5004,0.307,0.3024,0.3403,anxious,0.492,0.0
0.066667,N1,0.5063,0.339,0.3107,0.3417,neutral,0.486,0.0
0.075,N1,0.5095,0.3276,0.3205,0.3574,anxious,0.5,0.0
0.083333,N1,0.4996,0.2947,0.2925,0.3531,anxious,0.438,0.0
0.091667,N1,0.4886,0.2808,0.3172,0.3697,anxious,0.479,0.0
0.1,N2,0.462,0.2404,0.2702,0.315,joyful,0.45,0.0
0.108333,N2,0.4106,0.2923,0.2975,0.3307,anxious,0.45,0.0
0.116667,N2,0.4485,0.2791,0.2966,0.3646,anxious,0.45,0.0
0.125,N2,0.4604,0.2875,0.2753,0.3297,anxious,0.45,0.0
0.133333,N2,0.4379,0.2706,0.2861,0.3383,anxious,0.45,0.0
0.141667,N2,0.4047,0.284,0.2652,0.3071,melancholic,0.45,0.0
0.15,N2,0.4327,0.2818,0.3096,0.3214,anxious,0.45,0.0
0.158333,N2,0.4492,0.263,0.3185,0.3326,anxious,0.45,0.0
0.166667,N2,0.4348,0.2878,0.2763,0.3247,anxious,0.45,0.0
0.175,N2,0.4843,0.2655,0.2468,0.332,serene,0.45,0.0
0.183333,N2,0.4625,0.2909,0.2658,0.3412,anxious,0.45,0.0
0.191667,N2,0.4615,0.3128,0.281,0.3415,anxious,0.45,0.0
0.2,N2,0.4845,0.2633,0.2895,0.2966,anxious,0.45,0.0
0.208333,N2,0.4286,0.2746,0.2642,0.3443,anxious,0.45,0.0
0.216667,N2,0.443,0.2655,0.2957,0.3598,anxious,0.45,0.0
0.225,N2,0.4855,0.2811,0.2717,0.3465,anxious,0.45,0.0
0.233333,N2,0.4636,0.2564,0.2613,0.3436,anxious,0.45,0.0
0.241667,N2,0.4065,0.2763,0.2767,0.3273,anxious,0.45,0.0
0.25,N2,0.4616,0.2513,0.2502,0.3252,serene,0.45,0.0
0.258333,N2,0.4983,0.3026,0.2717,0.3524,anxious,0.45,0.0
0.266667,N2,0.4546,0.2653,0.3033,0.3193,anxious,0.45,0.0
0.275,N2,0.4599,0.2829,0.2488,0.317,joyful,0.45,0.0
0.283333,N2,0.4857,0.273,0.2895,0.3339,anxious,0.45,0.0
0.291667,N2,0.4479,0.2721,0.2417,0.3071,anxious,0.45,0.0
0.3,N2,0.4319,0.2783,0.2448,0.3228,anxious,0.45,0.0
0.308333,N2,0.4383,0.2606,0.2914,0.3245,anxious,0.45,0.0
0.316667,N2,0.4802,0.2951,0.2687,0.3109,joyful,0.45,0.0
0.325,N2,0.4461,0.2796,0.2626,0.3167,anxious,0.45,0.0
0.333333,N2,0.4535,0.294,0.2336,0.3528,curious,0.45,0.0
0.341667,N2,0.4819,0.2654,0.2322,0.3243,neutral,0.45,0.0
0.35,N2,0.4608,0.2613,0.274,0.3212,anxious,0.45,0.0
0.358333,N2,0.453,0.2527,0.2716,0.3128,anxious,0.45,0.0
0.366667,N2,0.4925,0.2925,0.2854,0.3253,fearful,0.45,0.0
0.375,N2,0.4291,0.297,0.2989,0.3088,fearful,0.45,0.0
0.383333,N2,0.4588,0.2583,0.2794,0.3371,anxious,0.45,0.0
0.391667,N2,0.4337,0.2857,0.2961,0.3466,melancholic,0.45,0.0
0.4,N3,0.3395,0.222,0.2157,0.3491,fearful,0.3,0.0
0.408333,N3,0.2914,0.1903,0.2518,0.3036,anxious,0.3,0.0
0.416667,N3,0.2936,0.1775,0.2042,0.3056,anxious,0.3,0.0
0.425,N3,0.2557,0.1899,0.2305,0.3186,neutral,0.3,0.0
0.433333,N3,0.2906,0.2018,0.2067,0.3101,anxious,0.3,0.0
0.441667,N3,0.2919,0.2266,0.1637,0.2975,curious,0.3,0.0
0.45,N3,0.3312,0.1842,0.1903,0.2747,joyful,0.3,0.0
0.458333,N3,0.2977,0.1914,0.2074,0.2964,anxious,0.3,0.0
0.466667,N3,0.2869,0.2117,0.2042,0.3158,anxious,0.3,0.0
0.475,N3,0.3027,0.1745,0.1869,0.319,anxious,0.3,0.0
0.483333,N3,0.3326,0.2033,0.1848,0.3028,melancholic,0.3,0.0
0.491667,N3,0.2936,0.1891,0.1742,0.3219,anxious,0.3,0.0
0.5,N3,0.3024,0.2014,0.2153,0.305,anxious,0.3,0.0
0.508333,N3,0.2959,0.1791,0.1755,0.2854,anxious,0.3,0.0
0.516667,N3,0.3045,0.1688,0.2272,0.3108,anxious,0.3,0.0
0.525,N3,0.3196,0.1972,0.1884,0.2808,curious,0.3,0.0
0.533333,N3,0.2764,0.2061,0.2019,0.3542,anxious,0.3,0.0
0.541667,N3,0.284,0.2006,0.1858,0.313,anxious,0.3,0.0
0.55,N3,0.3187,0.1602,0.1983,0.313,melancholic,0.3,0.0
0.558333,N3,0.3114,0.21,0.1628,0.3434,anxious,0.3,0.0
0.566667,N3,0.3321,0.2066,0.2242,0.2957,melancholic,0.3,0.0
0.575,N3,0.2734,0.1953,0.1749,0.3115,anxious,0.3,0.0
0.583333,N3,0.2652,0.1999,0.1963,0.3118,curious,0.3,0.0
0.591667,N3,0.3522,0.193,0.207,0.3294,anxious,0.3,0.0
0.6,N3,0.2954,0.2102,0.2131,0.3122,anxious,0.3,0.0
0.608333,N3,0.2848,0.1972,0.2095,0.2961,serene,0.3,0.0
0.616667,N3,0.2729,0.2132,0.2035,0.2778,neutral,0.3,0.0
0.625,N3,0.3111,0.214,0.2102,0.2812,anxious,0.3,0.0
0.633333,N3,0.3374,0.1919,0.2051,0.303,anxious,0.3,0.0
0.641667,N3,0.3192,0.1949,0.2105,0.3102,anxious,0.3,0.0
0.65,N3,0.294,0.223,0.1699,0.281,anxious,0.3,0.0
0.658333,N3,0.2898,0.2334,0.1889,0.2826,fearful,0.3,0.0
0.666667,N3,0.3198,0.207,0.1935,0.2909,anxious,0.3,0.0
0.675,N3,0.312,0.2014,0.2083,0.2926,anxious,0.3,0.0
0.683333,N3,0.2875,0.2218,0.1969,0.269,joyful,0.3,0.0
0.691667,N3,0.3098,0.2003,0.1929,0.2878,anxious,0.3,0.0
