time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4646
0.0,mem::loud_crowd,loud_crowd,0.4532
0.0,mem::being_late,being_late,0.4075
0.0,mem::grief,grief,0.3579
0.0,mem::familiar_face,familiar_face,0.3436
0.0,mem::dread,dread,0.3351
0.0,mem::being_chased,being_chased,0.3327
0.0,mem::falling,falling,0.3316
0.0,mem::teeth_loosening,teeth_loosening,0.3209
0.0,mem::wonder,wonder,0.3111
0.0,mem::cold_water,cold_water,0.2942
0.0,mem::childhood_home,childhood_home,0.2427
0.083333,mem::loud_crowd,loud_crowd,0.5801
0.083333,mem::being_late,being_late,0.551
0.083333,event::had_a_long_meeting,had a long meeting,0.5362
0.083333,mem::grief,grief,0.5194
0.083333,mem::dread,dread,0.5049
0.083333,mem::being_chased,being_chased,0.5034
0.083333,mem::falling,falling,0.5027
0.083333,mem::teeth_loosening,teeth_loosening,0.4959
0.083333,mem::cold_water,cold_water,0.4788
0.083333,mem::familiar_face,familiar_face,0.4485
0.083333,mem::childhood_home,childhood_home,0.4459
0.083333,mem::wonder,wonder,0.4249
0.166667,mem::loud_crowd,loud_crowd,0.6238
0.166667,mem::being_late,being_late,0.6029
0.166667,event::had_a_long_meeting,had a long meeting,0.5941
0.166667,mem::grief,grief,0.5799
0.166667,mem::dread,dread,0.5694
0.166667,mem::being_chased,being_chased,0.5683
0.166667,mem::falling,falling,0.5678
0.166667,mem::teeth_loosening,teeth_loosening,0.5628
0.166667,mem::cold_water,cold_water,0.5505
0.166667,mem::familiar_face,familiar_face,0.5305
0.166667,mem::childhood_home,childhood_home,0.5267
0.166667,mem::wonder,wonder,0.5134
0.25,event::had_a_long_meeting,had a long meeting,0.6658
0.25,mem::loud_crowd,loud_crowd,0.6526
0.25,mem::being_late,being_late,0.6376
0.25,mem::familiar_face,familiar_face,0.6254
0.25,mem::grief,grief,0.6209
0.25,mem::wonder,wonder,0.6143
0.25,mem::dread,dread,0.6134
0.25,mem::being_chased,being_chased,0.6125
0.25,mem::falling,falling,0.6122
0.25,mem::teeth_loosening,teeth_loosening,0.6085
0.25,mem::cold_water,cold_water,0.5997
0.25,mem::childhood_home,childhood_home,0.5825
0.333333,event::had_a_long_meeting,had a long meeting,0.7563
0.333333,mem::familiar_face,familiar_face,0.7363
0.333333,mem::wonder,wonder,0.7308
0.333333,mem::bright_light,bright_light,0.7074
0.333333,mem::flying,flying,0.7068
0.333333,mem::loud_crowd,loud_crowd,0.7
0.333333,mem::joy,joy,0.6989
0.333333,mem::being_late,being_late,0.6905
0.333333,mem::grief,grief,0.6798
0.333333,mem::dread,dread,0.6752
