time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4375
0.0,mem::grief,grief,0.3832
0.0,mem::being_late,being_late,0.3767
0.0,mem::wonder,wonder,0.3701
0.0,mem::joy,joy,0.3494
0.0,mem::familiar_face,familiar_face,0.3338
0.0,mem::cold_water,cold_water,0.294
0.0,mem::falling,falling,0.2582
0.0,mem::loud_crowd,loud_crowd,0.219
0.0,mem::being_chased,being_chased,0.2183
0.0,mem::flying,flying,0.176
0.0,mem::teeth_loosening,teeth_loosening,0.176
0.083333,event::had_a_long_meeting,had a long meeting,0.8397
0.083333,mem::grief,grief,0.789
0.083333,mem::being_late,being_late,0.7829
0.083333,mem::cold_water,cold_water,0.7055
0.083333,mem::falling,falling,0.672
0.083333,mem::loud_crowd,loud_crowd,0.6354
0.083333,mem::being_chased,being_chased,0.6347
0.083333,mem::teeth_loosening,teeth_loosening,0.5951
0.083333,mem::dread,dread,0.5899
0.083333,mem::childhood_home,childhood_home,0.5707
0.083333,mem::school_corridor,school_corridor,0.5272
0.083333,mem::wonder,wonder,0.4963
0.166667,mem::falling,falling,0.9672
0.166667,mem::being_chased,being_chased,0.9672
0.166667,mem::being_late,being_late,0.9672
0.166667,mem::teeth_loosening,teeth_loosening,0.9672
0.166667,mem::cold_water,cold_water,0.9672
0.166667,mem::loud_crowd,loud_crowd,0.9672
0.166667,mem::grief,grief,0.9672
0.166667,mem::dread,dread,0.9672
0.166667,event::had_a_long_meeting,had a long meeting,0.9672
0.166667,mem::childhood_home,childhood_home,0.9653
0.166667,mem::school_corridor,school_corridor,0.9245
0.166667,mem::wonder,wonder,0.6113
0.25,mem::childhood_home,childhood_home,0.9481
0.25,mem::school_corridor,school_corridor,0.9481
0.25,mem::falling,falling,0.9481
0.25,mem::being_chased,being_chased,0.9481
0.25,mem::being_late,being_late,0.9481
0.25,mem::teeth_loosening,teeth_loosening,0.9481
0.25,mem::cold_water,cold_water,0.9481
0.25,mem::loud_crowd,loud_crowd,0.9481
0.25,mem::grief,grief,0.9481
0.25,mem::dread,dread,0.9481
0.25,event::had_a_long_meeting,had a long meeting,0.9481
0.25,mem::wonder,wonder,0.8659
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
