time_hours,node_id,node_label,activation
0.0,mem::falling,falling,0.4162
0.0,mem::loud_crowd,loud_crowd,0.4034
0.0,mem::bright_light,bright_light,0.3913
0.0,mem::teeth_loosening,teeth_loosening,0.3763
0.0,mem::recurring_journey,recurring_journey,0.3348
0.0,mem::grief,grief,0.3183
0.0,mem::cold_water,cold_water,0.3172
0.0,event::deadline,deadline,0.3022
0.0,mem::being_chased,being_chased,0.283
0.0,mem::dread,dread,0.278
0.0,mem::flying,flying,0.273
0.0,mem::school_corridor,school_corridor,0.2575
0.083333,mem::falling,falling,0.716
0.083333,mem::loud_crowd,loud_crowd,0.7116
0.083333,mem::teeth_loosening,teeth_loosening,0.7026
0.083333,mem::grief,grief,0.6831
0.083333,mem::cold_water,cold_water,0.6827
0.083333,mem::being_chased,being_chased,0.6711
0.083333,mem::dread,dread,0.6695
0.083333,mem::school_corridor,school_corridor,0.6625
0.083333,mem::childhood_home,childhood_home,0.6507
0.083333,mem::being_late,being_late,0.6497
0.083333,mem::bright_light,bright_light,0.4267
0.083333,event::deadline,deadline,0.3534
0.166667,mem::falling,falling,0.8164
0.166667,mem::loud_crowd,loud_crowd,0.8149
0.166667,mem::teeth_loosening,teeth_loosening,0.812
0.166667,mem::grief,grief,0.8055
0.166667,mem::cold_water,cold_water,0.8053
0.166667,mem::being_chased,being_chased,0.8014
0.166667,mem::dread,dread,0.8009
0.166667,mem::school_corridor,school_corridor,0.7986
0.166667,mem::childhood_home,childhood_home,0.7946
0.166667,mem::being_late,being_late,0.7942
0.166667,mem::bright_light,bright_light,0.4595
0.166667,event::deadline,deadline,0.3991
0.25,mem::falling,falling,0.8489
0.25,mem::loud_crowd,loud_crowd,0.8484
0.25,mem::teeth_loosening,teeth_loosening,0.8475
0.25,mem::grief,grief,0.8453
0.25,mem::cold_water,cold_water,0.8451
0.25,mem::being_chased,being_chased,0.844
0.25,mem::dread,dread,0.8437
0.25,mem::school_corridor,school_corridor,0.843
0.25,mem::childhood_home,childhood_home,0.8417
0.25,mem::being_late,being_late,0.8416
0.25,mem::bright_light,bright_light,0.4822
0.25,event::deadline,deadline,0.4324
0.333333,mem::falling,falling,0.8613
0.333333,mem::loud_crowd,loud_crowd,0.8611
0.333333,mem::teeth_loosening,teeth_loosening,0.8609
0.333333,mem::cold_water,cold_water,0.86
0.333333,mem::grief,grief,0.86
0.333333,mem::being_chased,being_chased,0.8596
0.333333,mem::dread,dread,0.8595
0.333333,mem::school_corridor,school_corridor,0.8593
0.333333,mem::childhood_home,childhood_home,0.8588
0.333333,mem::being_late,being_late,0.8588
0.333333,mem::bright_light,bright_light,0.5009
0.333333,event::deadline,deadline,0.46
0.416667,mem::falling,falling,0.8691
0.416667,mem::teeth_loosening,teeth_loosening,0.869
0.416667,mem::loud_crowd,loud_crowd,0.869
0.416667,mem::cold_water,cold_water,0.8687
0.416667,mem::grief,grief,0.8687
0.416667,mem::being_chased,being_chased,0.8686
0.416667,mem::school_corridor,school_corridor,0.8685
0.416667,mem::dread,dread,0.8685
0.416667,mem::childhood_home,childhood_home,0.8683
0.416667,mem::being_late,being_late,0.8683
0.416667,mem::bright_light,bright_light,0.4686
0.416667,event::deadline,deadline,0.4303
0.5,mem::falling,falling,0.8752
0.5,mem::teeth_loosening,teeth_loosening,0.8751
0.5,mem::loud_crowd,loud_crowd,0.8751
0.5,mem::cold_water,cold_water,0.875
0.5,mem::grief,grief,0.875
0.5,mem::childhood_home,childhood_home,0.8749
0.5,mem::school_corridor,school_corridor,0.8749
0.5,mem::being_chased,being_chased,0.8749
0.5,mem::being_late,being_late,0.8749
0.5,mem::dread,dread,0.8749
0.5,mem::bright_light,bright_light,0.4383
