time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4892,0.2802,0.3031,0.3365,anxious,0.411,0.0
0.008333,N1,0.4689,0.3083,0.2925,0.3755,anxious,0.405,0.0
0.016667,N1,0.5026,0.3057,0.2789,0.3602,melancholic,0.417,0.0
0.025,N1,0.5393,0.3021,0.2852,0.3221,anxious,0.408,0.0
0.033333,N1,0.478,0.2892,0.3097,0.3491,anxious,0.395,0.0
0.041667,N1,0.5305,0.2884,0.3152,0.35,melancholic,0.4,0.0
0.05,N1,0.5251,0.2838,0.3158,0.3579,anxious,0.416,0.0
0.058333,N1,0.4934,0.2812,0.3138,0.3548,anxious,0.423,0.0
0.066667,N3,0.2936,0.1821,0.1764,0.3371,anxious,0.35,0.0
0.075,N3,0.3211,0.1906,0.1803,0.3403,fearful,0.35,0.0
0.083333,N3,0.2929,0.1787,0.1828,0.3324,joyful,0.35,0.0
0.091667,N3,0.3129,0.2031,0.2077,0.3675,anxious,0.35,0.0
0.1,N3,0.2731,0.2158,0.2243,0.3662,neutral,0.35,0.0
0.108333,N3,0.3274,0.2239,0.2121,0.3382,melancholic,0.35,0.0
0.116667,N3,0.2921,0.1745,0.2401,0.3172,anxious,0.35,0.0
0.125,N3,0.3146,0.1918,0.1757,0.3257,melancholic,0.35,0.0
0.133333,N3,0.3089,0.1797,0.1935,0.3112,melancholic,0.35,0.0
0.141667,N3,0.2945,0.1699,0.1627,0.3236,anxious,0.35,0.0
0.15,N3,0.3102,0.1713,0.2032,0.3496,anxious,0.35,0.0
0.158333,N3,0.3245,0.179,0.1769,0.3798,anxious,0.35,0.0
0.166667,N3,0.3126,0.1983,0.1761,0.318,neutral,0.35,0.0
0.175,N3,0.3215,0.1656,0.1749,0.3141,anxious,0.35,0.0
0.183333,N3,0.2537,0.1928,0.2053,0.3495,anxious,0.35,0.0
0.191667,N3,0.2833,0.1911,0.2044,0.3402,joyful,0.35,0.0
0.2,N3,0.2593,0.2058,0.2131,0.3614,anxious,0.35,0.0
0.208333,N3,0.3022,0.1812,0.216,0.3634,melancholic,0.35,0.0
0.216667,N3,0.2979,0.2201,0.1982,0.3511,anxious,0.35,0.0
0.225,N3,0.3092,0.2179,0.1916,0.3498,joyful,0.35,0.0
