time_hours,node_id,node_label,activation
0.0,mem::being_late,being_late,0.5203
0.0,mem::being_chased,being_chased,0.5095
0.0,mem::teeth_loosening,teeth_loosening,0.4805
0.0,event::deadline,deadline,0.4763
0.0,mem::school_corridor,school_corridor,0.4728
0.0,mem::dread,dread,0.4528
0.0,mem::loud_crowd,loud_crowd,0.4329
0.0,mem::falling,falling,0.4216
0.0,event::crowded_train,crowded train,0.4163
0.0,mem::wonder,wonder,0.3913
0.0,mem::joy,joy,0.3751
0.0,mem::cold_water,cold_water,0.3718
0.083333,mem::childhood_home,childhood_home,1.0
0.083333,mem::school_corridor,school_corridor,1.0
0.083333,mem::falling,falling,1.0
0.083333,mem::being_chased,being_chased,1.0
0.083333,mem::being_late,being_late,1.0
0.083333,mem::teeth_loosening,teeth_loosening,1.0
0.083333,mem::cold_water,cold_water,1.0
0.083333,mem::loud_crowd,loud_crowd,1.0
0.083333,mem::grief,grief,1.0
0.083333,mem::dread,dread,1.0
0.083333,event::deadline,deadline,0.5926
0.083333,event::crowded_train,crowded train,0.5365
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,event::deadline,deadline,0.7024
0.166667,event::crowded_train,crowded train,0.65
0.25,mem::childhood_home,childhood_home,0.9934
0.25,mem::school_corridor,school_corridor,0.9934
0.25,mem::falling,falling,0.9934
0.25,mem::being_chased,being_chased,0.9934
0.25,mem::being_late,being_late,0.9934
0.25,mem::teeth_loosening,teeth_loosening,0.9934
0.25,mem::cold_water,cold_water,0.9934
0.25,mem::loud_crowd,loud_crowd,0.9934
0.25,mem::grief,grief,0.9934
0.25,mem::dread,dread,0.9934
0.25,event::deadline,deadline,0.8071
0.25,event::crowded_train,crowded train,0.7581
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
0.333333,mem::falling,falling,1.0
0.333333,mem::being_chased,being_chased,1.0
0.333333,mem::being_late,being_late,1.0
0.333333,mem::teeth_loosening,teeth_loosening,1.0
0.333333,mem::cold_water,cold_water,1.0
0.333333,mem::loud_crowd,loud_crowd,1.0
0.333333,mem::grief,grief,1.0
0.333333,mem::dread,dread,1.0
0.333333,event::deadline,deadline,0.755
0.333333,event::crowded_train,crowded train,0.7093
0.416667,mem::childhood_home,childhood_home,1.0
0.416667,mem::school_corridor,school_corridor,1.0
0.416667,mem::falling,falling,1.0
