time_hours,node_id,node_label,activation
0.0,mem::teeth_loosening,teeth_loosening,0.5365
0.0,mem::school_corridor,school_corridor,0.4906
0.0,mem::cold_water,cold_water,0.4821
0.0,mem::loud_crowd,loud_crowd,0.4771
0.0,mem::being_late,being_late,0.4751
0.0,mem::being_chased,being_chased,0.4705
0.0,event::had_a_long_meeting,had a long meeting,0.3985
0.0,mem::childhood_home,childhood_home,0.3553
0.0,mem::dread,dread,0.2696
0.0,mem::falling,falling,0.2601
0.0,mem::grief,grief,0.257
0.0,mem::flying,flying,0.2213
0.083333,mem::teeth_loosening,teeth_loosening,0.9401
0.083333,mem::school_corridor,school_corridor,0.8972
0.083333,mem::cold_water,cold_water,0.8892
0.083333,mem::loud_crowd,loud_crowd,0.8846
0.083333,mem::being_late,being_late,0.8827
0.083333,mem::being_chased,being_chased,0.8783
0.083333,event::had_a_long_meeting,had a long meeting,0.812
0.083333,mem::childhood_home,childhood_home,0.7706
0.083333,mem::dread,dread,0.6904
0.083333,mem::falling,falling,0.6815
0.083333,mem::grief,grief,0.6786
0.083333,mem::flying,flying,0.6462
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,mem::familiar_face,familiar_face,0.9802
0.166667,mem::flying,flying,0.9802
0.25,mem::childhood_home,childhood_home,0.9934
0.25,mem::school_corridor,school_corridor,0.9934
0.25,mem::falling,falling,0.9934
0.25,mem::being_chased,being_chased,0.9934
0.25,mem::being_late,being_late,0.9934
0.25,mem::teeth_loosening,teeth_loosening,0.9934
0.25,mem::cold_water,cold_water,0.9934
0.25,mem::loud_crowd,loud_crowd,0.9934
0.25,mem::grief,grief,0.9934
0.25,mem::dread,dread,0.9934
0.25,mem::familiar_face,familiar_face,0.9672
0.25,mem::flying,flying,0.9672
0.333333,mem::familiar_face,familiar_face,0.9868
0.333333,mem::flying,flying,0.9868
0.333333,mem::bright_light,bright_light,0.9868
0.333333,mem::joy,joy,0.9868
0.333333,mem::wonder,wonder,0.9868
