time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5259,0.308,0.2926,0.3204,curious,0.437,0.0
0.083333,N2,0.4259,0.2775,0.2551,0.3243,joyful,0.46,0.0
0.166667,N2,0.4446,0.2625,0.3182,0.3361,neutral,0.429,0.0
0.25,N2,0.4461,0.287,0.2745,0.3317,joyful,0.411,0.0
0.333333,N2,0.4392,0.2597,0.2566,0.3068,joyful,0.501,0.0
0.416667,N2,0.4248,0.2646,0.2861,0.308,fearful,0.455,0.0
0.5,N3,0.3054,0.197,0.1935,0.2866,joyful,0.35,0.0
0.583333,N3,0.3037,0.213,0.2077,0.2558,joyful,0.336,0.0
0.666667,N3,0.2927,0.2051,0.1924,0.2907,neutral,0.35,0.0
0.75,N3,0.2959,0.2066,0.1991,0.3179,joyful,0.34,0.0
0.833333,N3,0.3029,0.1977,0.2001,0.2925,melancholic,0.35,0.0
0.916667,N2,0.4166,0.2809,0.2817,0.2846,neutral,0.453,0.0
