time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5492,0.3208,0.3031,0.3787,curious,0.382,0.0
0.008333,N1,0.5031,0.3112,0.2903,0.3619,serene,0.401,0.0
0.016667,N1,0.5013,0.3225,0.3252,0.3297,neutral,0.376,0.0
0.025,N1,0.4929,0.3026,0.3119,0.3276,curious,0.354,0.0
0.033333,N1,0.5496,0.3059,0.3071,0.3495,melancholic,0.423,0.0
0.041667,N1,0.4845,0.2792,0.3262,0.316,joyful,0.387,0.0
0.05,N1,0.4864,0.31,0.3058,0.3693,fearful,0.372,0.0
0.058333,N1,0.5281,0.3207,0.296,0.346,joyful,0.289,0.0
0.066667,N1,0.5543,0.3104,0.3127,0.3514,neutral,0.412,0.0
0.075,N1,0.4937,0.2577,0.2758,0.3395,neutral,0.333,0.0
0.083333,N2,0.4392,0.2775,0.2748,0.3645,melancholic,0.401,0.0
0.091667,N2,0.4086,0.3189,0.278,0.3573,joyful,0.381,0.0
0.1,N2,0.4481,0.2716,0.3099,0.3275,neutral,0.453,0.0
0.108333,N2,0.4536,0.2945,0.2879,0.3833,curious,0.424,0.0
0.116667,N2,0.4176,0.295,0.2638,0.3475,serene,0.41,0.0
0.125,N2,0.4688,0.2749,0.2658,0.3726,neutral,0.389,0.0
0.133333,N2,0.4477,0.2896,0.2684,0.3333,joyful,0.398,0.0
0.141667,N2,0.4283,0.2694,0.2767,0.3435,serene,0.398,0.0
0.15,N2,0.4902,0.2968,0.2721,0.3602,joyful,0.441,0.0
0.158333,N2,0.4492,0.3306,0.2974,0.324,neutral,0.418,0.0
0.166667,N2,0.4597,0.2655,0.2566,0.3302,neutral,0.417,0.0
0.175,N2,0.4755,0.2905,0.262,0.3033,joyful,0.381,0.0
0.183333,N2,0.4418,0.2756,0.3169,0.3163,curious,0.389,0.0
0.191667,N2,0.454,0.292,0.2607,0.334,joyful,0.372,0.0
0.2,N2,0.4597,0.2477,0.2446,0.3542,joyful,0.431,0.0
0.208333,N2,0.4657,0.2964,0.2874,0.3206,serene,0.428,0.0
0.216667,N2,0.4393,0.3031,0.2949,0.3101,joyful,0.478,0.0
0.225,N2,0.4322,0.2803,0.2683,0.3268,curious,0.478,0.0
0.233333,N2,0.4379,0.312,0.2949,0.2978,joyful,0.385,0.0
0.241667,N2,0.4668,0.2959,0.2961,0.3271,neutral,0.384,0.0
0.25,N2,0.4557,0.2971,0.2688,0.3239,neutral,0.417,0.0
0.258333,N2,0.4413,0.2781,0.2867,0.3336,curious,0.416,0.0
0.266667,N2,0.4505,0.2754,0.281,0.331,curious,0.437,0.0
0.275,N2,0.4841,0.2875,0.2849,0.3445,curious,0.46,0.0
0.283333,N2,0.4461,0.2923,0.2829,0.3338,neutral,0.377,0.0
0.291667,N2,0.4528,0.2501,0.3192,0.3352,joyful,0.366,0.0
0.3,N2,0.4428,0.2852,0.2729,0.3377,curious,0.462,0.0
0.308333,N2,0.4755,0.2485,0.2818,0.3318,serene,0.392,0.0
0.316667,N2,0.4414,0.2717,0.2816,0.332,curious,0.467,0.0
0.325,N2,0.4152,0.2842,0.2492,0.3322,neutral,0.393,0.0
0.333333,N2,0.4794,0.2577,0.3108,0.3077,melancholic,0.372,0.0
0.341667,N2,0.4658,0.2852,0.289,0.3207,joyful,0.399,0.0
0.35,N3,0.3084,0.2155,0.2218,0.3245,neutral,0.35,0.0
0.358333,N3,0.2905,0.1824,0.2157,0.3341,serene,0.333,0.0
0.366667,N3,0.3039,0.2005,0.2142,0.2995,curious,0.333,0.0
0.375,N3,0.2809,0.204,0.2288,0.3339,joyful,0.35,0.0
0.383333,N3,0.2797,0.2215,0.2264,0.3517,neutral,0.315,0.0
0.391667,N3,0.3181,0.2229,0.1961,0.3184,curious,0.35,0.0
0.4,N3,0.2893,0.2329,0.2062,0.325,fearful,0.35,0.0
0.408333,N3,0.3102,0.2399,0.1976,0.3089,curious,0.348,0.0
0.416667,N3,0.3136,0.2046,0.1895,0.3309,curious,0.35,0.0
0.425,N3,0.3094,0.2116,0.2016,0.3241,joyful,0.35,0.0
0.433333,N3,0.3093,0.1977,0.2012,0.3292,joyful,0.35,0.0
0.441667,N3,0.2645,0.2158,0.2216,0.2963,joyful,0.333,0.0
0.45,N3,0.3369,0.1746,0.2034,0.3183,joyful,0.35,0.0
0.458333,N3,0.2765,0.1971,0.2398,0.3264,joyful,0.35,0.0
0.466667,N3,0.3006,0.1885,0.1958,0.3319,joyful,0.339,0.0
