time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5378,0.2925,0.2917,0.3576,joyful,0.392,0.0
0.083333,N2,0.4483,0.2708,0.2836,0.3621,neutral,0.417,0.0
0.166667,N2,0.4476,0.2914,0.2942,0.3168,curious,0.404,0.0
0.25,N2,0.404,0.2988,0.2592,0.3208,joyful,0.419,0.0
0.333333,N2,0.4402,0.2559,0.2857,0.3203,curious,0.445,0.0
0.416667,N2,0.4764,0.2644,0.3016,0.2921,curious,0.45,0.0
0.5,N3,0.3386,0.1947,0.1799,0.3247,joyful,0.35,0.0
0.583333,N3,0.3325,0.1763,0.2375,0.3151,neutral,0.35,0.0
0.666667,N3,0.3086,0.1951,0.2278,0.3126,melancholic,0.35,0.0
0.75,N3,0.2926,0.182,0.1774,0.2826,melancholic,0.35,0.0
0.833333,N3,0.295,0.1803,0.1904,0.2596,neutral,0.342,0.0
0.916667,N2,0.4761,0.265,0.2631,0.2819,melancholic,0.453,0.0
