time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4949,0.2709,0.2901,0.3872,joyful,0.328,0.0
0.008333,N1,0.4597,0.2657,0.2926,0.3581,neutral,0.37,0.0
0.016667,N1,0.5083,0.2698,0.3004,0.3488,melancholic,0.405,0.0
0.025,N1,0.4835,0.2804,0.2793,0.3462,melancholic,0.381,0.0
0.033333,N1,0.5248,0.282,0.3144,0.3644,joyful,0.37,0.0
0.041667,N1,0.4906,0.2467,0.2978,0.3493,curious,0.378,0.0
0.05,N1,0.4937,0.2801,0.2784,0.3498,joyful,0.383,0.0
0.058333,N1,0.4949,0.2782,0.2809,0.3776,melancholic,0.336,0.0
0.066667,N1,0.4931,0.2581,0.2697,0.3522,melancholic,0.37,0.0
0.075,N1,0.5016,0.3127,0.357,0.3665,neutral,0.379,0.0
0.083333,N2,0.4413,0.2672,0.2815,0.3662,joyful,0.333,0.0
0.091667,N2,0.4747,0.2367,0.2515,0.3325,melancholic,0.45,0.0
0.1,N2,0.4394,0.2362,0.2658,0.3537,melancholic,0.449,0.0
0.108333,N2,0.4616,0.2239,0.3034,0.2906,joyful,0.409,0.0
0.116667,N2,0.4642,0.2354,0.2933,0.3104,serene,0.383,0.0
0.125,N2,0.4217,0.2524,0.2397,0.3563,neutral,0.45,0.0
0.133333,N2,0.45,0.2608,0.2928,0.3266,anxious,0.407,0.0
0.141667,N2,0.4529,0.2359,0.2805,0.3424,neutral,0.412,0.0
0.15,N2,0.4689,0.2531,0.2648,0.361,joyful,0.394,0.0
0.158333,N2,0.458,0.2652,0.2774,0.3554,melancholic,0.432,0.0
0.166667,N2,0.4494,0.236,0.261,0.3522,neutral,0.339,0.0
0.175,N2,0.4254,0.256,0.2478,0.386,anxious,0.413,0.0
0.183333,N2,0.4331,0.3176,0.2642,0.3398,serene,0.432,0.0
0.191667,N2,0.453,0.2867,0.2945,0.3153,melancholic,0.408,0.0
0.2,N2,0.4092,0.2322,0.2872,0.3218,melancholic,0.376,0.0
0.208333,N2,0.492,0.2641,0.2529,0.3157,neutral,0.395,0.0
0.216667,N2,0.4518,0.266,0.2864,0.3194,neutral,0.402,0.0
0.225,N2,0.4501,0.2601,0.2566,0.3703,neutral,0.356,0.0
0.233333,N2,0.472,0.2281,0.2837,0.2963,curious,0.404,0.0
0.241667,N2,0.4207,0.2304,0.2681,0.2977,melancholic,0.372,0.0
0.25,N2,0.4677,0.2431,0.2781,0.3177,curious,0.395,0.0
0.258333,N2,0.4472,0.2449,0.2932,0.3203,fearful,0.392,0.0
0.266667,N2,0.4486,0.2399,0.2759,0.3435,joyful,0.411,0.0
0.275,N2,0.4679,0.2301,0.306,0.3111,joyful,0.495,0.0
0.283333,N2,0.4449,0.2459,0.2857,0.3358,neutral,0.46,0.0
0.291667,N2,0.4309,0.2563,0.2466,0.3251,joyful,0.414,0.0
0.3,N2,0.4377,0.2721,0.2926,0.3047,joyful,0.354,0.0
0.308333,N2,0.4484,0.2562,0.2617,0.3358,melancholic,0.407,0.0
0.316667,N2,0.4354,0.2477,0.324,0.3297,neutral,0.399,0.0
0.325,N2,0.4165,0.2623,0.2844,0.3436,anxious,0.431,0.0
0.333333,N2,0.4049,0.2581,0.2767,0.3197,curious,0.415,0.0
0.341667,N2,0.4218,0.2642,0.2476,0.3128,joyful,0.403,0.0
0.35,N2,0.4236,0.2548,0.2622,0.2703,fearful,0.389,0.0
0.358333,N2,0.4121,0.2569,0.2549,0.3043,curious,0.396,0.0
0.366667,N2,0.4544,0.2488,0.2899,0.3447,curious,0.437,0.0
0.375,N2,0.4532,0.2344,0.3082,0.3374,curious,0.39,0.0
0.383333,N2,0.456,0.2587,0.2462,0.315,anxious,0.373,0.0
0.391667,N2,0.4375,0.2199,0.2692,0.3453,joyful,0.43,0.0
0.4,N2,0.4403,0.2405,0.2595,0.3131,fearful,0.409,0.0
0.408333,N2,0.4523,0.2154,0.2183,0.3051,serene,0.354,0.0
0.416667,N2,0.4425,0.2902,0.334,0.3103,joyful,0.358,0.0
0.425,N2,0.4677,0.2482,0.2825,0.3132,neutral,0.416,0.0
0.433333,N2,0.4659,0.2705,0.2726,0.31,joyful,0.461,0.0
0.441667,N2,0.4854,0.2477,0.2893,0.2912,neutral,0.382,0.0
0.45,N2,0.4665,0.2572,0.2822,0.2805,joyful,0.408,0.0
0.458333,N2,0.4458,0.2891,0.264,0.2716,joyful,0.377,0.0
0.466667,N2,0.4664,0.264,0.2957,0.3054,curious,0.404,0.0
0.475,N2,0.4439,0.2514,0.2692,0.3519,neutral,0.434,0.0
0.483333,N3,0.3046,0.1763,0.2075,0.2923,fearful,0.35,0.0
0.491667,N3,0.3073,0.1919,0.1908,0.3042,fearful,0.35,0.0
0.5,N3,0.2971,0.1711,0.2086,0.2892,joyful,0.35,0.0
0.508333,N3,0.2897,0.1933,0.1728,0.3108,joyful,0.35,0.0
0.516667,N3,0.3186,0.1615,0.1952,0.2706,curious,0.339,0.0
0.525,N3,0.3007,0.165,0.187,0.3156,neutral,0.336,0.0
0.533333,N3,0.3203,0.1766,0.186,0.2998,joyful,0.316,0.0
0.541667,N3,0.272,0.1791,0.2273,0.3165,anxious,0.343,0.0
0.55,N3,0.2994,0.1493,0.1675,0.289,neutral,0.293,0.0
0.558333,N3,0.2748,0.1765,0.1859,0.3053,neutral,0.35,0.0
0.566667,N3,0.2591,0.2118,0.1984,0.3143,neutral,0.35,0.0
0.575,N3,0.3002,0.1732,0.1805,0.2922,neutral,0.35,0.0
0.583333,N3,0.2939,0.1718,0.1627,0.3437,neutral,0.335,0.0
0.591667,N3,0.3167,0.1595,0.1662,0.3147,neutral,0.35,0.0
0.6,N3,0.2756,0.1382,0.2011,0.3251,neutral,0.347,0.0
0.608333,N3,0.3063,0.1731,0.2016,0.3067,curious,0.349,0.0
0.616667,N3,0.295,0.2,0.2081,0.2932,neutral,0.346,0.0
0.625,N3,0.3207,0.1855,0.1761,0.2842,joyful,0.35,0.0
0.633333,N3,0.271,0.1896,0.1964,0.3218,neutral,0.335,0.0
0.641667,N3,0.3075,0.1831,0.1979,0.3009,neutral,0.35,0.0
0.65,N3,0.3226,0.1724,0.2088,0.2941,joyful,0.35,0.0
0.658333,N3,0.2761,0.176,0.229,0.3075,neutral,0.296,0.0
0.666667,N3,0.2621,0.163,0.2009,0.3129,joyful,0.35,0.0
0.675,N3,0.2687,0.1541,0.1905,0.3034,neutral,0.314,0.0
0.683333,N3,0.2755,0.1805,0.2024,0.2985,curious,0.35,0.0
0.691667,N3,0.266,0.1676,0.2192,0.3071,joyful,0.35,0.0
0.7,N3,0.2725,0.194,0.1982,0.3072,joyful,0.301,0.0
0.708333,N3,0.3222,0.1717,0.1965,0.2803,neutral,0.35,0.0
0.716667,N3,0.3174,0.1851,0.1854,0.2953,serene,0.35,0.0
0.725,N3,0.3124,0.1879,0.2008,0.282,curious,0.35,0.0
0.733333,N3,0.3216,0.1861,0.168,0.2842,anxious,0.35,0.0
0.741667,N3,0.3364,0.1772,0.1862,0.2949,neutral,0.35,0.0
0.75,N3,0.3265,0.182,0.2118,0.3011,neutral,0.331,0.0
0.758333,N3,0.2884,0.1721,0.2124,0.3159,joyful,0.35,0.0
0.766667,N3,0.2726,0.1735,0.2004,0.2827,joyful,0.334,0.0
0.775,N3,0.2768,0.1792,0.1979,0.3082,neutral,0.303,0.0
0.783333,N3,0.2848,0.1894,0.2224,0.3013,curious,0.35,0.0
0.791667,N3,0.2927,0.1691,0.2153,0.2572,neutral,0.35,0.0
