time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4896,0.3147,0.281,0.3154,neutral,0.375,0.0
0.083333,N2,0.477,0.3145,0.2676,0.3224,curious,0.436,0.0
0.166667,N2,0.4264,0.3275,0.2602,0.3503,anxious,0.479,0.0
0.25,N2,0.4478,0.269,0.2867,0.3083,joyful,0.473,0.0
0.333333,N2,0.4508,0.2665,0.2363,0.3094,neutral,0.403,0.0
0.416667,N3,0.3117,0.227,0.1954,0.3175,anxious,0.35,0.0
0.5,N3,0.2916,0.1971,0.2441,0.3079,melancholic,0.35,0.0
0.583333,N3,0.3024,0.1682,0.2003,0.2874,melancholic,0.35,0.0
0.666667,N3,0.3148,0.1981,0.1813,0.2904,melancholic,0.35,0.0
0.75,N3,0.2888,0.2106,0.1879,0.2952,fearful,0.35,0.0
0.833333,N2,0.413,0.2782,0.2765,0.2998,curious,0.333,0.0
0.916667,N2,0.4116,0.2948,0.3,0.2624,anxious,0.455,0.0
