time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4951
0.0,event::design_discussion,design discussion,0.4838
0.0,mem::wonder,wonder,0.3567
0.0,mem::familiar_face,familiar_face,0.3553
0.0,mem::grief,grief,0.3478
0.0,mem::cold_water,cold_water,0.3241
0.0,mem::being_chased,being_chased,0.3085
0.0,mem::flying,flying,0.2924
0.0,mem::dread,dread,0.2725
0.0,mem::loud_crowd,loud_crowd,0.2658
0.0,mem::bright_light,bright_light,0.2496
0.0,mem::falling,falling,0.241
0.833333,event::design_discussion,design discussion,0.4167
0.833333,mem::grief,grief,0.3747
0.833333,mem::cold_water,cold_water,0.3674
0.833333,mem::being_chased,being_chased,0.3625
0.833333,mem::dread,dread,0.3514
0.833333,mem::loud_crowd,loud_crowd,0.3495
0.833333,mem::falling,falling,0.3418
0.833333,event::code_review,code review,0.3412
0.833333,mem::teeth_loosening,teeth_loosening,0.3371
0.833333,mem::school_corridor,school_corridor,0.3329
0.833333,mem::childhood_home,childhood_home,0.326
0.833333,mem::being_late,being_late,0.312
