time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4914,0.3352,0.2802,0.3603,anxious,0.359,0.0
0.008333,N1,0.4449,0.3514,0.2753,0.3606,anxious,0.429,0.0
0.016667,N1,0.5217,0.3325,0.336,0.3489,serene,0.399,0.0
0.025,N1,0.5055,0.3224,0.2814,0.3276,anxious,0.366,0.0
0.033333,N1,0.4775,0.351,0.3402,0.3228,anxious,0.339,0.0
0.041667,N1,0.5203,0.3496,0.3261,0.33,anxious,0.44,0.0
0.05,N1,0.4969,0.3847,0.2828,0.3807,anxious,0.467,0.0
0.058333,N1,0.496,0.371,0.2911,0.372,joyful,0.409,0.0
0.066667,N2,0.447,0.338,0.3093,0.3713,anxious,0.463,0.0
0.075,N2,0.4388,0.3478,0.3069,0.3464,joyful,0.457,0.0
0.083333,N2,0.4676,0.3329,0.2411,0.3388,serene,0.475,0.0
0.091667,N2,0.421,0.3544,0.2967,0.3334,fearful,0.447,0.0
0.1,N2,0.4346,0.3391,0.2597,0.3468,melancholic,0.455,0.0
0.108333,N2,0.457,0.3174,0.3076,0.3385,serene,0.484,0.0
0.116667,N2,0.4626,0.3568,0.2612,0.3323,anxious,0.502,0.0
0.125,N2,0.4637,0.3138,0.2592,0.3144,anxious,0.435,0.0
0.133333,N2,0.4563,0.3326,0.2875,0.3029,anxious,0.46,0.0
0.141667,N2,0.4272,0.3468,0.272,0.3381,anxious,0.441,0.0
0.15,N2,0.4347,0.3175,0.2308,0.2946,neutral,0.414,0.0
0.158333,N2,0.4599,0.3508,0.327,0.34,anxious,0.462,0.0
0.166667,N2,0.4664,0.3252,0.2545,0.341,melancholic,0.461,0.0
0.175,N2,0.4314,0.3072,0.2971,0.3447,anxious,0.449,0.0
0.183333,N2,0.5,0.3259,0.2633,0.3482,joyful,0.512,0.0
0.191667,N2,0.4392,0.3654,0.2519,0.335,anxious,0.491,0.0
0.2,N2,0.4579,0.3378,0.2706,0.3355,fearful,0.442,0.0
0.208333,N2,0.4428,0.3332,0.3023,0.3267,anxious,0.481,0.0
0.216667,N2,0.4399,0.3363,0.2689,0.3523,joyful,0.471,0.0
0.225,N2,0.4586,0.2944,0.2866,0.3312,melancholic,0.492,0.0
0.233333,N2,0.4462,0.3368,0.2697,0.3329,anxious,0.488,0.0
0.241667,N2,0.4221,0.3548,0.2883,0.3536,serene,0.487,0.0
0.25,N2,0.4469,0.3484,0.3222,0.299,anxious,0.495,0.0
0.258333,N2,0.4466,0.3515,0.2795,0.3506,anxious,0.478,0.0
0.266667,N2,0.4456,0.3162,0.2968,0.3557,anxious,0.443,0.0
0.275,N2,0.4565,0.345,0.2821,0.3309,fearful,0.475,0.0
0.283333,N2,0.4723,0.3451,0.2918,0.3365,melancholic,0.473,0.0
0.291667,N2,0.5026,0.346,0.279,0.3282,anxious,0.472,0.0
0.3,N2,0.4678,0.344,0.2762,0.3352,anxious,0.457,0.0
0.308333,N2,0.4597,0.3471,0.2748,0.3332,curious,0.48,0.0
0.316667,N2,0.4535,0.3399,0.2625,0.3628,anxious,0.485,0.0
0.325,N2,0.4571,0.2993,0.3117,0.3394,anxious,0.516,0.0
0.333333,N3,0.2913,0.2369,0.2037,0.273,fearful,0.35,0.0
0.341667,N3,0.26,0.2304,0.215,0.296,fearful,0.35,0.0
0.35,N3,0.3162,0.256,0.17,0.3543,fearful,0.35,0.0
0.358333,N3,0.2948,0.2647,0.1792,0.3256,curious,0.35,0.0
0.366667,N3,0.3105,0.2158,0.1677,0.3283,anxious,0.35,0.0
0.375,N3,0.2961,0.2669,0.2287,0.3028,neutral,0.35,0.0
0.383333,N3,0.3154,0.2618,0.2123,0.3143,melancholic,0.35,0.0
0.391667,N3,0.3177,0.2427,0.1822,0.3159,anxious,0.35,0.0
0.4,N3,0.2912,0.2685,0.1996,0.3322,fearful,0.35,0.0
0.408333,N3,0.3062,0.2474,0.2153,0.3144,serene,0.35,0.0
0.416667,N3,0.305,0.2242,0.167,0.3171,melancholic,0.35,0.0
0.425,N3,0.2853,0.2265,0.2452,0.3483,neutral,0.35,0.0
0.433333,N3,0.2764,0.2579,0.2049,0.2912,anxious,0.35,0.0
0.441667,N3,0.306,0.2251,0.2051,0.3147,anxious,0.35,0.0
0.45,N3,0.313,0.2363,0.2018,0.345,fearful,0.35,0.0
0.458333,N3,0.3214,0.2648,0.2341,0.3243,melancholic,0.35,0.0
0.466667,N3,0.3035,0.2129,0.1996,0.3081,anxious,0.35,0.0
0.475,N3,0.2851,0.267,0.2191,0.3414,joyful,0.35,0.0
0.483333,N3,0.2639,0.2734,0.2055,0.2955,melancholic,0.35,0.0
0.491667,N3,0.3138,0.2377,0.2112,0.325,neutral,0.35,0.0
0.5,N3,0.328,0.2407,0.2174,0.269,neutral,0.35,0.0
