time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.3618
0.0,mem::grief,grief,0.3313
0.0,mem::wonder,wonder,0.309
0.0,mem::being_chased,being_chased,0.3016
0.0,mem::familiar_face,familiar_face,0.2924
0.0,mem::recurring_journey,recurring_journey,0.2841
0.0,mem::childhood_home,childhood_home,0.278
0.0,mem::falling,falling,0.2744
0.0,mem::joy,joy,0.2593
0.0,mem::teeth_loosening,teeth_loosening,0.2566
0.0,mem::cold_water,cold_water,0.2514
0.0,mem::bright_light,bright_light,0.2083
0.833333,mem::wonder,wonder,0.3538
0.833333,mem::familiar_face,familiar_face,0.3478
0.833333,mem::joy,joy,0.3364
0.833333,mem::bright_light,bright_light,0.3184
0.833333,mem::flying,flying,0.2983
0.833333,event::code_review,code review,0.2481
0.833333,mem::grief,grief,0.2342
0.833333,mem::being_chased,being_chased,0.2208
0.833333,mem::childhood_home,childhood_home,0.2101
0.833333,mem::falling,falling,0.2084
0.833333,mem::teeth_loosening,teeth_loosening,0.2005
0.833333,mem::cold_water,cold_water,0.1981
