time_hours,node_id,node_label,activation
0.0,mem::school_corridor,school_corridor,0.4541
0.0,event::code_review,code review,0.4145
0.0,mem::falling,falling,0.4121
0.0,mem::childhood_home,childhood_home,0.3944
0.0,mem::cold_water,cold_water,0.3547
0.0,event::design_discussion,design discussion,0.3466
0.0,mem::being_late,being_late,0.34
0.0,mem::joy,joy,0.3231
0.0,mem::loud_crowd,loud_crowd,0.2962
0.0,mem::being_chased,being_chased,0.2864
0.0,mem::bright_light,bright_light,0.2858
0.0,mem::familiar_face,familiar_face,0.2699
0.833333,mem::school_corridor,school_corridor,0.3634
0.833333,event::code_review,code review,0.3475
0.833333,mem::falling,falling,0.3466
0.833333,mem::childhood_home,childhood_home,0.3396
0.833333,mem::cold_water,cold_water,0.3239
0.833333,event::design_discussion,design discussion,0.3205
0.833333,mem::being_late,being_late,0.318
0.833333,mem::loud_crowd,loud_crowd,0.3006
0.833333,mem::being_chased,being_chased,0.2966
0.833333,mem::joy,joy,0.2959
0.833333,mem::dread,dread,0.2863
0.833333,mem::bright_light,bright_light,0.281
