time_hours,node_id,node_label,activation
0.0,mem::wonder,wonder,0.4483
0.0,mem::flying,flying,0.3678
0.0,mem::recurring_journey,recurring_journey,0.3623
0.0,event::design_discussion,design discussion,0.3482
0.0,mem::grief,grief,0.3305
0.0,mem::bright_light,bright_light,0.3248
0.0,mem::familiar_face,familiar_face,0.3057
0.0,mem::school_corridor,school_corridor,0.2843
0.0,event::code_review,code review,0.2724
0.0,mem::joy,joy,0.2695
0.0,mem::childhood_home,childhood_home,0.2571
0.0,mem::teeth_loosening,teeth_loosening,0.2518
0.833333,mem::grief,grief,0.4203
0.833333,mem::school_corridor,school_corridor,0.4078
0.833333,event::code_review,code review,0.4046
0.833333,mem::childhood_home,childhood_home,0.4005
0.833333,mem::teeth_loosening,teeth_loosening,0.3991
0.833333,mem::falling,falling,0.3876
0.833333,mem::being_late,being_late,0.3797
0.833333,mem::loud_crowd,loud_crowd,0.3718
0.833333,mem::being_chased,being_chased,0.3628
0.833333,mem::dread,dread,0.3601
0.833333,mem::cold_water,cold_water,0.3583
0.833333,mem::wonder,wonder,0.2673
