time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4515,0.2966,0.287,0.3265,neutral,0.386,0.0
0.008333,N1,0.4681,0.2687,0.2664,0.3605,anxious,0.405,0.0
0.016667,N1,0.5479,0.3115,0.3142,0.3475,neutral,0.418,0.0
0.025,N1,0.4984,0.294,0.3339,0.3111,melancholic,0.395,0.0
0.033333,N1,0.4994,0.2981,0.3096,0.3615,neutral,0.406,0.0
0.041667,N1,0.461,0.3138,0.279,0.3483,melancholic,0.383,0.0
0.05,N1,0.5006,0.3142,0.2842,0.3752,anxious,0.48,0.0
0.058333,N1,0.5067,0.3122,0.3043,0.3485,joyful,0.424,0.0
0.066667,N2,0.4364,0.2513,0.2699,0.3424,neutral,0.45,0.0
0.075,N2,0.4391,0.2742,0.274,0.3552,joyful,0.45,0.0
0.083333,N2,0.4514,0.283,0.2282,0.3668,neutral,0.45,0.0
0.091667,N2,0.4633,0.25,0.2902,0.3493,joyful,0.425,0.0
0.1,N2,0.4437,0.2555,0.3019,0.3544,neutral,0.45,0.0
0.108333,N2,0.4186,0.2751,0.219,0.3493,anxious,0.423,0.0
0.116667,N2,0.4419,0.2853,0.3029,0.3452,neutral,0.45,0.0
0.125,N2,0.4906,0.3075,0.2578,0.3696,joyful,0.45,0.0
0.133333,N2,0.4264,0.2952,0.2938,0.341,joyful,0.45,0.0
0.141667,N2,0.4568,0.2904,0.3003,0.3321,neutral,0.45,0.0
0.15,N2,0.4284,0.2927,0.2714,0.3474,anxious,0.45,0.0
0.158333,N2,0.4077,0.2829,0.2754,0.3075,melancholic,0.45,0.0
0.166667,N2,0.4463,0.3116,0.3099,0.3509,neutral,0.45,0.0
0.175,N2,0.4649,0.2817,0.2521,0.3288,curious,0.45,0.0
0.183333,N2,0.4409,0.3052,0.288,0.2865,neutral,0.45,0.0
0.191667,N2,0.4496,0.2904,0.2881,0.3415,joyful,0.45,0.0
0.2,N2,0.4484,0.2897,0.269,0.3247,neutral,0.45,0.0
0.208333,N2,0.4209,0.2418,0.289,0.3384,melancholic,0.45,0.0
0.216667,N2,0.4554,0.2747,0.2485,0.3453,serene,0.45,0.0
0.225,N2,0.4353,0.2909,0.2736,0.3115,curious,0.45,0.0
0.233333,N2,0.467,0.2779,0.3215,0.3036,neutral,0.45,0.0
0.241667,N2,0.4447,0.2738,0.284,0.3712,neutral,0.45,0.0
0.25,N2,0.4545,0.3005,0.2933,0.3423,neutral,0.45,0.0
0.258333,N2,0.4696,0.2748,0.2869,0.3429,curious,0.45,0.0
0.266667,N2,0.4503,0.2827,0.2831,0.3067,curious,0.45,0.0
0.275,N2,0.45,0.3005,0.2934,0.3196,neutral,0.45,0.0
0.283333,N2,0.4396,0.2909,0.2903,0.3448,curious,0.45,0.0
0.291667,N2,0.4443,0.2916,0.311,0.3256,melancholic,0.45,0.0
0.3,N2,0.4364,0.3029,0.2684,0.2916,neutral,0.45,0.0
0.308333,N2,0.4489,0.2852,0.2828,0.3359,curious,0.45,0.0
0.316667,N2,0.4533,0.283,0.2753,0.3492,joyful,0.45,0.0
0.325,N2,0.4045,0.2623,0.2805,0.3178,neutral,0.45,0.0
0.333333,N2,0.4449,0.2649,0.2709,0.3355,melancholic,0.45,0.0
0.341667,N2,0.4374,0.2692,0.2761,0.3037,curious,0.434,0.0
0.35,N2,0.4507,0.2644,0.2745,0.3282,melancholic,0.45,0.0
0.358333,N2,0.4464,0.2936,0.3292,0.326,curious,0.439,0.0
0.366667,N2,0.4256,0.2897,0.2814,0.3298,curious,0.45,0.0
0.375,N2,0.4288,0.2764,0.2961,0.3318,curious,0.45,0.0
0.383333,N2,0.4494,0.2894,0.3141,0.3151,neutral,0.45,0.0
0.391667,N2,0.4638,0.2686,0.2983,0.3159,neutral,0.45,0.0
0.4,N3,0.2921,0.1918,0.2053,0.3373,neutral,0.3,0.0
0.408333,N3,0.2868,0.1884,0.1974,0.3219,neutral,0.3,0.0
0.416667,N3,0.3587,0.2339,0.2131,0.3297,curious,0.3,0.0
0.425,N3,0.3148,0.2253,0.2323,0.2703,curious,0.3,0.0
0.433333,N3,0.2902,0.1974,0.2084,0.3212,anxious,0.3,0.0
0.441667,N3,0.3195,0.2381,0.1706,0.2877,curious,0.3,0.0
0.45,N3,0.2861,0.2068,0.1807,0.3271,melancholic,0.3,0.0
0.458333,N3,0.3111,0.1816,0.2469,0.2917,serene,0.291,0.0
0.466667,N3,0.2907,0.216,0.2073,0.2945,neutral,0.3,0.0
0.475,N3,0.2916,0.2075,0.2402,0.3082,neutral,0.3,0.0
0.483333,N3,0.3035,0.1797,0.2073,0.3022,joyful,0.3,0.0
0.491667,N3,0.2922,0.1902,0.2086,0.3154,joyful,0.3,0.0
0.5,N3,0.3054,0.1956,0.2108,0.3144,melancholic,0.3,0.0
0.508333,N3,0.3005,0.2007,0.2253,0.342,joyful,0.3,0.0
0.516667,N3,0.2704,0.2379,0.2498,0.3034,curious,0.3,0.0
0.525,N3,0.3042,0.1644,0.1674,0.3221,curious,0.3,0.0
0.533333,N3,0.305,0.2195,0.2113,0.3202,curious,0.3,0.0
0.541667,N3,0.3014,0.222,0.2057,0.3137,curious,0.3,0.0
0.55,N3,0.3158,0.1942,0.1825,0.3437,fearful,0.3,0.0
0.558333,N3,0.2884,0.2177,0.2064,0.3097,curious,0.3,0.0
0.566667,N3,0.2658,0.1774,0.1985,0.3306,anxious,0.3,0.0
0.575,N3,0.2894,0.1855,0.1943,0.3,neutral,0.3,0.0
0.583333,N3,0.3142,0.2037,0.2049,0.2905,anxious,0.3,0.0
0.591667,N3,0.3266,0.2044,0.1957,0.299,neutral,0.3,0.0
0.6,N3,0.2737,0.1876,0.2089,0.2997,joyful,0.3,0.0
0.608333,N3,0.3203,0.2023,0.1761,0.2366,anxious,0.3,0.0
0.616667,N3,0.2967,0.1966,0.2013,0.2848,joyful,0.3,0.0
0.625,N3,0.3002,0.158,0.1898,0.2896,joyful,0.297,0.0
0.633333,N3,0.297,0.2492,0.2322,0.3051,melancholic,0.3,0.0
0.641667,N3,0.3221,0.1871,0.2426,0.2914,serene,0.3,0.0
0.65,N3,0.3192,0.1589,0.2401,0.287,melancholic,0.3,0.0
0.658333,N3,0.2987,0.1883,0.1894,0.3112,fearful,0.3,0.0
0.666667,N3,0.2537,0.1825,0.2219,0.2823,neutral,0.3,0.0
0.675,N3,0.3006,0.1757,0.1969,0.2956,neutral,0.3,0.0
0.683333,N3,0.3127,0.2126,0.211,0.2799,melancholic,0.3,0.0
0.691667,N3,0.3544,0.2546,0.2133,0.3041,curious,0.3,0.0
0.7,N3,0.3059,0.1859,0.2431,0.3044,curious,0.3,0.0
0.708333,N3,0.293,0.1879,0.2215,0.2821,joyful,0.3,0.0
0.716667,N3,0.2716,0.2121,0.1983,0.3221,neutral,0.3,0.0
0.725,N3,0.3139,0.1601,0.1992,0.3031,curious,0.3,0.0
0.733333,N3,0.304,0.1952,0.2,0.2519,anxious,0.3,0.0
0.741667,N3,0.2957,0.203,0.1735,0.287,joyful,0.3,0.0
0.75,N3,0.3414,0.2039,0.2,0.2916,joyful,0.3,0.0
0.758333,N3,0.2879,0.217,0.2288,0.2744,curious,0.3,0.0
0.766667,N3,0.2864,0.2409,0.2224,0.2937,neutral,0.3,0.0
0.775,N3,0.2622,0.1919,0.1993,0.2927,curious,0.3,0.0
0.783333,N3,0.2811,0.2071,0.2106,0.3112,neutral,0.3,0.0
0.791667,N3,0.328,0.1846,0.2131,0.345,neutral,0.3,0.0
0.8,N2,0.4396,0.2421,0.2682,0.2836,neutral,0.45,0.0
0.808333,N2,0.4316,0.2962,0.3046,0.2818,joyful,0.45,0.0
0.816667,N2,0.4472,0.3084,0.2666,0.2659,neutral,0.45,0.0
0.825,N2,0.4515,0.2696,0.3077,0.2838,anxious,0.45,0.0
0.833333,N2,0.4483,0.2875,0.3034,0.293,joyful,0.45,0.0
0.841667,N2,0.4161,0.2614,0.29,0.2797,neutral,0.45,0.0
0.85,N2,0.4649,0.2738,0.2638,0.3232,anxious,0.45,0.0
0.858333,N2,0.4302,0.2866,0.2845,0.2803,fearful,0.45,0.0
0.866667,N2,0.4775,0.2926,0.3068,0.2841,neutral,0.45,0.0
0.875,N2,0.4823,0.2728,0.2673,0.2919,curious,0.45,0.0
0.883333,N2,0.4812,0.2731,0.2897,0.2608,anxious,0.45,0.0
0.891667,N2,0.4145,0.2927,0.2901,0.2603,joyful,0.45,0.0
0.9,N2,0.4787,0.3016,0.2803,0.2497,melancholic,0.45,0.0
0.908333,N2,0.4379,0.2682,0.2723,0.2574,joyful,0.45,0.0
0.916667,N2,0.4659,0.2529,0.302,0.2821,melancholic,0.45,0.0
0.925,N2,0.4684,0.2838,0.227,0.2504,curious,0.45,0.0
0.933333,N2,0.4503,0.3403,0.3209,0.2933,neutral,0.45,0.0
0.941667,N2,0.476,0.2992,0.3016,0.3187,serene,0.45,0.0
0.95,N2,0.4334,0.2755,0.3092,0.2446,curious,0.45,0.0
0.958333,N2,0.4495,0.275,0.2868,0.3009,neutral,0.45,0.0
0.966667,N2,0.4469,0.3147,0.285,0.2503,neutral,0.45,0.0
0.975,N2,0.4137,0.2911,0.2656,0.2561,neutral,0.45,0.0
0.983333,N2,0.4551,0.2795,0.3005,0.2848,neutral,0.45,0.0
0.991667,N2,0.4447,0.2695,0.2931,0.271,neutral,0.443,0.0
