time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5265,0.2752,0.3143,0.3491,fearful,0.343,0.0
0.008333,N1,0.4533,0.3059,0.3169,0.3752,neutral,0.368,0.0
0.016667,N1,0.496,0.3018,0.3137,0.3039,curious,0.375,0.0
0.025,N1,0.4873,0.3365,0.2903,0.3585,neutral,0.333,0.0
0.033333,N1,0.5243,0.312,0.2917,0.3507,serene,0.36,0.0
0.041667,N1,0.5034,0.3169,0.2903,0.3704,joyful,0.34,0.0
0.05,N1,0.5333,0.3137,0.3259,0.3553,neutral,0.358,0.0
0.058333,N1,0.5038,0.3369,0.3125,0.3227,curious,0.39,0.0
0.066667,N1,0.5232,0.2735,0.2844,0.3292,joyful,0.345,0.0
0.075,N1,0.5047,0.3233,0.3172,0.3419,anxious,0.359,0.0
0.083333,N2,0.4419,0.275,0.3115,0.3458,fearful,0.349,0.0
0.091667,N2,0.4289,0.2968,0.297,0.3286,joyful,0.424,0.0
0.1,N2,0.4543,0.29,0.2901,0.3449,joyful,0.374,0.0
0.108333,N2,0.4378,0.2634,0.3006,0.3305,curious,0.394,0.0
0.116667,N2,0.4368,0.27,0.3037,0.3362,neutral,0.388,0.0
0.125,N2,0.4407,0.2908,0.2568,0.3573,serene,0.417,0.0
0.133333,N2,0.4415,0.2696,0.2918,0.3447,curious,0.356,0.0
0.141667,N2,0.4547,0.2662,0.2434,0.3221,neutral,0.403,0.0
0.15,N2,0.4455,0.2883,0.3113,0.3071,joyful,0.331,0.0
0.158333,N2,0.4511,0.2722,0.259,0.3426,joyful,0.443,0.0
0.166667,N2,0.4643,0.2467,0.2656,0.3509,neutral,0.414,0.0
0.175,N2,0.4479,0.264,0.2998,0.3495,joyful,0.426,0.0
0.183333,N2,0.4661,0.2701,0.2932,0.3333,neutral,0.402,0.0
0.191667,N2,0.4637,0.2978,0.3145,0.335,neutral,0.422,0.0
0.2,N2,0.4493,0.2892,0.2853,0.3245,curious,0.369,0.0
0.208333,N2,0.4156,0.2855,0.3014,0.3202,neutral,0.414,0.0
0.216667,N2,0.4147,0.274,0.2647,0.3178,melancholic,0.396,0.0
0.225,N2,0.4403,0.2888,0.2895,0.3018,curious,0.392,0.0
0.233333,N2,0.4243,0.2922,0.3098,0.3152,neutral,0.343,0.0
0.241667,N2,0.4295,0.289,0.2921,0.3195,neutral,0.38,0.0
0.25,N2,0.4235,0.2786,0.2478,0.3322,joyful,0.417,0.0
0.258333,N2,0.4154,0.2898,0.2972,0.354,curious,0.36,0.0
0.266667,N2,0.4375,0.2785,0.2743,0.3049,curious,0.329,0.0
0.275,N2,0.4552,0.2551,0.2661,0.3353,neutral,0.368,0.0
0.283333,N2,0.4673,0.2665,0.2814,0.3413,neutral,0.384,0.0
0.291667,N2,0.4588,0.2884,0.2672,0.3554,neutral,0.436,0.0
0.3,N2,0.4356,0.2783,0.3032,0.3321,curious,0.38,0.0
0.308333,N2,0.4688,0.2642,0.2974,0.3247,curious,0.413,0.0
0.316667,N2,0.4492,0.2879,0.2936,0.315,neutral,0.365,0.0
0.325,N2,0.4497,0.2776,0.2942,0.3379,anxious,0.422,0.0
0.333333,N2,0.4349,0.3059,0.28,0.3564,neutral,0.408,0.0
0.341667,N2,0.4116,0.2714,0.2734,0.3421,anxious,0.36,0.0
0.35,N2,0.4476,0.3142,0.2763,0.3401,melancholic,0.478,0.0
0.358333,N2,0.449,0.2802,0.2769,0.2872,serene,0.331,0.0
0.366667,N2,0.4595,0.2692,0.2777,0.3071,anxious,0.412,0.0
0.375,N2,0.4765,0.244,0.2872,0.3154,melancholic,0.421,0.0
0.383333,N3,0.257,0.2206,0.1813,0.33,neutral,0.35,0.0
0.391667,N3,0.2961,0.212,0.1878,0.3169,joyful,0.331,0.0
0.4,N3,0.2913,0.2113,0.1701,0.333,neutral,0.35,0.0
0.408333,N3,0.2695,0.1779,0.1865,0.3281,serene,0.35,0.0
0.416667,N3,0.3259,0.1991,0.2135,0.2745,curious,0.342,0.0
0.425,N3,0.2911,0.2069,0.1977,0.2988,curious,0.35,0.0
0.433333,N3,0.3277,0.1932,0.1959,0.3269,melancholic,0.35,0.0
0.441667,N3,0.2889,0.1963,0.1972,0.3285,curious,0.35,0.0
0.45,N3,0.3045,0.216,0.1782,0.3106,curious,0.35,0.0
0.458333,N3,0.3022,0.2168,0.1893,0.3238,curious,0.35,0.0
0.466667,N3,0.2991,0.1802,0.2112,0.3049,melancholic,0.35,0.0
0.475,N3,0.2875,0.194,0.1899,0.2966,neutral,0.35,0.0
0.483333,N3,0.2954,0.1783,0.2184,0.37,joyful,0.307,0.0
0.491667,N3,0.3125,0.2004,0.2179,0.2896,curious,0.35,0.0
0.5,N3,0.3085,0.2021,0.1728,0.2744,joyful,0.34,0.0
0.508333,N3,0.3316,0.1711,0.2235,0.3215,neutral,0.343,0.0
0.516667,N3,0.2843,0.1857,0.178,0.3281,joyful,0.35,0.0
0.525,N3,0.2915,0.2401,0.2113,0.3306,anxious,0.35,0.0
0.533333,N3,0.2963,0.1936,0.1937,0.2647,joyful,0.35,0.0
0.541667,N3,0.2888,0.2139,0.2132,0.3075,joyful,0.324,0.0
0.55,N3,0.2899,0.2064,0.2016,0.3118,joyful,0.35,0.0
0.558333,N3,0.3048,0.1822,0.2044,0.2947,neutral,0.35,0.0
0.566667,N3,0.2999,0.2314,0.2195,0.3272,neutral,0.329,0.0
0.575,N3,0.305,0.1826,0.1736,0.2831,neutral,0.35,0.0
0.583333,N3,0.3202,0.2324,0.1902,0.2956,neutral,0.35,0.0
0.591667,N3,0.3231,0.1986,0.1974,0.2995,neutral,0.35,0.0
0.6,N3,0.2906,0.1588,0.1788,0.2976,anxious,0.35,0.0
0.608333,N3,0.3084,0.1847,0.1749,0.3258,curious,0.35,0.0
0.616667,N3,0.2948,0.1963,0.1904,0.31,neutral,0.35,0.0
0.625,N3,0.3438,0.2047,0.2005,0.3369,joyful,0.35,0.0
0.633333,N3,0.3466,0.2195,0.2312,0.321,neutral,0.346,0.0
0.641667,N3,0.2725,0.1633,0.1971,0.2863,joyful,0.35,0.0
0.65,N3,0.3184,0.192,0.1869,0.3044,neutral,0.35,0.0
0.658333,N3,0.3109,0.1982,0.1974,0.3006,joyful,0.35,0.0
0.666667,N3,0.295,0.2275,0.2401,0.308,curious,0.312,0.0
0.675,N3,0.3181,0.2315,0.1981,0.3076,anxious,0.304,0.0
0.683333,N3,0.2999,0.2089,0.1873,0.3205,joyful,0.315,0.0
0.691667,N3,0.3293,0.2083,0.2092,0.2969,serene,0.325,0.0
0.7,N3,0.2962,0.1935,0.2438,0.2989,joyful,0.321,0.0
0.708333,N3,0.3075,0.1688,0.1993,0.2975,joyful,0.35,0.0
0.716667,N3,0.3104,0.2103,0.1865,0.2992,curious,0.35,0.0
0.725,N3,0.3052,0.2058,0.2185,0.2827,joyful,0.345,0.0
0.733333,N3,0.3216,0.1984,0.2077,0.2839,neutral,0.347,0.0
0.741667,N3,0.3321,0.2054,0.18,0.3035,neutral,0.331,0.0
0.75,N3,0.298,0.1818,0.2018,0.2964,melancholic,0.35,0.0
0.758333,N3,0.2705,0.1953,0.1866,0.3063,neutral,0.334,0.0
0.766667,N3,0.295,0.1947,0.1505,0.2913,fearful,0.35,0.0
0.775,N3,0.32,0.2087,0.2088,0.254,neutral,0.35,0.0
0.783333,N2,0.4289,0.279,0.2683,0.2898,joyful,0.413,0.0
0.791667,N2,0.4699,0.2714,0.3048,0.2998,melancholic,0.401,0.0
0.8,N2,0.4012,0.2858,0.2676,0.301,joyful,0.365,0.0
0.808333,N2,0.4538,0.2694,0.2847,0.3073,joyful,0.396,0.0
0.816667,N2,0.4425,0.2837,0.2941,0.2753,neutral,0.364,0.0
0.825,N2,0.4441,0.2675,0.2917,0.2787,curious,0.439,0.0
0.833333,N2,0.4342,0.3074,0.2949,0.3253,joyful,0.458,0.0
0.841667,N2,0.451,0.2657,0.2945,0.2654,joyful,0.418,0.0
0.85,N2,0.4372,0.2914,0.2877,0.2814,neutral,0.471,0.0
0.858333,N2,0.4086,0.2908,0.2751,0.2854,joyful,0.321,0.0
0.866667,N2,0.4502,0.2615,0.2728,0.2532,curious,0.4,0.0
0.875,N2,0.4551,0.2666,0.2869,0.2353,curious,0.415,0.0
0.883333,N2,0.4487,0.2754,0.2743,0.2696,neutral,0.349,0.0
0.891667,N2,0.4204,0.2804,0.3063,0.2725,neutral,0.378,0.0
0.9,N2,0.4764,0.2973,0.2566,0.2988,fearful,0.429,0.0
0.908333,N2,0.4487,0.2886,0.2715,0.2498,anxious,0.427,0.0
0.916667,N2,0.4092,0.2714,0.2521,0.2599,melancholic,0.402,0.0
0.925,N2,0.4046,0.3002,0.2965,0.2868,neutral,0.338,0.0
0.933333,N2,0.4584,0.3122,0.2793,0.2732,neutral,0.425,0.0
0.941667,N2,0.4703,0.2831,0.2594,0.2604,curious,0.427,0.0
0.95,N2,0.4557,0.2915,0.2953,0.2913,anxious,0.389,0.0
0.958333,N2,0.4498,0.2831,0.293,0.2733,neutral,0.348,0.0
0.966667,N2,0.4903,0.2757,0.2388,0.2887,neutral,0.457,0.0
0.975,N2,0.468,0.2889,0.2853,0.2765,neutral,0.412,0.0
0.983333,N2,0.4163,0.2831,0.2957,0.2723,joyful,0.437,0.0
0.991667,N2,0.4418,0.2933,0.2836,0.2757,anxious,0.375,0.0
