time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4856
0.0,mem::wonder,wonder,0.4551
0.0,mem::joy,joy,0.4514
0.0,mem::bright_light,bright_light,0.4064
0.0,mem::flying,flying,0.4043
0.0,mem::being_late,being_late,0.3593
0.0,mem::childhood_home,childhood_home,0.357
0.0,mem::school_corridor,school_corridor,0.3409
0.0,mem::being_chased,being_chased,0.3409
0.0,mem::falling,falling,0.3384
0.0,event::code_review,code review,0.3154
0.0,mem::dread,dread,0.2905
0.833333,event::design_discussion,design discussion,0.4491
0.833333,mem::being_late,being_late,0.4101
0.833333,mem::childhood_home,childhood_home,0.4096
0.833333,mem::school_corridor,school_corridor,0.4045
0.833333,mem::being_chased,being_chased,0.4045
0.833333,mem::falling,falling,0.4038
0.833333,mem::dread,dread,0.3891
0.833333,mem::cold_water,cold_water,0.3725
0.833333,mem::grief,grief,0.3603
0.833333,mem::teeth_loosening,teeth_loosening,0.3506
0.833333,mem::wonder,wonder,0.3484
0.833333,mem::joy,joy,0.3469
