time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.486
0.0,event::code_review,code review,0.4755
0.0,mem::being_late,being_late,0.3691
0.0,mem::dread,dread,0.3671
0.0,mem::grief,grief,0.3218
0.0,mem::loud_crowd,loud_crowd,0.3214
0.0,mem::falling,falling,0.3101
0.0,mem::teeth_loosening,teeth_loosening,0.2981
0.0,mem::flying,flying,0.2865
0.0,mem::wonder,wonder,0.2792
0.0,mem::bright_light,bright_light,0.2738
0.0,mem::school_corridor,school_corridor,0.2015
0.833333,event::design_discussion,design discussion,0.4215
0.833333,mem::being_late,being_late,0.3806
0.833333,mem::dread,dread,0.3798
0.833333,mem::grief,grief,0.3639
0.833333,mem::loud_crowd,loud_crowd,0.3638
0.833333,mem::falling,falling,0.36
0.833333,mem::teeth_loosening,teeth_loosening,0.3557
0.833333,mem::school_corridor,school_corridor,0.3219
0.833333,mem::cold_water,cold_water,0.3213
0.833333,mem::childhood_home,childhood_home,0.3041
0.833333,mem::being_chased,being_chased,0.2926
0.833333,event::code_review,code review,0.2441
