time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5315,0.2959,0.2832,0.3473,curious,0.345,0.0
0.008333,N1,0.5249,0.2404,0.304,0.3441,curious,0.336,0.0
0.016667,N1,0.516,0.2662,0.3116,0.3109,melancholic,0.333,0.0
0.025,N1,0.5395,0.2826,0.3118,0.3247,joyful,0.358,0.0
0.033333,N1,0.5177,0.265,0.3041,0.3698,joyful,0.336,0.0
0.041667,N1,0.4756,0.293,0.3027,0.3365,neutral,0.293,0.0
0.05,N1,0.5203,0.2683,0.3096,0.3406,curious,0.358,0.0
0.058333,N1,0.5209,0.2455,0.2821,0.3496,melancholic,0.379,0.0
0.066667,N1,0.5264,0.2734,0.2952,0.323,anxious,0.298,0.0
0.075,N1,0.5075,0.2371,0.3143,0.3218,neutral,0.311,0.0
0.083333,N1,0.5024,0.2419,0.323,0.3457,anxious,0.333,0.0
0.091667,N1,0.5043,0.277,0.3202,0.3544,melancholic,0.309,0.0
0.1,N2,0.4318,0.2518,0.293,0.3334,joyful,0.396,0.0
0.108333,N2,0.4241,0.2905,0.2998,0.3335,neutral,0.375,0.0
0.116667,N2,0.4529,0.2816,0.2563,0.3388,curious,0.385,0.0
0.125,N2,0.4469,0.2804,0.3041,0.3317,anxious,0.352,0.0
0.133333,N2,0.4335,0.2188,0.2314,0.3525,joyful,0.377,0.0
0.141667,N2,0.452,0.2434,0.2883,0.3649,neutral,0.37,0.0
0.15,N2,0.4686,0.2286,0.2779,0.3488,neutral,0.357,0.0
0.158333,N2,0.4283,0.217,0.2656,0.3276,joyful,0.421,0.0
0.166667,N2,0.4454,0.2753,0.2626,0.3112,melancholic,0.402,0.0
0.175,N2,0.4812,0.2176,0.2694,0.3229,neutral,0.433,0.0
0.183333,N2,0.468,0.2613,0.2714,0.3174,neutral,0.336,0.0
0.191667,N2,0.4651,0.2582,0.257,0.3535,joyful,0.418,0.0
0.2,N2,0.4562,0.2442,0.2862,0.3256,neutral,0.424,0.0
0.208333,N2,0.4364,0.2276,0.2703,0.3161,fearful,0.389,0.0
0.216667,N2,0.4066,0.2695,0.2418,0.3361,anxious,0.378,0.0
0.225,N2,0.4116,0.2548,0.2723,0.326,joyful,0.349,0.0
0.233333,N2,0.4686,0.2399,0.2888,0.3711,curious,0.432,0.0
0.241667,N2,0.4563,0.2154,0.2934,0.337,curious,0.415,0.0
0.25,N2,0.4471,0.2712,0.2482,0.3585,melancholic,0.485,0.0
0.258333,N2,0.4659,0.2651,0.286,0.3055,joyful,0.362,0.0
0.266667,N2,0.4763,0.2368,0.2869,0.311,curious,0.414,0.0
0.275,N2,0.4262,0.2422,0.2609,0.351,neutral,0.388,0.0
