time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4655,0.3011,0.2988,0.3673,serene,0.352,0.0
0.008333,N1,0.5019,0.2899,0.3079,0.3179,neutral,0.389,0.0
0.016667,N1,0.5212,0.2745,0.2753,0.3449,anxious,0.422,0.0
0.025,N1,0.5038,0.3036,0.2824,0.37,joyful,0.419,0.0
0.033333,N1,0.498,0.3124,0.3125,0.3,melancholic,0.356,0.0
0.041667,N1,0.4828,0.3478,0.2491,0.3578,neutral,0.423,0.0
0.05,N1,0.4933,0.2926,0.3017,0.3473,joyful,0.425,0.0
0.058333,N1,0.4587,0.2869,0.291,0.3736,curious,0.339,0.0
0.066667,N2,0.4467,0.2659,0.2772,0.3371,neutral,0.418,0.0
0.075,N2,0.446,0.2902,0.2796,0.3408,neutral,0.449,0.0
0.083333,N2,0.4695,0.295,0.2757,0.3316,curious,0.368,0.0
0.091667,N2,0.4514,0.2524,0.2693,0.332,neutral,0.438,0.0
0.1,N2,0.4492,0.2946,0.2972,0.2831,curious,0.436,0.0
0.108333,N2,0.4414,0.245,0.2779,0.3048,neutral,0.437,0.0
0.116667,N2,0.4649,0.264,0.3072,0.3406,neutral,0.363,0.0
0.125,N2,0.4477,0.2413,0.3062,0.3256,joyful,0.361,0.0
0.133333,N2,0.426,0.2642,0.2678,0.3392,neutral,0.382,0.0
0.141667,N2,0.4506,0.3192,0.2673,0.3506,joyful,0.385,0.0
0.15,N2,0.4673,0.2958,0.2848,0.3717,neutral,0.417,0.0
0.158333,N2,0.4629,0.2529,0.2999,0.3384,curious,0.429,0.0
0.166667,N2,0.4746,0.2913,0.289,0.3423,joyful,0.424,0.0
0.175,N2,0.4358,0.292,0.2741,0.3482,neutral,0.427,0.0
0.183333,N2,0.4425,0.2799,0.3259,0.3244,joyful,0.387,0.0
0.191667,N2,0.4611,0.2382,0.2554,0.3246,serene,0.426,0.0
0.2,N2,0.4362,0.2757,0.2646,0.3567,curious,0.497,0.0
