time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4825,0.3077,0.2623,0.3622,anxious,0.46,0.0
0.008333,N1,0.5317,0.333,0.2674,0.337,anxious,0.469,0.0
0.016667,N1,0.4744,0.2681,0.3195,0.3151,neutral,0.5,0.0
0.025,N1,0.454,0.2985,0.2836,0.3644,joyful,0.474,0.0
0.033333,N1,0.5074,0.3227,0.3237,0.3596,anxious,0.477,0.0
0.041667,N1,0.4948,0.2987,0.3197,0.3392,anxious,0.486,0.0
0.05,N1,0.498,0.327,0.3135,0.3479,neutral,0.448,0.0
0.058333,N1,0.5041,0.2808,0.2674,0.3022,anxious,0.491,0.0
0.066667,N2,0.4527,0.2992,0.2799,0.3422,curious,0.45,0.0
0.075,N2,0.4678,0.3043,0.28,0.3297,joyful,0.45,0.0
0.083333,N2,0.4403,0.2558,0.2745,0.3332,anxious,0.45,0.0
0.091667,N2,0.4724,0.308,0.2514,0.3253,neutral,0.45,0.0
0.1,N2,0.4318,0.2618,0.2867,0.3375,neutral,0.45,0.0
0.108333,N2,0.4461,0.3013,0.3138,0.3541,anxious,0.45,0.0
0.116667,N2,0.4411,0.24,0.292,0.3834,melancholic,0.45,0.0
0.125,N2,0.4251,0.2576,0.2772,0.3158,fearful,0.45,0.0
0.133333,N2,0.4793,0.2872,0.235,0.353,anxious,0.45,0.0
0.141667,N2,0.448,0.255,0.2726,0.3163,neutral,0.45,0.0
0.15,N2,0.4889,0.2754,0.2902,0.3328,melancholic,0.45,0.0
0.158333,N2,0.5078,0.2845,0.2528,0.3584,neutral,0.45,0.0
0.166667,N2,0.4801,0.2874,0.3013,0.3397,joyful,0.45,0.0
0.175,N2,0.4481,0.2771,0.2806,0.3343,joyful,0.45,0.0
0.183333,N2,0.4477,0.2939,0.3101,0.3182,anxious,0.45,0.0
0.191667,N2,0.431,0.3031,0.2994,0.3487,anxious,0.45,0.0
0.2,N2,0.4616,0.267,0.2576,0.3389,anxious,0.45,0.0
0.208333,N2,0.439,0.2721,0.2843,0.3427,joyful,0.45,0.0
0.216667,N2,0.4451,0.2155,0.2964,0.348,anxious,0.45,0.0
0.225,N2,0.4687,0.2867,0.2613,0.3001,anxious,0.45,0.0
0.233333,N2,0.4392,0.287,0.2779,0.3166,anxious,0.45,0.0
0.241667,N2,0.4106,0.2767,0.249,0.3095,curious,0.45,0.0
0.25,N2,0.4296,0.2724,0.2689,0.3507,joyful,0.45,0.0
0.258333,N2,0.4798,0.2994,0.3075,0.3004,melancholic,0.45,0.0
0.266667,N2,0.4473,0.2611,0.2659,0.3276,fearful,0.45,0.0
0.275,N2,0.4346,0.2876,0.3027,0.3402,neutral,0.45,0.0
0.283333,N2,0.4503,0.2865,0.2427,0.3129,fearful,0.45,0.0
0.291667,N2,0.4553,0.2714,0.2641,0.3607,serene,0.45,0.0
