time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4665,0.2854,0.3175,0.362,melancholic,0.329,0.0
0.008333,N1,0.499,0.2877,0.3259,0.3435,neutral,0.328,0.0
0.016667,N1,0.4858,0.2767,0.3059,0.3575,neutral,0.338,0.0
0.025,N1,0.4778,0.3276,0.3005,0.3632,melancholic,0.393,0.0
0.033333,N1,0.4867,0.3097,0.3007,0.3408,curious,0.332,0.0
0.041667,N1,0.5129,0.2618,0.2564,0.3453,serene,0.42,0.0
0.05,N1,0.4967,0.2548,0.3065,0.3498,neutral,0.323,0.0
0.058333,N1,0.4639,0.2749,0.2983,0.3326,joyful,0.342,0.0
0.066667,N1,0.521,0.3043,0.2899,0.3536,curious,0.392,0.0
0.075,N1,0.4996,0.2846,0.2968,0.3086,neutral,0.355,0.0
0.083333,N2,0.4444,0.2795,0.2326,0.3162,melancholic,0.409,0.0
0.091667,N2,0.455,0.2597,0.3251,0.3333,joyful,0.378,0.0
0.1,N2,0.4522,0.2609,0.2756,0.3175,joyful,0.444,0.0
0.108333,N2,0.4242,0.3127,0.2839,0.3558,curious,0.413,0.0
0.116667,N2,0.4643,0.2937,0.2591,0.3123,curious,0.385,0.0
0.125,N2,0.4807,0.249,0.2755,0.3328,neutral,0.446,0.0
0.133333,N2,0.4192,0.2864,0.259,0.2958,neutral,0.363,0.0
0.141667,N2,0.4218,0.2966,0.274,0.3463,anxious,0.379,0.0
0.15,N2,0.4722,0.2875,0.277,0.3709,curious,0.425,0.0
0.158333,N2,0.4357,0.3088,0.281,0.3569,neutral,0.378,0.0
0.166667,N2,0.4488,0.2747,0.248,0.3449,curious,0.442,0.0
0.175,N2,0.4724,0.2481,0.2646,0.3608,melancholic,0.415,0.0
0.183333,N2,0.4459,0.2582,0.2728,0.3175,melancholic,0.369,0.0
0.191667,N2,0.4514,0.2842,0.3127,0.3447,melancholic,0.441,0.0
0.2,N2,0.455,0.301,0.2783,0.3183,neutral,0.386,0.0
0.208333,N2,0.452,0.2268,0.2751,0.3209,joyful,0.442,0.0
0.216667,N2,0.4506,0.2744,0.2918,0.3298,melancholic,0.404,0.0
0.225,N2,0.4324,0.2609,0.252,0.3111,joyful,0.322,0.0
0.233333,N2,0.4364,0.2775,0.2746,0.3502,neutral,0.442,0.0
0.241667,N2,0.4391,0.3154,0.2989,0.3649,curious,0.383,0.0
0.25,N2,0.4802,0.2789,0.2751,0.336,joyful,0.39,0.0
0.258333,N2,0.4566,0.2571,0.2934,0.3264,joyful,0.452,0.0
0.266667,N2,0.469,0.2939,0.2672,0.359,serene,0.367,0.0
0.275,N2,0.444,0.2635,0.2683,0.344,melancholic,0.418,0.0
0.283333,N2,0.4144,0.3004,0.2836,0.3596,melancholic,0.392,0.0
0.291667,N2,0.4273,0.2794,0.3275,0.3341,curious,0.372,0.0
0.3,N2,0.4344,0.2834,0.2756,0.3149,curious,0.456,0.0
0.308333,N2,0.4795,0.2705,0.2989,0.3555,neutral,0.408,0.0
0.316667,N2,0.4419,0.2665,0.2729,0.3228,anxious,0.348,0.0
0.325,N2,0.4519,0.2859,0.2519,0.3226,neutral,0.388,0.0
0.333333,N2,0.487,0.2456,0.2758,0.3183,serene,0.443,0.0
0.341667,N2,0.4519,0.253,0.2727,0.3067,curious,0.347,0.0
0.35,N3,0.3076,0.1842,0.1802,0.3362,joyful,0.35,0.0
0.358333,N3,0.3246,0.2059,0.2204,0.3185,neutral,0.35,0.0
0.366667,N3,0.3135,0.245,0.1933,0.3339,melancholic,0.35,0.0
0.375,N3,0.331,0.1756,0.2019,0.3055,fearful,0.35,0.0
0.383333,N3,0.31,0.1839,0.2015,0.3047,curious,0.35,0.0
0.391667,N3,0.2768,0.1952,0.1774,0.3161,anxious,0.35,0.0
