time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4637
0.0,event::code_review,code review,0.4232
0.0,mem::flying,flying,0.3789
0.0,mem::falling,falling,0.3734
0.0,mem::cold_water,cold_water,0.3709
0.0,mem::being_late,being_late,0.3302
0.0,mem::teeth_loosening,teeth_loosening,0.2882
0.0,mem::grief,grief,0.2834
0.0,mem::wonder,wonder,0.2195
0.0,mem::being_chased,being_chased,0.215
0.0,mem::bright_light,bright_light,0.1731
0.0,mem::school_corridor,school_corridor,0.171
0.833333,event::design_discussion,design discussion,0.3724
0.833333,event::code_review,code review,0.3584
0.833333,mem::flying,flying,0.3428
0.833333,mem::wonder,wonder,0.287
0.833333,mem::bright_light,bright_light,0.2707
0.833333,mem::familiar_face,familiar_face,0.2643
0.833333,mem::joy,joy,0.2602
0.833333,mem::falling,falling,0.238
0.833333,mem::cold_water,cold_water,0.2368
0.833333,mem::being_late,being_late,0.2184
0.833333,mem::teeth_loosening,teeth_loosening,0.1995
0.833333,mem::grief,grief,0.1973
